time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-26 08:45:00",0,0,0,68.11,67.86,68.20,67.61,,,,,,,68.59,67.63,73.23,56.93,,64.35,62.75,64.62,56.23,,74.87,73.91,74.94,73.68,,,,,,,,,,,,,,,,,0,0
"2015-06-26 09:00:00",0,0,0,67.63,68.02,68.54,67.62,,,,,,,72.80,66.09,72.87,57.60,,58.57,62.43,64.74,56.10,,74.04,74.65,75.20,73.97,,,,,,,,,,,,,,,,,0,0
"2015-06-26 09:15:00",0,0,0,67.14,67.42,67.67,67.09,,,,,,,70.40,65.68,73.52,57.11,,62.77,62.01,64.67,56.19,,74.31,74.37,75.11,73.82,,,,,,,,,,,,,,,,,0,0
"2015-06-26 09:30:00",0,0,0,66.40,67.11,67.69,66.37,,,,,,,64.83,66.38,72.85,56.85,,63.02,62.43,64.53,56.02,,74.12,74.08,74.40,73.89,,,,,,,,,,,,,,,,,0,0
"2015-06-26 09:45:00",0,0,0,65.59,65.82,66.42,65.48,,,,,,,59.96,69.27,72.47,59.97,,63.50,62.31,64.42,55.75,,73.95,74.33,74.98,73.95,,,,,,,,,,,,,,,,,0,0
"2015-06-26 10:00:00",0,0,0,64.96,65.18,65.64,64.92,,,,,,,72.05,66.42,72.07,56.99,,63.82,62.32,64.34,55.69,,73.92,73.98,74.11,73.84,,,,,,,,,,,,,,,,,0,0
"2015-06-26 10:15:00",0,0,0,65.66,65.18,65.67,64.85,,,,,,,71.40,65.71,72.24,57.25,,60.75,62.34,64.61,55.88,,74.58,74.15,74.87,73.82,,,,,,,,,,,,,,,,,0,0
"2015-06-26 10:30:00",0,0,0,66.55,66.21,66.64,65.59,,,,,,,66.26,66.61,72.75,57.39,,59.07,61.54,64.30,55.83,,74.07,74.42,75.01,74.02,,,,,,,,,,,,,,,,,0,0
"2015-06-26 10:45:00",0,0,0,66.04,66.47,66.67,66.04,,,,,,,59.04,69.42,72.75,59.11,,62.76,62.29,64.42,56.09,,73.87,73.95,74.14,73.82,,,,,,,,,,,,,,,,,0,0
"2015-06-26 11:00:00",0,0,0,65.13,65.43,66.09,65.09,,,,,,,72.17,66.79,72.20,57.07,,62.90,62.19,64.32,55.62,,74.23,73.92,74.28,73.80,,,,,,,,,,,,,,,,,0,0
"2015-06-26 11:15:00",0,0,0,63.95,64.63,65.18,63.91,,,,,,,70.91,65.47,72.41,56.76,,63.66,62.65,65.53,55.84,,72.64,73.79,74.63,72.54,,,,,,,,,,,,,,,,,0,0
"2015-06-26 11:30:00",0,0,0,63.09,63.31,63.97,62.91,,,,,,,62.23,66.88,72.17,56.66,,65.47,62.99,65.57,55.76,,71.42,71.86,72.66,71.30,,,,,,,,,,,,,,,,,0,0
"2015-06-26 11:45:00",0,0,0,62.50,63.07,63.41,62.46,,,,,,,71.06,68.90,71.20,62.23,,66.09,63.25,66.26,55.46,,70.58,71.05,71.42,70.56,,,,,,,,,,,,,,,,,0,0
