time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-26 12:00:00",0,0,0,62.27,62.56,63.12,62.24,,,,,,,69.92,65.01,71.21,56.60,,59.36,61.81,66.36,55.38,,72.39,71.28,72.49,70.34,,,,,,,,,,,,,,,,,0,0
"2015-06-26 12:15:00",0,0,0,61.63,62.06,62.44,61.55,,,,,,,70.89,70.65,70.98,69.85,,55.45,61.77,64.33,54.74,,72.18,71.59,72.46,70.94,,,,,,,,,,,,,,,,,0,0
"2015-06-26 12:30:00",0,0,0,62.09,61.77,62.13,61.43,,,,,,,71.35,71.08,71.43,70.77,,60.75,62.52,66.25,55.27,,72.13,72.10,72.86,71.24,,,,,,,,,,,,,,,,,0,0
"2015-06-26 12:45:00",0,0,0,63.25,62.78,63.28,62.08,,,,,,,71.90,71.57,72.00,71.23,,61.99,62.73,66.15,55.78,,72.01,72.75,73.41,71.96,,,,,,,,,,,,,,,,,0,0
"2015-06-26 13:00:00",0,0,0,64.26,63.61,64.29,63.16,,,,,,,72.63,72.15,72.63,71.81,,62.96,62.71,65.67,55.93,,73.02,72.20,73.09,71.43,,,,,,,,,,,,,,,,,0,0
"2015-06-26 13:15:00",0,0,0,65.45,65.14,65.59,64.22,,,,,,,63.77,66.98,73.21,57.07,,62.76,63.29,66.37,56.30,,72.78,72.81,73.49,72.15,,,,,,,,,,,,,,,,,0,0
"2015-06-26 13:30:00",0,0,0,67.40,66.29,67.49,65.43,,,,,,,57.66,67.31,73.33,57.39,,64.50,62.64,64.63,56.52,,73.66,73.37,74.02,72.73,,,,,,,,,,,,,,,,,0,0
"2015-06-26 13:45:00",0,0,0,70.74,68.99,70.75,67.34,,,,,,,70.07,68.95,74.25,57.72,,64.26,63.60,66.12,57.33,,73.43,73.20,73.72,72.76,,,,,,,,,,,,,,,,,0,0
"2015-06-26 14:00:00",0,0,0,73.99,72.31,73.98,70.62,,,,,,,74.28,67.00,74.40,58.49,,65.67,63.61,65.82,56.95,,73.43,73.81,74.40,73.36,,,,,,,,,,,,,,,,,0,0
"2015-06-26 14:15:00",0,0,0,79.09,76.24,79.09,73.87,,,,,,,74.20,67.40,74.67,58.88,,66.45,63.80,66.39,57.28,,74.60,73.91,74.81,73.37,,,,,,,,,,,,,,,,,0,0
"2015-06-26 14:30:00",0,0,0,82.91,81.14,82.93,79.04,,,,,,,72.68,67.76,75.17,59.22,,59.34,63.89,66.45,57.80,,73.79,73.98,74.69,73.67,,,,,,,,,,,,,,,,,0,0
"2015-06-26 14:45:00",0,0,0,85.55,84.26,85.53,82.87,,,,,,,67.95,68.40,75.73,59.44,,64.38,63.88,66.93,57.86,,74.36,74.55,75.13,73.72,,,,,,,,,,,,,,,,,0,0
"2015-06-26 15:00:00",0,0,0,87.94,86.75,87.98,85.48,,,,,,,65.53,68.56,75.85,59.67,,65.12,64.09,66.00,58.03,,75.27,74.39,75.35,74.06,,,,,,,,,,,,,,,,,0,0
"2015-06-26 15:15:00",0,0,0,87.61,88.61,89.38,87.58,,,,,,,60.41,69.89,76.37,60.07,,65.16,64.71,67.25,58.22,,74.48,74.88,75.47,74.42,,,,,,,,,,,,,,,,,0,0
