time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-26 18:45:00",0,0,0,92.10,91.92,92.19,91.61,,,,,,,62.68,68.86,80.03,62.28,,63.26,66.54,70.14,60.82,,65.48,76.17,77.61,65.51,,,,,,,,,,,,,,,,,0,0
"2015-06-26 19:00:00",0,0,0,93.00,92.38,93.04,91.98,,,,,,,62.87,68.30,79.79,61.97,,66.71,65.38,69.77,60.70,,75.91,69.19,75.98,59.78,,,,,,,,,,,,,,,,,0,0
"2015-06-26 19:15:00",0,0,0,93.44,93.29,93.67,92.98,,,,,,,62.45,68.48,80.32,62.33,,68.56,66.79,70.21,61.04,,77.51,76.92,77.56,75.91,,,,,,,,,,,,,,,,,0,0
"2015-06-26 19:30:00",0,0,0,94.02,93.87,94.42,93.42,,,,,,,62.96,68.49,80.13,62.31,,70.99,67.07,71.21,61.18,,61.67,74.26,78.03,61.67,,,,,,,,,,,,,,,,,0,0
"2015-06-26 19:45:00",0,0,0,94.58,94.41,94.73,93.98,,,,,,,63.60,68.39,79.90,61.99,,62.95,66.28,70.98,61.02,,76.71,71.79,76.74,60.61,,,,,,,,,,,,,,,,,0,0
"2015-06-26 20:00:00",0,0,0,95.44,95.06,95.50,94.50,,,,,,,63.95,68.62,80.49,62.71,,65.40,65.85,70.91,61.60,,78.06,77.56,78.10,76.72,,,,,,,,,,,,,,,,,0,0
"2015-06-26 20:15:00",0,0,0,96.57,95.98,96.65,95.36,,,,,,,64.87,68.19,79.87,62.34,,69.38,67.11,71.49,61.64,,76.73,71.28,78.17,62.30,,,,,,,,,,,,,,,,,0,0
"2015-06-26 20:30:00",0,0,0,96.94,96.83,97.27,96.54,,,,,,,67.14,67.90,80.13,62.37,,70.75,67.04,71.01,61.49,,70.31,77.48,78.43,70.36,,,,,,,,,,,,,,,,,0,0
"2015-06-26 20:45:00",0,0,0,97.69,97.42,97.77,96.86,,,,,,,70.14,67.51,79.67,62.33,,64.40,66.72,71.45,61.54,,77.54,71.45,77.56,62.05,,,,,,,,,,,,,,,,,0,0
"2015-06-26 21:00:00",0,0,0,98.99,98.23,99.06,97.60,,,,,,,78.95,66.71,78.99,62.43,,62.21,66.12,71.38,61.91,,63.58,74.13,78.70,62.09,,,,,,,,,,,,,,,,,0,0
"2015-06-26 21:15:00",0,0,0,98.85,98.47,99.03,97.98,,,,,,,75.80,66.39,78.98,62.33,,69.90,66.27,71.06,61.71,,78.49,74.83,78.48,63.60,,,,,,,,,,,,,,,,,0,0
"2015-06-26 21:30:00",0,0,0,99.45,99.16,99.49,98.80,,,,,,,69.38,66.90,79.92,62.29,,69.72,67.02,71.45,61.52,,74.89,72.01,78.88,62.08,,,,,,,,,,,,,,,,,0,0
"2015-06-26 21:45:00",0,0,0,99.63,99.64,100.11,99.17,,,,,,,62.68,67.55,79.82,62.62,,70.94,67.14,71.74,62.00,,79.07,77.54,79.15,74.91,,,,,,,,,,,,,,,,,0,0
"2015-06-26 22:00:00",0,0,0,101.44,100.46,101.70,99.46,,,,,,,63.46,67.94,78.76,62.49,,65.24,66.64,71.32,61.71,,77.19,70.97,79.16,62.05,,,,,,,,,,,,,,,,,0,0
