time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-26 22:15:00",0,0,0,100.87,101.07,101.56,100.66,,,,,,,64.53,67.36,79.16,62.31,,62.64,66.23,71.57,62.08,,63.14,76.24,79.15,63.15,,,,,,,,,,,,,,,,,0,0
"2015-06-26 22:30:00",0,0,0,103.74,102.50,103.75,100.80,,,,,,,75.97,66.19,79.06,62.29,,62.60,65.88,71.32,61.61,,78.55,72.56,78.53,61.39,,,,,,,,,,,,,,,,,0,0
"2015-06-26 22:45:00",0,0,0,111.38,107.70,111.45,103.74,,,,,,,70.89,65.04,75.89,62.36,,70.55,66.79,71.61,62.27,,72.56,71.86,79.17,61.74,,,,,,,,,,,,,,,,,0,0
"2015-06-26 23:00:00",0,0,0,110.19,111.80,113.57,110.19,,,,,,,62.85,67.11,78.86,62.79,,70.38,67.10,71.86,62.25,,79.30,77.40,79.36,72.59,,,,,,,,,,,,,,,,,0,0
"2015-06-26 23:15:00",0,0,0,111.16,111.21,112.46,109.58,,,,,,,63.84,67.20,77.50,62.55,,69.59,67.16,71.91,62.26,,77.36,71.70,79.46,62.05,,,,,,,,,,,,,,,,,0,0
"2015-06-26 23:30:00",0,0,0,111.28,111.65,112.66,110.67,,,,,,,70.83,66.27,78.13,62.50,,64.88,66.67,71.81,62.30,,65.51,77.48,79.66,65.57,,,,,,,,,,,,,,,,,0,0
"2015-06-26 23:45:00",0,0,0,115.37,112.32,115.48,110.56,,,,,,,66.76,63.80,70.81,62.58,,63.13,66.16,71.68,61.90,,78.33,71.66,78.40,61.49,,,,,,,,,,,,,,,,,0,0
"2015-06-27 00:00:00",0,0,0,112.67,114.90,116.14,112.76,,,,,,,63.01,67.18,78.27,62.27,,62.15,66.00,72.32,61.85,,69.98,72.00,79.17,61.34,,,,,,,,,,,,,,,,,0,0
"2015-06-27 00:15:00",0,0,0,112.94,112.32,112.95,111.71,,,,,,,63.99,67.07,77.68,62.74,,70.07,66.58,71.47,61.88,,78.87,76.44,78.90,70.03,,,,,,,,,,,,,,,,,0,0
"2015-06-27 00:30:00",0,0,0,110.73,112.34,113.51,110.65,,,,,,,76.03,65.29,77.38,62.17,,70.09,67.02,72.58,61.71,,76.44,70.30,79.05,61.17,,,,,,,,,,,,,,,,,0,0
"2015-06-27 00:45:00",0,0,0,110.24,110.17,110.84,109.32,,,,,,,64.63,64.34,76.00,62.31,,67.08,66.82,71.35,61.74,,69.06,77.75,79.08,69.07,,,,,,,,,,,,,,,,,0,0
"2015-06-27 01:00:00",0,0,0,110.22,109.68,110.36,109.02,,,,,,,62.76,66.66,76.61,62.30,,62.89,65.97,71.10,61.45,,77.50,70.38,77.50,61.19,,,,,,,,,,,,,,,,,0,0
"2015-06-27 01:15:00",0,0,0,108.65,109.43,110.34,108.48,,,,,,,62.86,66.26,76.65,62.13,,62.56,65.50,71.05,61.22,,65.99,72.26,78.68,60.05,,,,,,,,,,,,,,,,,0,0
