time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-27 01:30:00",0,0,0,106.12,107.54,108.71,106.07,,,,,,,68.32,65.73,76.42,61.92,,69.17,66.37,70.77,61.18,,77.91,74.74,77.95,66.02,,,,,,,,,,,,,,,,,0,0
"2015-06-27 01:45:00",0,0,0,105.61,106.56,107.13,105.60,,,,,,,74.30,64.17,74.28,60.90,,70.22,66.60,70.67,60.99,,72.08,70.71,78.30,60.13,,,,,,,,,,,,,,,,,0,0
"2015-06-27 02:00:00",0,0,0,102.77,103.97,105.73,102.72,,,,,,,67.77,64.88,75.90,61.30,,62.91,65.97,70.47,60.85,,77.54,76.09,77.61,72.03,,,,,,,,,,,,,,,,,0,0
"2015-06-27 02:15:00",0,0,0,100.57,101.81,102.81,100.52,,,,,,,62.88,65.63,76.33,60.82,,63.95,64.82,69.87,60.48,,77.74,77.73,77.83,77.54,,,,,,,,,,,,,,,,,0,0
"2015-06-27 02:30:00",0,0,0,94.00,96.88,100.58,93.95,,,,,,,60.73,65.32,75.51,59.86,,69.34,66.56,71.47,60.05,,51.47,57.87,77.82,51.42,,,,,,,,,,,,,,,,,0,0
"2015-06-27 02:45:00",0,0,0,90.39,92.09,94.02,90.37,,,,,,,60.24,65.63,76.02,59.58,,66.32,66.55,70.84,59.77,,49.79,50.42,51.48,49.77,,,,,,,,,,,,,,,,,0,0
"2015-06-27 03:00:00",0,0,0,87.67,88.95,90.43,87.66,,,,,,,60.67,65.79,76.02,59.14,,59.16,64.87,70.52,59.10,,49.10,49.36,49.82,49.05,,,,,,,,,,,,,,,,,0,0
"2015-06-27 03:15:00",0,0,0,85.81,86.65,87.73,85.72,,,,,,,63.63,65.74,75.95,58.76,,67.39,65.34,69.77,58.84,,49.65,48.79,49.63,48.43,,,,,,,,,,,,,,,,,0,0
"2015-06-27 03:30:00",0,0,0,84.58,85.21,85.83,84.53,,,,,,,65.73,65.95,76.22,58.76,,69.20,65.83,69.20,58.97,,49.98,57.50,63.49,49.71,,,,,,,,,,,,,,,,,0,0
"2015-06-27 03:45:00",0,0,0,82.48,83.59,84.58,82.45,,,,,,,66.90,66.35,75.90,58.45,,58.71,64.68,69.26,58.52,,58.54,49.95,58.54,47.23,,,,,,,,,,,,,,,,,0,0
"2015-06-27 04:00:00",0,0,0,81.43,82.05,82.54,81.43,,,,,,,68.23,66.15,75.66,58.03,,66.28,64.64,68.96,57.93,,46.97,50.56,60.82,46.95,,,,,,,,,,,,,,,,,0,0
"2015-06-27 04:15:00",0,0,0,79.49,80.29,81.50,79.33,,,,,,,71.45,66.41,75.05,58.28,,67.65,65.03,67.72,57.66,,48.02,54.65,61.61,46.95,,,,,,,,,,,,,,,,,0,0
"2015-06-27 04:30:00",0,0,0,77.70,78.52,79.58,77.59,,,,,,,72.51,66.38,75.05,57.85,,59.13,64.27,68.03,57.60,,58.66,49.60,58.67,46.17,,,,,,,,,,,,,,,,,0,0
