time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-27 08:15:00",0,0,0,66.49,66.61,66.82,66.46,,,,,,,70.60,65.69,73.04,56.55,,57.23,62.43,64.81,56.18,,72.81,73.26,74.11,72.54,,,,,,,,,,,,,,,,,0,0
"2015-06-27 08:30:00",0,0,0,65.97,66.41,66.63,65.93,,,,,,,65.44,66.08,72.97,56.37,,62.65,61.97,64.71,55.64,,73.05,72.94,73.12,72.76,,,,,,,,,,,,,,,,,0,0
"2015-06-27 08:45:00",0,0,0,65.54,65.73,66.03,65.39,,,,,,,57.42,68.26,72.51,57.40,,63.18,62.35,64.58,55.67,,73.37,73.05,73.37,72.91,,,,,,,,,,,,,,,,,0,0
"2015-06-27 09:00:00",0,0,0,65.35,65.30,65.57,65.06,,,,,,,71.79,67.24,72.39,56.57,,64.88,62.48,64.92,55.59,,74.75,74.08,74.96,73.27,,,,,,,,,,,,,,,,,0,0
"2015-06-27 09:15:00",0,0,0,64.52,64.93,65.36,64.50,,,,,,,71.42,65.20,71.93,56.29,,64.15,62.81,65.38,55.75,,73.21,73.66,74.81,73.14,,,,,,,,,,,,,,,,,0,0
"2015-06-27 09:30:00",0,0,0,63.95,64.34,64.63,63.94,,,,,,,67.08,65.22,72.17,55.68,,56.22,62.02,64.44,55.88,,73.26,73.18,73.29,73.09,,,,,,,,,,,,,,,,,0,0
"2015-06-27 09:45:00",0,0,0,62.84,63.28,64.00,62.77,,,,,,,57.38,67.84,71.63,57.00,,62.16,61.54,64.84,55.30,,74.07,73.85,74.67,73.12,,,,,,,,,,,,,,,,,0,0
"2015-06-27 10:00:00",0,0,0,62.87,62.69,63.20,62.33,,,,,,,71.52,67.50,71.63,57.35,,62.43,61.97,64.13,55.32,,73.82,73.67,74.09,73.44,,,,,,,,,,,,,,,,,0,0
"2015-06-27 10:15:00",0,0,0,62.66,62.74,62.96,62.58,,,,,,,70.45,64.88,71.83,55.86,,63.28,62.08,64.06,55.39,,75.66,74.97,75.73,73.82,,,,,,,,,,,,,,,,,0,0
"2015-06-27 10:30:00",0,0,0,63.30,62.94,63.41,62.60,,,,,,,63.13,66.27,72.01,56.21,,64.11,62.57,64.34,55.76,,75.93,75.77,76.00,75.57,,,,,,,,,,,,,,,,,0,0
"2015-06-27 10:45:00",0,0,0,64.38,63.82,64.44,63.30,,,,,,,63.90,69.76,72.73,63.16,,64.57,63.01,65.71,56.09,,76.02,75.89,76.07,75.69,,,,,,,,,,,,,,,,,0,0
"2015-06-27 11:00:00",0,0,0,65.39,64.86,65.43,64.29,,,,,,,72.82,66.80,72.89,57.63,,56.50,62.04,64.57,56.17,,74.77,75.29,76.02,74.45,,,,,,,,,,,,,,,,,0,0
"2015-06-27 11:15:00",0,0,0,65.77,65.69,65.89,65.31,,,,,,,71.20,66.37,73.16,57.30,,63.28,63.30,66.40,56.54,,72.05,73.09,74.75,72.00,,,,,,,,,,,,,,,,,0,0
