time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-27 11:30:00",0,0,0,65.47,65.78,66.02,65.37,,,,,,,65.97,66.99,72.87,57.42,,63.28,63.60,66.73,56.51,,71.19,71.57,72.08,71.12,,,,,,,,,,,,,,,,,0,0
"2015-06-27 11:45:00",0,0,0,65.75,65.29,65.77,65.07,,,,,,,60.52,69.95,72.66,60.57,,65.27,62.98,65.32,56.06,,70.56,70.83,71.23,70.46,,,,,,,,,,,,,,,,,0,0
"2015-06-27 12:00:00",0,0,0,65.57,65.80,66.07,65.47,,,,,,,72.05,66.53,72.19,56.73,,65.90,63.58,65.96,56.16,,72.05,71.77,72.68,70.44,,,,,,,,,,,,,,,,,0,0
"2015-06-27 12:15:00",0,0,0,64.53,65.00,65.63,64.49,,,,,,,71.13,66.07,72.36,57.18,,64.04,62.87,66.43,56.08,,72.98,72.27,73.07,71.37,,,,,,,,,,,,,,,,,0,0
"2015-06-27 12:30:00",0,0,0,64.74,64.48,64.76,64.32,,,,,,,64.69,66.54,72.47,56.60,,57.16,62.30,64.51,55.72,,72.83,72.38,73.07,71.79,,,,,,,,,,,,,,,,,0,0
"2015-06-27 12:45:00",0,0,0,65.38,65.02,65.46,64.65,,,,,,,69.32,70.70,72.66,64.73,,62.51,62.76,65.99,55.88,,72.80,72.72,73.29,72.05,,,,,,,,,,,,,,,,,0,0
"2015-06-27 13:00:00",0,0,0,66.31,65.81,66.36,65.34,,,,,,,72.34,65.46,72.37,56.39,,63.49,62.52,64.46,56.19,,72.64,73.09,73.56,72.52,,,,,,,,,,,,,,,,,0,0
"2015-06-27 13:15:00",0,0,0,67.86,67.00,67.90,66.24,,,,,,,69.75,66.51,73.21,57.47,,63.41,63.29,65.31,56.65,,73.36,72.75,73.37,72.10,,,,,,,,,,,,,,,,,0,0
"2015-06-27 13:30:00",0,0,0,69.75,68.73,69.82,67.79,,,,,,,58.26,69.95,73.80,58.26,,64.75,63.34,65.59,56.79,,73.07,73.32,73.94,72.85,,,,,,,,,,,,,,,,,0,0
"2015-06-27 13:45:00",0,0,0,71.81,70.82,71.84,69.63,,,,,,,71.15,69.34,74.16,58.20,,66.47,63.86,66.61,56.80,,73.87,73.66,74.43,73.00,,,,,,,,,,,,,,,,,0,0
"2015-06-27 14:00:00",0,0,0,74.30,72.98,74.43,71.73,,,,,,,74.33,66.96,74.38,58.19,,64.73,63.74,67.01,57.27,,73.51,73.49,73.95,73.31,,,,,,,,,,,,,,,,,0,0
"2015-06-27 14:15:00",0,0,0,80.37,76.81,80.37,74.26,,,,,,,73.22,67.39,74.98,58.72,,60.22,63.78,66.18,57.38,,73.77,74.16,74.69,73.43,,,,,,,,,,,,,,,,,0,0
"2015-06-27 14:30:00",0,0,0,83.54,82.00,83.58,80.34,,,,,,,68.11,67.82,75.53,58.79,,64.24,63.24,65.83,57.86,,74.86,74.22,75.10,73.60,,,,,,,,,,,,,,,,,0,0
"2015-06-27 14:45:00",0,0,0,85.88,84.63,85.88,83.52,,,,,,,63.27,68.84,75.75,59.18,,64.76,64.57,66.79,58.07,,74.02,74.29,74.82,73.94,,,,,,,,,,,,,,,,,0,0
