time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-27 15:00:00",0,0,0,88.60,87.27,88.69,85.82,,,,,,,60.68,70.30,76.14,60.61,,65.49,64.49,66.67,58.43,,74.48,74.96,75.51,74.00,,,,,,,,,,,,,,,,,0,0
"2015-06-27 15:15:00",0,0,0,88.10,88.81,89.38,88.10,,,,,,,62.32,69.53,76.56,59.68,,67.17,65.04,67.23,58.68,,75.68,74.94,75.91,74.23,,,,,,,,,,,,,,,,,0,0
"2015-06-27 15:30:00",0,0,0,85.18,86.03,88.08,85.12,,,,,,,64.00,69.28,77.02,60.16,,61.76,64.79,67.54,58.88,,74.69,75.02,75.66,74.50,,,,,,,,,,,,,,,,,0,0
"2015-06-27 15:45:00",0,0,0,85.37,85.20,85.38,85.08,,,,,,,65.02,68.97,77.19,60.18,,65.03,64.20,67.50,58.58,,75.20,75.57,76.04,74.70,,,,,,,,,,,,,,,,,0,0
"2015-06-27 16:00:00",0,0,0,85.23,85.12,85.38,84.91,,,,,,,65.88,69.36,77.74,60.62,,66.45,65.01,67.04,59.06,,76.22,75.35,76.29,74.79,,,,,,,,,,,,,,,,,0,0
"2015-06-27 16:15:00",0,0,0,85.91,85.60,86.01,85.19,,,,,,,66.07,68.79,77.93,60.62,,66.33,65.34,67.49,59.22,,75.18,75.64,76.25,75.11,,,,,,,,,,,,,,,,,0,0
"2015-06-27 16:30:00",0,0,0,87.04,86.32,87.09,85.88,,,,,,,65.57,68.78,78.25,61.04,,65.20,65.79,68.42,59.41,,76.06,75.97,76.49,75.11,,,,,,,,,,,,,,,,,0,0
"2015-06-27 16:45:00",0,0,0,87.15,87.27,87.55,86.98,,,,,,,64.01,68.77,78.74,61.30,,63.25,64.73,67.94,59.67,,75.57,75.75,76.08,75.55,,,,,,,,,,,,,,,,,0,0
"2015-06-27 17:00:00",0,0,0,88.40,87.96,88.60,87.17,,,,,,,63.39,68.84,78.97,60.96,,66.92,66.00,68.64,59.92,,74.81,69.72,75.52,61.57,,,,,,,,,,,,,,,,,0,0
"2015-06-27 17:15:00",0,0,0,89.83,89.10,89.87,88.30,,,,,,,63.80,69.29,79.46,61.87,,67.69,66.09,68.10,60.21,,74.98,75.36,75.84,74.74,,,,,,,,,,,,,,,,,0,0
"2015-06-27 17:30:00",0,0,0,90.80,90.26,90.86,89.64,,,,,,,63.18,68.68,79.23,62.27,,62.95,66.24,69.34,60.52,,76.82,75.96,76.93,74.80,,,,,,,,,,,,,,,,,0,0
"2015-06-27 17:45:00",0,0,0,90.96,90.84,91.09,90.64,,,,,,,62.59,68.62,79.50,62.31,,67.47,65.44,69.61,60.47,,76.49,76.61,76.86,76.41,,,,,,,,,,,,,,,,,0,0
"2015-06-27 18:00:00",0,0,0,90.97,90.77,91.09,90.31,,,,,,,63.12,68.91,79.01,62.28,,67.54,66.32,69.43,60.18,,66.27,67.38,76.78,58.23,,,,,,,,,,,,,,,,,0,0
