time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-27 18:15:00",0,0,0,91.91,91.62,91.98,90.96,,,,,,,63.14,69.15,80.10,62.46,,67.55,66.67,69.65,60.54,,76.64,73.70,76.67,66.30,,,,,,,,,,,,,,,,,0,0
"2015-06-27 18:30:00",0,0,0,91.98,92.11,92.36,91.80,,,,,,,62.56,68.47,79.90,62.30,,60.92,65.79,70.31,60.94,,77.02,76.82,77.04,76.60,,,,,,,,,,,,,,,,,0,0
"2015-06-27 18:45:00",0,0,0,91.73,91.59,92.00,91.29,,,,,,,62.89,68.32,79.88,62.27,,68.32,65.98,69.75,60.54,,77.25,77.17,77.62,76.98,,,,,,,,,,,,,,,,,0,0
"2015-06-27 19:00:00",0,0,0,93.91,92.75,94.00,91.67,,,,,,,63.82,69.02,79.89,62.28,,69.03,66.95,70.45,61.10,,75.27,68.54,77.27,60.58,,,,,,,,,,,,,,,,,0,0
"2015-06-27 19:15:00",0,0,0,94.80,94.47,95.09,93.66,,,,,,,63.88,69.40,81.04,62.92,,64.24,66.93,70.93,61.63,,77.96,77.27,78.03,75.20,,,,,,,,,,,,,,,,,0,0
"2015-06-27 19:30:00",0,0,0,95.69,95.40,95.90,94.66,,,,,,,63.28,68.93,81.20,62.88,,61.45,65.86,70.75,61.33,,63.48,75.91,78.33,63.50,,,,,,,,,,,,,,,,,0,0
"2015-06-27 19:45:00",0,0,0,95.98,95.38,96.07,94.98,,,,,,,65.07,69.22,81.46,62.28,,69.65,66.54,70.43,61.48,,76.85,71.63,76.91,61.40,,,,,,,,,,,,,,,,,0,0
"2015-06-27 20:00:00",0,0,0,97.51,96.52,97.54,95.99,,,,,,,65.86,69.50,81.68,63.29,,70.69,67.24,71.13,61.82,,73.34,77.72,78.49,73.36,,,,,,,,,,,,,,,,,0,0
"2015-06-27 20:15:00",0,0,0,99.89,98.80,99.92,97.44,,,,,,,69.04,68.61,81.79,62.53,,66.82,67.24,71.76,61.88,,77.25,71.21,77.24,62.46,,,,,,,,,,,,,,,,,0,0
"2015-06-27 20:30:00",0,0,0,100.36,99.97,100.42,99.52,,,,,,,78.67,67.88,81.02,63.17,,63.71,66.44,71.44,61.76,,63.61,75.57,78.94,63.60,,,,,,,,,,,,,,,,,0,0
"2015-06-27 20:45:00",0,0,0,100.55,100.36,100.64,100.13,,,,,,,78.36,66.86,78.56,63.46,,62.56,66.28,71.59,62.19,,78.22,74.10,78.27,63.13,,,,,,,,,,,,,,,,,0,0
"2015-06-27 21:00:00",0,0,0,102.20,101.60,102.26,100.50,,,,,,,64.97,67.43,81.91,62.54,,70.48,66.67,71.88,62.23,,73.44,72.11,79.10,62.13,,,,,,,,,,,,,,,,,0,0
"2015-06-27 21:15:00",0,0,0,101.94,102.47,103.01,101.84,,,,,,,64.16,69.68,81.84,64.15,,70.82,67.28,71.76,62.58,,79.07,77.49,79.10,73.43,,,,,,,,,,,,,,,,,0,0
