time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-27 21:30:00",0,0,0,103.37,102.90,103.58,101.91,,,,,,,65.36,68.86,81.01,62.42,,71.96,67.26,72.39,62.21,,77.31,71.52,79.28,62.29,,,,,,,,,,,,,,,,,0,0
"2015-06-27 21:45:00",0,0,0,103.93,103.09,103.97,102.37,,,,,,,79.15,67.08,81.03,63.36,,66.45,67.21,72.80,62.70,,65.26,76.72,79.61,65.27,,,,,,,,,,,,,,,,,0,0
"2015-06-27 22:00:00",0,0,0,106.35,104.08,106.37,103.14,,,,,,,63.57,65.46,79.11,63.48,,64.34,66.67,72.10,62.29,,79.00,73.07,79.01,63.18,,,,,,,,,,,,,,,,,0,0
"2015-06-27 22:15:00",0,0,0,110.07,108.45,110.03,106.32,,,,,,,63.18,69.10,82.02,63.17,,63.27,66.82,73.48,62.74,,73.88,72.79,79.81,63.09,,,,,,,,,,,,,,,,,0,0
"2015-06-27 22:30:00",0,0,0,115.36,111.37,115.46,109.49,,,,,,,67.65,67.76,81.47,62.73,,62.62,66.38,72.20,62.60,,77.17,78.13,79.79,73.95,,,,,,,,,,,,,,,,,0,0
"2015-06-27 22:45:00",0,0,0,117.88,118.36,119.55,115.38,,,,,,,70.85,63.97,70.81,62.88,,66.72,66.71,73.36,62.46,,78.07,70.52,78.09,62.07,,,,,,,,,,,,,,,,,0,0
"2015-06-27 23:00:00",0,0,0,122.32,119.84,122.40,116.98,,,,,,,62.40,68.41,81.83,62.38,,70.58,67.01,72.24,62.35,,62.18,75.01,80.12,62.13,,,,,,,,,,,,,,,,,0,0
"2015-06-27 23:15:00",0,0,0,117.87,122.21,124.30,117.85,,,,,,,68.29,67.43,81.03,62.38,,71.03,67.19,72.42,62.85,,80.06,75.12,80.07,62.17,,,,,,,,,,,,,,,,,0,0
"2015-06-27 23:30:00",0,0,0,115.60,116.77,117.87,115.59,,,,,,,63.17,63.74,68.27,62.31,,70.74,67.04,72.37,62.25,,75.54,71.62,80.43,62.06,,,,,,,,,,,,,,,,,0,0
"2015-06-27 23:45:00",0,0,0,111.35,114.21,115.69,111.38,,,,,,,62.65,67.87,80.50,62.31,,67.92,67.00,72.46,62.16,,64.71,76.25,79.55,64.70,,,,,,,,,,,,,,,,,0,0
"2015-06-28 00:00:00",0,0,0,105.98,107.51,111.37,105.85,,,,,,,65.35,67.22,80.15,61.82,,64.20,66.23,71.33,61.84,,78.36,72.15,78.37,61.82,,,,,,,,,,,,,,,,,0,0
"2015-06-28 00:15:00",0,0,0,101.48,102.86,106.07,101.47,,,,,,,77.89,64.57,77.92,61.11,,61.78,65.96,72.32,61.82,,73.46,70.79,79.05,60.61,,,,,,,,,,,,,,,,,0,0
"2015-06-28 00:30:00",0,0,0,101.26,101.29,101.54,101.05,,,,,,,69.05,65.22,78.93,61.60,,68.91,65.66,70.62,61.19,,78.54,77.00,78.59,73.53,,,,,,,,,,,,,,,,,0,0
"2015-06-28 00:45:00",0,0,0,100.73,101.15,101.61,100.63,,,,,,,61.95,66.51,78.40,61.43,,68.96,66.77,71.66,60.96,,76.57,69.96,78.59,60.56,,,,,,,,,,,,,,,,,0,0
