time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-28 04:15:00",0,0,0,76.92,77.74,78.37,76.88,,,,,,,73.16,66.58,74.38,59.33,,60.14,63.94,66.59,57.65,,78.43,78.74,79.35,78.43,,,,,,,,,,,,,,,,,0,0
"2015-06-28 04:30:00",0,0,0,75.65,76.33,76.95,75.64,,,,,,,72.49,65.79,74.37,58.66,,64.38,62.85,66.18,57.09,,78.49,78.57,78.89,78.29,,,,,,,,,,,,,,,,,0,0
"2015-06-28 04:45:00",0,0,0,76.07,75.70,76.07,75.43,,,,,,,72.92,65.76,73.84,58.53,,65.29,63.70,65.84,57.32,,78.01,78.17,78.50,77.96,,,,,,,,,,,,,,,,,0,0
"2015-06-28 05:00:00",0,0,0,75.06,75.57,76.11,75.05,,,,,,,73.41,66.27,74.20,58.73,,61.55,63.78,66.00,57.41,,77.99,78.37,79.00,77.93,,,,,,,,,,,,,,,,,0,0
"2015-06-28 05:15:00",0,0,0,73.42,74.37,75.12,73.39,,,,,,,72.65,65.61,74.18,58.13,,64.35,62.66,65.98,57.18,,77.93,77.84,78.00,77.72,,,,,,,,,,,,,,,,,0,0
"2015-06-28 05:30:00",0,0,0,72.41,72.76,73.45,72.22,,,,,,,72.85,66.13,74.03,58.48,,64.71,63.51,65.79,57.02,,77.84,78.26,79.04,77.72,,,,,,,,,,,,,,,,,0,0
"2015-06-28 05:45:00",0,0,0,72.61,72.71,72.91,72.36,,,,,,,72.39,66.28,74.16,58.56,,65.31,63.51,65.57,56.99,,78.22,77.74,78.26,77.57,,,,,,,,,,,,,,,,,0,0
"2015-06-28 06:00:00",0,0,0,72.37,72.55,72.73,72.36,,,,,,,71.49,65.92,73.94,58.17,,58.82,62.44,65.52,56.85,,77.39,77.86,78.49,77.37,,,,,,,,,,,,,,,,,0,0
"2015-06-28 06:15:00",0,0,0,71.73,72.01,72.40,71.71,,,,,,,70.55,65.96,73.68,58.04,,64.04,62.98,65.36,56.78,,78.19,77.41,78.21,77.18,,,,,,,,,,,,,,,,,0,0
"2015-06-28 06:30:00",0,0,0,71.11,71.32,71.77,71.05,,,,,,,69.92,66.42,73.93,58.41,,64.66,63.24,65.30,56.86,,77.11,77.50,78.45,77.05,,,,,,,,,,,,,,,,,0,0
"2015-06-28 06:45:00",0,0,0,71.82,71.29,71.83,71.00,,,,,,,66.43,66.27,74.04,57.86,,61.95,63.14,65.31,56.72,,78.12,77.21,78.12,76.95,,,,,,,,,,,,,,,,,0,0
"2015-06-28 07:00:00",0,0,0,71.03,71.50,71.93,70.95,,,,,,,64.42,66.79,73.94,58.27,,63.24,62.18,65.24,56.77,,76.98,77.30,78.26,76.92,,,,,,,,,,,,,,,,,0,0
"2015-06-28 07:15:00",0,0,0,70.48,70.77,71.09,70.43,,,,,,,60.87,67.36,74.18,58.29,,64.01,63.10,65.23,56.85,,77.84,76.99,77.88,76.82,,,,,,,,,,,,,,,,,0,0
"2015-06-28 07:30:00",0,0,0,70.59,70.62,70.84,70.40,,,,,,,59.35,67.96,74.23,59.35,,64.71,63.30,65.24,56.93,,76.67,,78.01,76.67,,,,,,,,,,,,,,,,,0,0
