time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-28 07:45:00",0,0,0,69.79,70.22,70.66,69.72,,,,,,,62.46,67.38,74.08,58.04,,60.78,63.23,65.30,56.84,,76.52,76.60,76.72,76.48,,,,,,,,,,,,,,,,,0,0
"2015-06-28 08:00:00",0,0,0,68.82,69.29,69.81,68.77,,,,,,,68.78,67.42,74.13,58.27,,63.71,62.30,65.26,56.65,,76.56,76.89,77.78,76.49,,,,,,,,,,,,,,,,,0,0
"2015-06-28 08:15:00",0,0,0,68.31,68.64,68.93,68.22,,,,,,,73.67,66.25,73.74,57.72,,63.96,63.05,65.10,56.57,,76.50,76.77,77.21,76.47,,,,,,,,,,,,,,,,,0,0
"2015-06-28 08:30:00",0,0,0,67.90,68.11,68.35,67.87,,,,,,,72.82,66.10,73.98,57.57,,64.75,63.23,65.03,56.52,,76.90,76.92,77.58,76.40,,,,,,,,,,,,,,,,,0,0
"2015-06-28 08:45:00",0,0,0,67.07,67.51,67.94,67.01,,,,,,,71.42,66.35,73.74,57.67,,62.96,63.12,65.28,56.43,,76.23,76.46,76.95,76.22,,,,,,,,,,,,,,,,,0,0
"2015-06-28 09:00:00",0,0,0,66.83,66.95,67.08,66.78,,,,,,,66.32,66.67,73.65,57.41,,59.55,61.86,64.80,56.18,,76.15,76.18,76.28,76.06,,,,,,,,,,,,,,,,,0,0
"2015-06-28 09:15:00",0,0,0,65.89,66.40,66.86,65.84,,,,,,,61.69,67.09,73.24,57.35,,63.27,62.63,65.10,56.23,,76.19,76.54,76.86,76.09,,,,,,,,,,,,,,,,,0,0
"2015-06-28 09:30:00",0,0,0,65.82,65.82,65.92,65.72,,,,,,,60.59,68.76,73.35,60.62,,63.73,62.68,64.65,56.09,,75.96,76.04,76.23,75.93,,,,,,,,,,,,,,,,,0,0
"2015-06-28 09:45:00",0,0,0,65.28,65.64,65.85,65.24,,,,,,,72.49,66.98,72.92,57.44,,64.37,62.66,64.68,55.90,,76.88,76.11,77.00,75.87,,,,,,,,,,,,,,,,,0,0
"2015-06-28 10:00:00",0,0,0,65.03,65.16,65.31,65.01,,,,,,,72.03,65.89,72.53,57.34,,60.46,62.56,64.85,56.07,,75.83,76.09,76.93,75.78,,,,,,,,,,,,,,,,,0,0
"2015-06-28 10:15:00",0,0,0,64.96,64.93,65.18,64.75,,,,,,,70.72,65.74,72.70,56.91,,61.41,61.56,64.40,55.92,,75.64,75.74,75.85,75.62,,,,,,,,,,,,,,,,,0,0
"2015-06-28 10:30:00",0,0,0,65.35,65.25,65.44,64.91,,,,,,,66.06,66.50,73.00,57.19,,62.99,62.77,65.04,56.13,,75.83,75.80,76.10,75.59,,,,,,,,,,,,,,,,,0,0
"2015-06-28 10:45:00",0,0,0,65.58,65.38,65.66,65.24,,,,,,,58.71,69.31,72.99,58.77,,63.27,62.40,64.46,55.93,,75.52,75.80,76.32,75.45,,,,,,,,,,,,,,,,,0,0
