time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-28 11:00:00",0,0,0,65.90,65.75,65.95,65.57,,,,,,,72.77,67.71,72.95,57.66,,64.69,62.54,64.77,55.93,,75.61,75.56,75.87,75.36,,,,,,,,,,,,,,,,,0,0
"2015-06-28 11:15:00",0,0,0,65.89,65.82,65.97,65.63,,,,,,,72.19,66.06,72.72,57.42,,65.62,63.42,65.81,56.06,,73.06,74.04,75.61,73.01,,,,,,,,,,,,,,,,,0,0
"2015-06-28 11:30:00",0,0,0,66.48,66.13,66.56,65.86,,,,,,,69.94,66.62,73.07,57.78,,58.18,63.28,66.21,55.90,,72.09,72.49,73.08,72.08,,,,,,,,,,,,,,,,,0,0
"2015-06-28 11:45:00",0,0,0,65.72,66.23,66.62,65.71,,,,,,,62.24,67.38,73.14,57.23,,62.64,63.06,66.78,56.19,,71.56,71.85,72.19,71.54,,,,,,,,,,,,,,,,,0,0
"2015-06-28 12:00:00",0,0,0,66.61,66.20,66.74,65.58,,,,,,,64.76,69.67,72.66,62.25,,63.93,62.76,65.07,56.13,,73.67,72.34,73.85,71.29,,,,,,,,,,,,,,,,,0,0
"2015-06-28 12:15:00",0,0,0,65.21,65.95,66.67,65.15,,,,,,,71.88,66.13,71.93,57.49,,63.23,62.94,65.61,55.93,,74.09,73.14,74.11,72.15,,,,,,,,,,,,,,,,,0,0
"2015-06-28 12:30:00",0,0,0,65.51,65.27,65.51,65.06,,,,,,,70.91,65.70,72.26,56.93,,63.72,62.59,64.89,56.03,,73.75,73.44,74.23,72.46,,,,,,,,,,,,,,,,,0,0
"2015-06-28 12:45:00",0,0,0,67.43,66.26,67.45,65.43,,,,,,,65.13,66.84,72.82,57.47,,65.36,63.13,65.54,56.16,,73.07,73.78,74.40,72.83,,,,,,,,,,,,,,,,,0,0
"2015-06-28 13:00:00",0,0,0,67.53,67.68,67.93,67.40,,,,,,,59.77,69.66,73.38,59.78,,60.16,62.72,65.44,56.27,,73.69,74.08,74.51,73.06,,,,,,,,,,,,,,,,,0,0
"2015-06-28 13:15:00",0,0,0,68.68,68.13,68.76,67.49,,,,,,,73.23,68.10,73.77,58.25,,60.96,62.04,64.67,56.40,,74.58,73.81,74.59,73.05,,,,,,,,,,,,,,,,,0,0
"2015-06-28 13:30:00",0,0,0,69.84,69.00,69.83,68.61,,,,,,,73.73,66.87,73.77,58.42,,63.43,63.64,66.26,56.99,,74.16,74.14,74.82,73.48,,,,,,,,,,,,,,,,,0,0
"2015-06-28 13:45:00",0,0,0,72.04,71.08,72.07,69.77,,,,,,,73.24,67.33,74.31,58.99,,64.69,63.10,64.88,56.80,,74.43,74.67,75.17,74.15,,,,,,,,,,,,,,,,,0,0
"2015-06-28 14:00:00",0,0,0,74.88,73.25,74.90,72.01,,,,,,,71.84,67.61,74.78,59.19,,64.48,63.91,66.00,57.46,,74.68,74.38,74.72,74.02,,,,,,,,,,,,,,,,,0,0
"2015-06-28 14:15:00",0,0,0,80.94,77.65,80.95,74.88,,,,,,,67.79,68.52,75.22,59.68,,66.07,64.25,66.32,57.64,,74.47,74.94,75.60,74.38,,,,,,,,,,,,,,,,,0,0
