time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-28 21:15:00",0,0,0,100.25,100.15,100.40,99.86,,,,,,,63.63,68.42,79.56,63.63,,68.42,66.36,71.61,62.16,,80.62,80.53,80.70,80.39,,,,,,,,,,,,,,,,,0,0
"2015-06-28 21:30:00",0,0,0,99.56,100.33,100.98,99.55,,,,,,,64.24,67.96,79.12,62.84,,70.38,67.27,72.75,62.25,,79.50,75.52,81.22,66.64,,,,,,,,,,,,,,,,,0,0
"2015-06-28 21:45:00",0,0,0,100.77,100.07,100.83,99.26,,,,,,,69.33,67.32,79.49,62.89,,70.82,67.15,71.64,62.27,,80.61,80.19,80.62,79.48,,,,,,,,,,,,,,,,,0,0
"2015-06-28 22:00:00",0,0,0,101.24,100.71,101.25,100.05,,,,,,,76.37,65.55,76.33,63.29,,68.69,67.10,72.05,62.44,,80.90,80.77,80.93,80.58,,,,,,,,,,,,,,,,,0,0
"2015-06-28 22:15:00",0,0,0,102.85,101.70,102.93,101.05,,,,,,,63.96,67.58,80.62,64.01,,65.91,66.83,72.19,62.49,,81.03,80.91,81.05,80.80,,,,,,,,,,,,,,,,,0,0
"2015-06-28 22:30:00",0,0,0,110.60,106.00,110.62,102.84,,,,,,,65.10,68.72,80.42,63.57,,64.52,66.65,72.27,62.66,,81.21,81.12,81.27,80.99,,,,,,,,,,,,,,,,,0,0
"2015-06-28 22:45:00",0,0,0,112.80,111.77,112.87,110.56,,,,,,,80.50,65.74,80.53,62.50,,63.57,66.55,72.29,62.63,,78.58,72.30,81.65,62.75,,,,,,,,,,,,,,,,,0,0
"2015-06-28 23:00:00",0,0,0,111.78,112.73,113.32,111.73,,,,,,,63.25,66.13,80.56,63.16,,63.12,66.45,72.31,62.65,,81.18,80.41,81.22,78.58,,,,,,,,,,,,,,,,,0,0
"2015-06-28 23:15:00",0,0,0,116.21,114.29,116.29,111.79,,,,,,,65.11,67.84,79.96,63.11,,62.76,66.41,72.41,62.52,,81.65,81.48,81.72,81.18,,,,,,,,,,,,,,,,,0,0
"2015-06-28 23:30:00",0,0,0,115.83,116.07,117.10,115.45,,,,,,,65.55,63.75,65.51,62.90,,63.95,66.38,72.19,62.38,,81.72,81.75,81.86,81.60,,,,,,,,,,,,,,,,,0,0
"2015-06-28 23:45:00",0,0,0,115.07,115.58,116.41,114.75,,,,,,,62.81,67.87,79.42,62.78,,70.38,66.66,72.19,62.46,,69.12,80.61,81.97,69.16,,,,,,,,,,,,,,,,,0,0
"2015-06-29 00:00:00",0,0,0,116.13,115.81,116.78,114.64,,,,,,,73.88,66.23,79.12,62.28,,70.48,67.11,73.45,62.27,,79.64,72.23,79.66,62.08,,,,,,,,,,,,,,,,,0,0
"2015-06-29 00:15:00",0,0,0,113.66,114.39,116.21,113.56,,,,,,,62.96,64.56,73.82,62.87,,70.69,66.88,71.91,62.33,,80.99,80.62,81.04,79.61,,,,,,,,,,,,,,,,,0,0
