time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-29 00:30:00",0,0,0,116.12,114.67,116.16,113.45,,,,,,,64.38,67.44,79.02,62.73,,71.63,66.86,72.05,62.31,,81.18,81.11,81.22,80.92,,,,,,,,,,,,,,,,,0,0
"2015-06-29 00:45:00",0,0,0,115.75,115.67,116.37,114.83,,,,,,,68.80,63.38,68.80,62.75,,66.65,66.77,71.96,62.38,,81.26,81.20,81.28,81.12,,,,,,,,,,,,,,,,,0,0
"2015-06-29 01:00:00",0,0,0,114.88,115.06,116.02,113.73,,,,,,,62.34,67.11,79.22,62.25,,64.14,66.52,73.21,62.09,,64.69,74.97,81.41,62.09,,,,,,,,,,,,,,,,,0,0
"2015-06-29 01:15:00",0,0,0,112.68,113.93,114.96,112.51,,,,,,,66.40,66.87,79.18,62.26,,62.66,66.00,71.61,61.97,,80.00,75.87,79.98,64.72,,,,,,,,,,,,,,,,,0,0
"2015-06-29 01:30:00",0,0,0,112.75,112.99,113.81,112.43,,,,,,,64.03,63.16,66.39,62.28,,62.24,65.77,71.38,61.68,,80.48,80.35,80.54,79.96,,,,,,,,,,,,,,,,,0,0
"2015-06-29 01:45:00",0,0,0,113.70,113.86,114.47,112.68,,,,,,,62.68,67.18,79.04,62.27,,69.61,66.46,71.30,61.68,,80.26,80.36,80.54,80.18,,,,,,,,,,,,,,,,,0,0
"2015-06-29 02:00:00",0,0,0,109.86,112.71,113.90,109.74,,,,,,,64.20,66.96,78.74,62.25,,69.44,66.58,71.13,61.43,,79.91,80.07,80.28,79.88,,,,,,,,,,,,,,,,,0,0
"2015-06-29 02:15:00",0,0,0,102.25,105.32,109.81,102.26,,,,,,,76.68,64.70,76.99,61.31,,65.01,66.31,70.58,60.94,,79.38,79.66,79.96,79.33,,,,,,,,,,,,,,,,,0,0
"2015-06-29 02:30:00",0,0,0,98.22,100.23,102.33,98.18,,,,,,,70.45,64.00,76.69,60.30,,60.60,65.12,70.79,60.33,,73.77,69.17,79.54,60.03,,,,,,,,,,,,,,,,,0,0
"2015-06-29 02:45:00",0,0,0,94.30,96.25,98.23,94.24,,,,,,,67.43,65.33,75.68,60.47,,67.34,65.09,68.95,59.79,,77.74,76.65,77.77,73.73,,,,,,,,,,,,,,,,,0,0
"2015-06-29 03:00:00",0,0,0,91.27,92.69,94.32,91.28,,,,,,,67.31,65.17,74.50,60.10,,67.58,65.52,68.75,59.36,,78.92,77.94,78.92,77.63,,,,,,,,,,,,,,,,,0,0
"2015-06-29 03:15:00",0,0,0,88.93,90.14,91.34,88.91,,,,,,,67.76,65.29,74.45,59.90,,60.47,64.71,68.15,59.26,,80.33,79.79,80.48,78.91,,,,,,,,,,,,,,,,,0,0
"2015-06-29 03:30:00",0,0,0,86.45,87.67,89.00,86.42,,,,,,,68.20,65.67,75.05,59.92,,66.40,64.32,67.89,58.88,,80.76,80.52,80.80,80.28,,,,,,,,,,,,,,,,,0,0
