time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-29 03:45:00",0,0,0,84.89,85.70,86.51,84.89,,,,,,,73.52,66.17,74.31,59.89,,67.16,65.26,67.60,59.13,,80.60,80.76,81.13,80.59,,,,,,,,,,,,,,,,,0,0
"2015-06-29 04:00:00",0,0,0,83.65,84.35,84.95,83.63,,,,,,,73.80,66.21,75.44,59.57,,59.14,64.31,67.71,58.67,,62.99,76.72,81.15,61.94,,,,,,,,,,,,,,,,,0,0
"2015-06-29 04:15:00",0,0,0,82.82,83.30,83.70,82.83,,,,,,,74.37,66.04,75.05,59.52,,65.86,63.90,67.10,58.20,,74.43,70.02,74.43,63.05,,,,,,,,,,,,,,,,,0,0
"2015-06-29 04:30:00",0,0,0,81.03,81.98,82.91,81.01,,,,,,,74.56,66.27,75.24,59.28,,66.20,64.55,67.04,58.02,,77.68,76.55,77.75,74.40,,,,,,,,,,,,,,,,,0,0
"2015-06-29 04:45:00",0,0,0,79.48,80.23,81.05,79.48,,,,,,,73.74,66.07,74.66,58.98,,59.35,63.98,66.87,58.07,,79.44,78.91,80.17,77.68,,,,,,,,,,,,,,,,,0,0
"2015-06-29 05:00:00",0,0,0,78.22,78.87,79.57,78.20,,,,,,,73.80,66.03,74.71,58.95,,65.13,63.33,66.55,57.62,,79.72,79.41,79.72,79.26,,,,,,,,,,,,,,,,,0,0
"2015-06-29 05:15:00",0,0,0,78.50,78.17,78.60,77.85,,,,,,,72.20,65.72,74.61,58.42,,65.83,64.17,66.45,57.74,,79.75,80.24,80.94,79.66,,,,,,,,,,,,,,,,,0,0
"2015-06-29 05:30:00",0,0,0,,77.83,78.57,76.94,,,,,,,70.19,66.19,74.67,58.81,,59.86,63.92,66.53,57.66,,80.32,79.79,80.38,79.60,,,,,,,,,,,,,,,,,0,0
"2015-06-29 05:45:00",0,0,0,78.29,77.42,78.33,76.92,,,,,,,72.27,66.35,75.32,58.64,,65.28,63.07,66.25,57.46,,79.61,80.00,80.67,79.57,,,,,,,,,,,,,,,,,0,0
"2015-06-29 06:00:00",0,0,0,79.91,79.30,80.00,78.18,,,,,,,73.86,66.92,76.05,59.19,,65.87,64.48,66.51,58.28,,81.12,80.09,81.16,79.50,,,,,,,,,,,,,,,,,0,0
"2015-06-29 06:15:00",0,0,0,80.94,80.59,81.03,79.86,,,,,,,68.84,67.22,76.11,59.79,,62.52,64.58,66.90,58.41,,79.42,79.98,81.13,79.41,,,,,,,,,,,,,,,,,0,0
"2015-06-29 06:30:00",0,0,0,81.39,81.18,81.46,80.87,,,,,,,65.90,67.30,76.16,59.90,,65.60,63.59,66.80,58.40,,79.98,80.17,81.09,79.25,,,,,,,,,,,,,,,,,0,0
"2015-06-29 06:45:00",0,0,0,81.46,81.49,81.62,81.35,,,,,,,63.47,67.24,76.22,60.09,,66.00,64.72,66.78,58.63,,79.70,79.57,80.10,79.18,,,,,,,,,,,,,,,,,0,0
"2015-06-29 07:00:00",0,0,0,81.66,81.53,81.72,81.35,,,,,,,63.21,67.11,76.22,59.66,,63.58,64.71,66.82,58.57,,79.67,80.46,81.21,79.61,,,,,,,,,,,,,,,,,0,0
