time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-29 07:15:00",0,0,0,81.84,81.69,81.86,81.59,,,,,,,62.78,66.66,76.02,59.61,,65.26,63.55,66.85,58.52,,80.60,79.62,80.67,79.23,,,,,,,,,,,,,,,,,0,0
"2015-06-29 07:30:00",0,0,0,81.74,81.84,81.95,81.75,,,,,,,62.54,67.25,76.21,59.73,,66.06,64.71,66.86,58.51,,79.71,80.48,81.01,79.73,,,,,,,,,,,,,,,,,0,0
"2015-06-29 07:45:00",0,0,0,81.56,81.63,81.84,81.52,,,,,,,61.82,67.07,76.07,59.73,,66.84,65.07,67.70,58.51,,80.03,79.97,80.58,79.38,,,,,,,,,,,,,,,,,0,0
"2015-06-29 08:00:00",0,0,0,81.54,81.51,81.66,81.39,,,,,,,61.09,66.87,76.01,59.52,,60.21,63.60,66.92,58.21,,79.01,79.38,80.04,78.99,,,,,,,,,,,,,,,,,0,0
"2015-06-29 08:15:00",0,0,0,81.68,81.56,81.73,81.40,,,,,,,60.41,67.04,76.02,59.78,,65.60,64.38,66.67,58.33,,79.47,79.70,80.48,78.94,,,,,,,,,,,,,,,,,0,0
"2015-06-29 08:30:00",0,0,0,81.55,81.71,81.87,81.52,,,,,,,60.21,67.14,76.16,59.54,,65.98,64.58,66.70,58.32,,79.00,79.12,79.47,78.89,,,,,,,,,,,,,,,,,0,0
"2015-06-29 08:45:00",0,0,0,81.22,81.53,81.70,81.19,,,,,,,59.52,67.00,76.04,59.46,,59.85,64.32,66.87,58.19,,79.30,79.94,80.46,78.97,,,,,,,,,,,,,,,,,0,0
"2015-06-29 09:00:00",0,0,0,80.85,80.95,81.28,80.72,,,,,,,59.23,66.89,75.87,59.06,,65.24,63.69,66.57,58.19,,79.79,79.50,79.85,79.04,,,,,,,,,,,,,,,,,0,0
"2015-06-29 09:15:00",0,0,0,79.98,80.48,80.90,79.95,,,,,,,59.52,67.32,75.98,59.26,,65.67,64.39,66.53,58.14,,78.64,79.17,79.97,78.60,,,,,,,,,,,,,,,,,0,0
"2015-06-29 09:30:00",0,0,0,80.01,79.98,80.13,79.85,,,,,,,58.89,67.01,75.70,58.85,,63.58,64.40,66.40,58.05,,80.11,79.14,80.22,78.53,,,,,,,,,,,,,,,,,0,0
"2015-06-29 09:45:00",0,0,0,78.83,79.42,80.10,78.78,,,,,,,59.65,66.67,75.29,58.85,,63.98,62.99,66.09,57.65,,78.64,79.14,80.11,78.60,,,,,,,,,,,,,,,,,0,0
"2015-06-29 10:00:00",0,0,0,79.34,79.10,79.39,78.79,,,,,,,59.58,67.08,75.42,58.93,,64.90,63.94,66.04,57.57,,79.06,79.13,79.92,78.55,,,,,,,,,,,,,,,,,0,0
"2015-06-29 10:15:00",0,0,0,79.09,79.46,79.77,79.07,,,,,,,60.61,67.26,75.63,59.37,,66.84,64.55,67.02,57.90,,79.06,78.89,79.33,78.49,,,,,,,,,,,,,,,,,0,0
