time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-29 10:30:00",0,0,0,78.25,78.60,79.18,78.18,,,,,,,60.31,67.06,75.20,58.92,,59.55,63.87,66.99,57.65,,78.44,78.89,79.37,78.44,,,,,,,,,,,,,,,,,0,0
"2015-06-29 10:45:00",0,0,0,77.85,77.98,78.29,77.71,,,,,,,60.98,67.06,75.27,59.04,,64.63,63.17,66.00,57.52,,78.17,78.25,78.49,78.11,,,,,,,,,,,,,,,,,0,0
"2015-06-29 11:00:00",0,0,0,76.59,77.12,77.89,76.55,,,,,,,60.15,66.93,75.03,58.57,,64.74,63.73,65.91,57.17,,78.52,78.87,79.62,78.10,,,,,,,,,,,,,,,,,0,0
"2015-06-29 11:15:00",0,0,0,75.82,76.40,76.70,75.79,,,,,,,58.77,67.56,75.03,58.83,,66.36,64.19,66.56,57.23,,76.82,78.02,78.61,76.79,,,,,,,,,,,,,,,,,0,0
"2015-06-29 11:30:00",0,0,0,75.02,75.31,75.85,74.97,,,,,,,59.81,67.29,74.66,58.52,,59.22,64.04,67.29,57.19,,75.14,75.78,76.83,75.07,,,,,,,,,,,,,,,,,0,0
"2015-06-29 11:45:00",0,0,0,75.60,75.24,75.64,74.96,,,,,,,61.62,67.08,74.66,58.14,,64.17,62.79,65.60,57.07,,74.53,74.81,75.15,74.52,,,,,,,,,,,,,,,,,0,0
"2015-06-29 12:00:00",0,0,0,76.10,75.87,76.12,75.55,,,,,,,66.41,67.57,74.89,58.46,,65.65,63.85,65.82,57.24,,74.00,74.15,74.56,73.90,,,,,,,,,,,,,,,,,0,0
"2015-06-29 12:15:00",0,0,0,76.52,76.34,76.56,76.04,,,,,,,73.98,66.44,74.74,58.07,,66.61,64.51,67.00,57.28,,73.67,73.78,74.01,73.64,,,,,,,,,,,,,,,,,0,0
"2015-06-29 12:30:00",0,0,0,77.10,76.73,77.12,76.46,,,,,,,74.59,66.88,74.72,58.64,,63.38,64.57,67.32,57.42,,63.58,74.27,75.78,63.60,,,,,,,,,,,,,,,,,0,0
"2015-06-29 12:45:00",0,0,0,78.12,77.61,78.17,76.97,,,,,,,74.54,66.76,74.83,58.37,,60.46,63.68,66.99,57.26,,61.71,55.82,63.54,49.13,,,,,,,,,,,,,,,,,0,0
"2015-06-29 13:00:00",0,0,0,79.16,78.60,79.20,78.08,,,,,,,74.26,66.96,75.17,58.82,,65.15,63.75,66.22,57.50,,73.67,68.57,73.75,61.73,,,,,,,,,,,,,,,,,0,0
"2015-06-29 13:15:00",0,0,0,80.37,79.71,80.42,79.07,,,,,,,73.93,67.36,75.32,59.36,,67.00,64.97,67.38,57.82,,59.05,66.22,74.11,52.24,,,,,,,,,,,,,,,,,0,0
"2015-06-29 13:30:00",0,0,0,81.51,81.01,81.65,80.29,,,,,,,73.99,67.42,75.56,59.38,,65.69,64.78,67.77,57.94,,74.04,69.75,74.21,59.02,,,,,,,,,,,,,,,,,0,0
"2015-06-29 13:45:00",0,0,0,81.80,81.72,81.82,81.55,,,,,,,72.37,67.10,75.97,59.24,,59.58,64.13,67.01,57.90,,75.91,74.03,75.98,72.27,,,,,,,,,,,,,,,,,0,0
