time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-29 14:00:00",0,0,0,82.56,82.11,82.59,81.73,,,,,,,70.40,67.54,75.66,59.66,,65.13,64.58,67.94,58.03,,66.10,63.07,75.93,53.98,,,,,,,,,,,,,,,,,0,0
"2015-06-29 14:15:00",0,0,0,85.21,83.80,85.25,82.46,,,,,,,70.26,67.51,75.95,59.67,,65.84,64.75,67.45,58.16,,75.30,72.84,75.44,66.04,,,,,,,,,,,,,,,,,0,0
"2015-06-29 14:30:00",0,0,0,86.03,85.64,86.06,85.15,,,,,,,70.28,67.50,76.03,59.68,,66.60,65.06,67.14,58.36,,66.44,66.65,75.64,54.35,,,,,,,,,,,,,,,,,0,0
"2015-06-29 14:45:00",0,0,0,88.03,87.14,88.16,85.97,,,,,,,70.22,67.67,76.17,60.20,,62.52,65.04,67.35,58.27,,75.11,73.29,75.44,66.48,,,,,,,,,,,,,,,,,0,0
"2015-06-29 15:00:00",0,0,0,89.62,88.76,89.70,88.00,,,,,,,69.82,67.89,76.54,60.52,,65.32,63.88,67.24,58.69,,76.90,75.07,76.96,73.55,,,,,,,,,,,,,,,,,0,0
"2015-06-29 15:15:00",0,0,0,88.50,89.41,90.01,88.48,,,,,,,69.61,67.75,76.20,60.40,,66.25,65.76,69.32,59.04,,73.14,65.44,76.93,55.19,,,,,,,,,,,,,,,,,0,0
"2015-06-29 15:30:00",0,0,0,87.09,87.67,88.60,87.09,,,,,,,70.70,67.97,76.94,60.91,,66.39,65.33,67.77,58.97,,75.97,75.14,76.04,73.05,,,,,,,,,,,,,,,,,0,0
"2015-06-29 15:45:00",0,0,0,88.00,87.42,88.06,86.97,,,,,,,69.00,68.03,77.50,60.84,,62.41,65.23,68.10,59.03,,59.97,69.58,76.31,56.32,,,,,,,,,,,,,,,,,0,0
"2015-06-29 16:00:00",0,0,0,88.64,88.33,88.72,87.94,,,,,,,70.86,68.10,77.32,61.35,,66.38,64.70,68.25,59.18,,75.66,70.74,75.74,59.98,,,,,,,,,,,,,,,,,0,0
"2015-06-29 16:15:00",0,0,0,89.17,88.96,89.20,88.60,,,,,,,73.05,68.13,77.56,61.30,,67.32,65.54,67.57,59.65,,74.53,77.42,79.00,74.53,,,,,,,,,,,,,,,,,0,0
"2015-06-29 16:30:00",0,0,0,90.19,89.68,90.27,89.12,,,,,,,74.56,68.17,77.18,61.62,,67.45,66.13,69.43,59.98,,74.67,66.87,74.74,57.98,,,,,,,,,,,,,,,,,0,0
"2015-06-29 16:45:00",0,0,0,91.20,90.84,91.26,90.19,,,,,,,74.76,68.69,78.70,62.01,,60.13,65.10,68.28,60.02,,76.86,76.28,76.90,74.63,,,,,,,,,,,,,,,,,0,0
"2015-06-29 17:00:00",0,0,0,91.76,91.65,91.98,91.14,,,,,,,75.00,68.48,78.22,61.99,,67.16,66.11,69.99,60.05,,74.94,67.55,76.88,58.70,,,,,,,,,,,,,,,,,0,0
