time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-29 17:15:00",0,0,0,92.50,92.27,92.64,91.71,,,,,,,75.87,68.85,78.81,62.29,,69.22,66.27,69.27,60.33,,61.61,74.02,76.83,61.63,,,,,,,,,,,,,,,,,0,0
"2015-06-29 17:30:00",0,0,0,92.54,92.70,93.00,92.36,,,,,,,77.28,68.81,78.36,62.25,,63.63,66.31,70.16,60.64,,76.48,70.31,76.53,59.53,,,,,,,,,,,,,,,,,0,0
"2015-06-29 17:45:00",0,0,0,93.44,92.92,93.55,92.37,,,,,,,75.61,68.15,79.75,62.30,,66.08,65.22,69.75,60.48,,68.54,69.95,76.88,60.18,,,,,,,,,,,,,,,,,0,0
"2015-06-29 18:00:00",0,0,0,94.44,94.10,94.49,93.44,,,,,,,75.86,68.36,79.36,62.32,,67.98,66.62,70.02,60.91,,77.61,75.58,77.64,68.47,,,,,,,,,,,,,,,,,0,0
"2015-06-29 18:15:00",0,0,0,94.87,94.52,94.95,94.28,,,,,,,77.27,68.63,79.62,62.34,,69.43,66.54,69.89,60.60,,75.10,68.48,77.78,59.29,,,,,,,,,,,,,,,,,0,0
"2015-06-29 18:30:00",0,0,0,95.47,94.98,95.57,94.62,,,,,,,77.94,68.57,79.77,62.58,,62.81,65.83,69.61,60.43,,73.80,76.92,77.98,73.88,,,,,,,,,,,,,,,,,0,0
"2015-06-29 18:45:00",0,0,0,95.29,95.18,95.69,94.64,,,,,,,75.96,67.76,79.95,62.30,,66.98,65.72,70.47,61.13,,76.39,68.16,76.39,59.80,,,,,,,,,,,,,,,,,0,0
"2015-06-29 19:00:00",0,0,0,95.36,95.24,95.55,94.89,,,,,,,72.58,67.58,79.77,62.30,,69.58,66.76,70.24,61.17,,64.65,76.27,78.52,64.65,,,,,,,,,,,,,,,,,0,0
"2015-06-29 19:15:00",0,0,0,95.09,94.99,95.40,94.69,,,,,,,71.10,67.62,78.76,62.41,,70.14,66.86,71.21,60.94,,77.72,70.08,77.78,60.60,,,,,,,,,,,,,,,,,0,0
"2015-06-29 19:30:00",0,0,0,95.83,95.13,95.84,94.68,,,,,,,65.63,67.81,80.20,62.26,,63.41,66.29,70.86,61.10,,61.65,74.24,79.00,61.64,,,,,,,,,,,,,,,,,0,0
"2015-06-29 19:45:00",0,0,0,97.09,96.56,97.12,95.76,,,,,,,63.12,68.60,79.48,63.07,,61.57,65.61,70.62,61.08,,78.51,71.50,78.52,59.96,,,,,,,,,,,,,,,,,0,0
"2015-06-29 20:00:00",0,0,0,97.90,97.42,97.89,97.05,,,,,,,62.50,68.41,80.44,62.46,,69.27,66.41,70.72,61.44,,62.76,74.24,79.46,62.10,,,,,,,,,,,,,,,,,0,0
"2015-06-29 20:15:00",0,0,0,99.26,98.52,99.30,97.80,,,,,,,64.89,68.97,80.54,62.27,,69.84,67.04,71.10,61.79,,79.02,73.26,79.03,61.74,,,,,,,,,,,,,,,,,0,0
"2015-06-29 20:30:00",0,0,0,100.46,99.61,100.48,99.19,,,,,,,65.45,68.42,79.39,63.45,,69.92,67.20,72.26,61.87,,67.06,71.63,79.88,61.44,,,,,,,,,,,,,,,,,0,0
