time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-29 20:45:00",0,0,0,101.21,101.29,101.74,100.42,,,,,,,71.06,67.70,80.18,63.37,,64.42,66.62,71.50,61.95,,80.01,76.15,80.01,67.03,,,,,,,,,,,,,,,,,0,0
"2015-06-29 21:00:00",0,0,0,100.80,101.09,101.32,100.78,,,,,,,77.65,65.87,77.68,62.35,,63.05,66.28,72.24,61.91,,74.72,69.19,80.18,61.41,,,,,,,,,,,,,,,,,0,0
"2015-06-29 21:15:00",0,0,0,102.81,101.35,102.83,100.48,,,,,,,63.13,67.17,79.96,63.07,,62.34,66.19,71.81,62.15,,70.52,78.13,80.51,70.54,,,,,,,,,,,,,,,,,0,0
"2015-06-29 21:30:00",0,0,0,105.13,103.70,105.17,102.77,,,,,,,64.35,68.30,78.81,63.01,,70.40,66.64,72.59,62.15,,78.69,69.83,78.74,62.05,,,,,,,,,,,,,,,,,0,0
"2015-06-29 21:45:00",0,0,0,107.89,106.35,107.89,105.12,,,,,,,66.37,67.91,78.92,64.02,,70.86,67.04,72.34,62.19,,65.40,72.13,80.68,62.08,,,,,,,,,,,,,,,,,0,0
"2015-06-29 22:00:00",0,0,0,107.50,107.90,108.59,107.37,,,,,,,70.59,64.91,70.59,63.55,,70.69,67.02,72.15,62.41,,80.70,76.78,80.78,65.52,,,,,,,,,,,,,,,,,0,0
"2015-06-29 22:15:00",0,0,0,109.01,108.07,109.15,106.98,,,,,,,64.08,67.42,78.43,63.90,,71.90,67.05,72.53,62.68,,77.92,69.46,80.72,62.05,,,,,,,,,,,,,,,,,0,0
"2015-06-29 22:30:00",0,0,0,118.07,113.62,118.17,108.97,,,,,,,65.35,67.70,78.09,63.62,,69.03,67.16,73.31,62.43,,62.24,73.43,80.93,62.03,,,,,,,,,,,,,,,,,0,0
"2015-06-29 22:45:00",0,0,0,110.41,112.36,118.12,109.63,,,,,,,69.08,63.94,69.06,62.98,,65.67,66.40,71.54,62.05,,77.77,75.46,80.50,62.17,,,,,,,,,,,,,,,,,0,0
"2015-06-29 23:00:00",0,0,0,117.18,115.46,117.97,110.47,,,,,,,64.16,67.25,76.61,64.03,,65.08,66.22,71.76,62.07,,79.36,70.49,79.37,62.13,,,,,,,,,,,,,,,,,0,0
"2015-06-29 23:15:00",0,0,0,121.72,119.78,121.74,117.08,,,,,,,68.86,66.65,76.18,63.04,,64.90,66.36,72.32,62.52,,73.61,71.24,80.87,62.08,,,,,,,,,,,,,,,,,0,0
"2015-06-29 23:30:00",0,0,0,116.06,119.67,122.91,116.03,,,,,,,63.12,64.77,68.79,63.08,,65.00,66.34,72.29,62.69,,64.29,76.32,81.22,64.28,,,,,,,,,,,,,,,,,0,0
"2015-06-29 23:45:00",0,0,0,112.13,111.84,116.04,109.93,,,,,,,65.59,66.33,74.49,62.32,,64.95,66.06,71.91,62.18,,80.04,72.08,80.07,61.55,,,,,,,,,,,,,,,,,0,0
"2015-06-30 00:00:00",0,0,0,117.25,115.70,117.92,112.14,,,,,,,64.19,63.95,65.68,63.20,,65.23,66.14,72.01,62.27,,76.24,70.01,80.57,61.15,,,,,,,,,,,,,,,,,0,0
