time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-30 00:15:00",0,0,0,116.34,116.72,117.51,115.85,,,,,,,63.90,67.34,75.22,63.87,,65.18,66.24,72.39,62.51,,61.75,74.18,80.48,61.69,,,,,,,,,,,,,,,,,0,0
"2015-06-30 00:30:00",0,0,0,115.38,117.18,118.39,115.31,,,,,,,64.32,64.14,64.42,63.68,,65.15,66.08,71.96,62.34,,80.15,73.93,80.16,61.04,,,,,,,,,,,,,,,,,0,0
"2015-06-30 00:45:00",0,0,0,111.32,113.82,115.36,111.32,,,,,,,64.75,66.59,72.65,63.79,,65.15,65.95,71.61,62.10,,75.01,68.35,80.41,60.34,,,,,,,,,,,,,,,,,0,0
"2015-06-30 01:00:00",0,0,0,111.48,110.33,111.59,109.31,,,,,,,63.28,64.07,64.85,63.24,,64.32,65.92,71.68,62.13,,66.06,77.06,80.22,66.06,,,,,,,,,,,,,,,,,0,0
"2015-06-30 01:15:00",0,0,0,110.74,111.68,112.75,110.68,,,,,,,65.00,65.71,72.47,62.48,,63.20,65.52,70.93,61.27,,78.20,67.82,78.23,59.04,,,,,,,,,,,,,,,,,0,0
"2015-06-30 01:30:00",0,0,0,108.84,109.58,110.82,108.76,,,,,,,62.26,63.57,64.99,62.25,,61.87,65.43,70.86,61.60,,60.38,74.32,80.11,60.38,,,,,,,,,,,,,,,,,0,0
"2015-06-30 01:45:00",0,0,0,108.52,108.55,108.85,108.08,,,,,,,63.33,65.90,72.26,62.16,,68.04,65.33,70.55,60.96,,78.61,70.99,78.67,58.84,,,,,,,,,,,,,,,,,0,0
"2015-06-30 02:00:00",0,0,0,104.29,106.78,108.58,104.29,,,,,,,64.98,65.59,72.54,62.58,,68.49,66.12,70.14,60.82,,79.68,79.45,79.75,78.63,,,,,,,,,,,,,,,,,0,0
"2015-06-30 02:15:00",0,0,0,99.30,101.81,104.43,99.25,,,,,,,71.61,64.22,71.59,61.99,,66.68,65.95,69.90,60.41,,72.52,79.28,79.74,72.53,,,,,,,,,,,,,,,,,0,0
"2015-06-30 02:30:00",0,0,0,96.03,97.53,99.31,95.98,,,,,,,69.44,64.37,72.31,60.82,,61.01,64.89,69.13,59.99,,53.27,57.52,72.48,53.23,,,,,,,,,,,,,,,,,0,0
"2015-06-30 02:45:00",0,0,0,93.04,94.51,96.03,93.01,,,,,,,69.48,65.03,72.89,60.44,,63.88,64.02,68.66,59.07,,52.04,52.59,53.26,51.99,,,,,,,,,,,,,,,,,0,0
"2015-06-30 03:00:00",0,0,0,90.47,91.62,93.10,90.43,,,,,,,71.08,65.50,74.25,59.91,,67.14,64.96,67.93,58.92,,51.09,51.46,52.07,51.01,,,,,,,,,,,,,,,,,0,0
"2015-06-30 03:15:00",0,0,0,89.02,89.68,90.52,88.98,,,,,,,74.67,66.58,75.19,59.90,,67.31,64.97,67.80,58.74,,50.57,50.78,51.18,50.52,,,,,,,,,,,,,,,,,0,0
"2015-06-30 03:30:00",0,0,0,87.81,88.54,89.09,87.78,,,,,,,74.66,66.60,75.83,60.57,,59.46,64.01,67.59,58.69,,59.72,52.77,59.71,50.29,,,,,,,,,,,,,,,,,0,0
