time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-30 03:45:00",0,0,0,85.41,86.69,87.90,85.38,,,,,,,73.63,65.36,74.69,59.93,,64.87,63.66,67.12,58.63,,49.74,54.11,62.36,49.70,,,,,,,,,,,,,,,,,0,0
"2015-06-30 04:00:00",0,0,0,83.78,84.49,85.42,83.70,,,,,,,71.47,66.16,74.83,59.55,,65.59,63.97,66.37,58.46,,60.13,54.99,63.70,49.14,,,,,,,,,,,,,,,,,0,0
"2015-06-30 04:15:00",0,0,0,82.47,83.16,83.78,82.47,,,,,,,68.44,65.87,74.35,59.38,,60.07,63.58,66.32,58.26,,56.12,51.14,60.07,49.06,,,,,,,,,,,,,,,,,0,0
"2015-06-30 04:30:00",0,0,0,81.28,81.85,82.58,81.22,,,,,,,66.36,66.13,74.54,59.77,,64.46,62.81,66.07,57.98,,49.79,57.71,63.92,49.76,,,,,,,,,,,,,,,,,0,0
"2015-06-30 04:45:00",0,0,0,80.22,80.81,81.29,80.22,,,,,,,63.93,65.69,74.16,59.37,,64.97,63.55,65.97,57.83,,59.61,52.50,59.59,48.71,,,,,,,,,,,,,,,,,0,0
"2015-06-30 05:00:00",0,0,0,79.02,79.68,80.29,78.96,,,,,,,63.96,66.25,74.62,59.52,,61.57,63.62,65.85,57.79,,55.34,53.54,62.06,48.57,,,,,,,,,,,,,,,,,0,0
"2015-06-30 05:15:00",0,0,0,78.45,78.72,79.06,78.41,,,,,,,63.73,66.21,74.83,59.18,,64.05,62.43,65.73,57.63,,49.22,58.05,63.26,49.22,,,,,,,,,,,,,,,,,0,0
"2015-06-30 05:30:00",0,0,0,77.44,77.99,78.52,77.40,,,,,,,61.92,65.62,74.06,58.95,,64.57,63.46,65.74,57.66,,65.07,57.51,66.64,48.36,,,,,,,,,,,,,,,,,0,0
"2015-06-30 05:45:00",0,0,0,76.76,,77.49,76.72,,,,,,,61.86,66.12,74.20,59.05,,64.77,63.39,65.55,57.36,,57.11,53.03,65.05,48.13,,,,,,,,,,,,,,,,,0,0
"2015-06-30 06:00:00",0,0,0,75.97,76.33,76.80,75.92,,,,,,,61.61,65.54,73.80,58.72,,59.71,62.21,65.29,57.23,,66.49,65.33,69.20,57.09,,,,,,,,,,,,,,,,,0,0
"2015-06-30 06:15:00",0,0,0,75.44,75.80,76.02,75.37,,,,,,,60.96,65.80,74.09,58.74,,63.85,62.94,65.40,57.20,,73.32,68.84,73.70,66.50,,,,,,,,,,,,,,,,,0,0
"2015-06-30 06:30:00",0,0,0,73.91,74.62,75.43,73.88,,,,,,,61.45,65.72,73.77,58.36,,64.37,62.91,65.18,56.94,,71.38,71.29,73.31,70.84,,,,,,,,,,,,,,,,,0,0
"2015-06-30 06:45:00",0,0,0,73.91,73.77,74.01,73.61,,,,,,,61.74,65.97,74.11,58.67,,59.67,62.78,65.06,56.94,,73.41,73.39,75.52,71.32,,,,,,,,,,,,,,,,,0,0
"2015-06-30 07:00:00",0,0,0,73.47,73.78,74.07,73.41,,,,,,,63.20,66.70,74.52,58.99,,63.38,62.18,65.16,57.05,,76.17,74.90,76.31,73.00,,,,,,,,,,,,,,,,,0,0
