time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-30 11:00:00",0,0,0,70.37,70.23,70.49,69.68,,,,,,,73.38,66.08,73.99,58.10,,63.80,62.57,64.49,56.68,,76.07,75.23,76.36,74.63,,,,,,,,,,,,,,,,,0,0
"2015-06-30 11:15:00",0,0,0,69.97,70.15,70.45,69.87,,,,,,,71.08,66.30,74.31,58.20,,64.19,62.60,64.63,56.39,,73.95,74.82,76.09,73.93,,,,,,,,,,,,,,,,,0,0
"2015-06-30 11:30:00",0,0,0,69.24,69.55,69.98,69.15,,,,,,,68.32,66.63,73.96,58.38,,58.77,62.41,64.52,56.62,,73.00,73.47,73.99,72.96,,,,,,,,,,,,,,,,,0,0
"2015-06-30 11:45:00",0,0,0,68.81,68.91,69.26,68.66,,,,,,,64.57,66.72,73.80,57.90,,61.97,61.69,64.38,56.42,,72.59,72.78,73.01,72.53,,,,,,,,,,,,,,,,,0,0
"2015-06-30 12:00:00",0,0,0,68.48,68.60,68.92,68.36,,,,,,,58.11,68.05,73.77,58.11,,62.68,62.23,64.32,56.40,,72.04,72.36,72.65,72.04,,,,,,,,,,,,,,,,,0,0
"2015-06-30 12:15:00",0,0,0,68.64,68.47,68.69,68.31,,,,,,,62.83,67.58,73.58,57.91,,63.09,62.27,64.32,56.40,,73.72,73.09,74.04,71.91,,,,,,,,,,,,,,,,,0,0
"2015-06-30 12:30:00",0,0,0,69.38,68.93,69.39,68.59,,,,,,,73.70,66.64,73.79,57.87,,63.60,62.40,64.32,56.49,,73.67,73.06,73.73,72.53,,,,,,,,,,,,,,,,,0,0
"2015-06-30 12:45:00",0,0,0,71.34,70.56,71.43,69.31,,,,,,,73.45,66.16,73.65,58.11,,64.15,62.59,64.41,56.61,,72.99,73.93,74.58,73.00,,,,,,,,,,,,,,,,,0,0
"2015-06-30 13:00:00",0,0,0,72.07,71.73,72.09,71.33,,,,,,,72.27,66.43,74.18,58.37,,59.74,62.54,64.60,56.71,,74.48,73.92,74.67,72.95,,,,,,,,,,,,,,,,,0,0
"2015-06-30 13:15:00",0,0,0,73.12,72.52,73.15,71.99,,,,,,,69.12,66.91,74.35,58.71,,60.96,61.96,64.75,56.78,,74.13,73.78,74.53,73.22,,,,,,,,,,,,,,,,,0,0
"2015-06-30 13:30:00",0,0,0,74.53,73.79,74.58,73.07,,,,,,,66.22,67.19,74.56,58.93,,63.43,62.71,64.76,57.17,,74.47,74.62,75.11,74.11,,,,,,,,,,,,,,,,,0,0
"2015-06-30 13:45:00",0,0,0,76.48,75.58,76.54,74.51,,,,,,,62.73,67.74,75.05,58.96,,63.85,63.07,65.07,57.33,,57.38,71.45,74.53,57.25,,,,,,,,,,,,,,,,,0,0
"2015-06-30 14:00:00",0,0,0,78.39,77.36,78.49,76.46,,,,,,,60.01,68.36,75.17,60.00,,64.32,63.21,65.16,57.46,,73.31,68.77,73.56,57.42,,,,,,,,,,,,,,,,,0,0
"2015-06-30 14:15:00",0,0,0,83.56,80.83,83.58,78.38,,,,,,,62.35,68.64,75.88,59.65,,64.88,63.52,65.24,57.68,,75.16,73.17,75.21,71.76,,,,,,,,,,,,,,,,,0,0
