time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-30 14:30:00",0,0,0,85.01,84.53,85.07,83.53,,,,,,,64.68,67.80,75.77,59.71,,60.25,63.53,65.70,57.73,,74.40,74.88,75.23,74.36,,,,,,,,,,,,,,,,,0,0
"2015-06-30 14:45:00",0,0,0,86.84,85.94,86.90,84.96,,,,,,,67.82,67.70,75.95,59.90,,64.36,63.08,65.79,57.89,,75.71,75.32,76.20,74.35,,,,,,,,,,,,,,,,,0,0
"2015-06-30 15:00:00",0,0,0,87.49,87.73,88.33,86.84,,,,,,,75.97,67.69,76.02,60.22,,64.59,63.87,65.97,57.88,,58.83,69.43,75.71,55.22,,,,,,,,,,,,,,,,,0,0
"2015-06-30 15:15:00",0,0,0,85.45,86.07,87.54,85.45,,,,,,,75.82,67.17,75.97,59.94,,64.92,63.93,65.93,58.02,,74.26,69.10,74.35,58.88,,,,,,,,,,,,,,,,,0,0
"2015-06-30 15:30:00",0,0,0,85.50,85.46,85.63,85.31,,,,,,,76.58,67.89,76.57,60.78,,65.71,64.33,66.06,58.48,,75.06,73.58,75.16,72.66,,,,,,,,,,,,,,,,,0,0
"2015-06-30 15:45:00",0,0,0,85.83,85.62,85.85,85.48,,,,,,,76.54,67.75,76.70,60.74,,60.40,64.30,66.64,58.76,,75.62,75.65,75.90,75.11,,,,,,,,,,,,,,,,,0,0
"2015-06-30 16:00:00",0,0,0,85.51,85.71,85.95,85.45,,,,,,,76.30,67.69,76.78,60.88,,65.43,63.93,66.70,58.61,,76.10,75.41,76.20,75.06,,,,,,,,,,,,,,,,,0,0
"2015-06-30 16:15:00",0,0,0,85.87,85.67,85.88,85.48,,,,,,,76.18,67.49,76.64,60.74,,65.60,64.63,66.77,58.75,,73.66,76.20,76.58,73.70,,,,,,,,,,,,,,,,,0,0
"2015-06-30 16:30:00",0,0,0,86.95,86.06,86.99,85.71,,,,,,,77.46,68.40,77.50,61.00,,66.22,64.84,66.76,58.85,,70.60,63.02,73.63,55.42,,,,,,,,,,,,,,,,,0,0
"2015-06-30 16:45:00",0,0,0,88.55,87.80,88.64,86.90,,,,,,,77.80,68.18,77.85,61.58,,62.94,65.11,67.37,59.29,,76.00,74.65,76.05,70.55,,,,,,,,,,,,,,,,,0,0
"2015-06-30 17:00:00",0,0,0,89.64,89.14,89.68,88.54,,,,,,,78.32,68.12,78.32,61.79,,65.10,64.39,67.54,59.52,,76.34,76.12,76.44,75.71,,,,,,,,,,,,,,,,,0,0
"2015-06-30 17:15:00",0,0,0,91.08,90.41,91.13,89.60,,,,,,,78.18,68.32,78.35,62.33,,66.87,65.62,67.72,60.12,,67.42,76.70,78.26,67.47,,,,,,,,,,,,,,,,,0,0
"2015-06-30 17:30:00",0,0,0,92.05,91.48,92.08,91.05,,,,,,,78.00,68.51,78.64,62.16,,67.43,65.86,68.01,60.15,,75.56,67.13,75.59,58.24,,,,,,,,,,,,,,,,,0,0
"2015-06-30 17:45:00",0,0,0,93.32,92.81,93.37,92.04,,,,,,,77.45,68.46,78.86,62.28,,61.87,65.62,68.66,60.30,,77.00,76.48,77.08,75.49,,,,,,,,,,,,,,,,,0,0
