time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-01 01:15:00",0,0,0,87.78,87.39,87.82,87.03,,,,,,,62.25,64.98,71.66,60.74,,54.46,54.46,54.86,54.00,,74.93,66.68,77.77,56.96,,,,,,,,,,,,,,,,,0,0
"2015-07-01 01:30:00",0,0,0,88.46,88.50,89.12,87.71,,,,,,,62.60,65.21,72.46,60.91,,53.91,54.23,54.57,53.85,,77.85,76.51,77.87,74.89,,,,,,,,,,,,,,,,,0,0
"2015-07-01 01:45:00",0,0,0,88.84,88.40,88.88,88.06,,,,,,,62.77,65.42,73.04,60.79,,53.98,53.91,54.26,53.53,,73.22,65.68,78.18,57.22,,,,,,,,,,,,,,,,,0,0
"2015-07-01 02:00:00",0,0,0,88.23,88.64,88.89,88.12,,,,,,,62.63,65.60,73.65,61.08,,53.42,53.69,54.16,53.22,,77.09,76.38,77.15,73.24,,,,,,,,,,,,,,,,,0,0
"2015-07-01 02:15:00",0,0,0,87.23,87.79,88.30,87.23,,,,,,,62.21,65.39,73.31,60.82,,52.88,53.14,53.52,52.82,,76.85,,77.14,76.81,,,,,,,,,,,,,,,,,0,0
"2015-07-01 02:30:00",0,0,0,85.94,86.51,87.34,85.90,,,,,,,61.87,65.90,74.83,60.72,,52.64,52.83,53.15,52.50,,76.71,76.73,76.90,76.61,,,,,,,,,,,,,,,,,0,0
"2015-07-01 02:45:00",0,0,0,85.88,85.74,85.98,85.39,,,,,,,61.06,66.21,75.51,60.87,,52.03,52.43,52.89,51.95,,77.24,76.68,77.25,76.45,,,,,,,,,,,,,,,,,0,0
"2015-07-01 03:00:00",0,0,0,86.10,85.90,86.24,85.68,,,,,,,61.01,66.19,75.30,60.06,,51.89,51.95,52.30,51.57,,50.83,58.53,77.43,50.74,,,,,,,,,,,,,,,,,0,0
"2015-07-01 03:15:00",0,0,0,84.34,84.98,86.14,84.13,,,,,,,63.94,66.69,75.70,60.01,,52.08,51.87,52.33,51.50,,49.91,50.05,50.81,49.82,,,,,,,,,,,,,,,,,0,0
"2015-07-01 03:30:00",0,0,0,83.78,84.46,84.82,83.75,,,,,,,64.73,67.33,76.16,60.06,,51.94,52.02,52.32,51.74,,49.67,49.71,49.96,49.56,,,,,,,,,,,,,,,,,0,0
"2015-07-01 03:45:00",0,0,0,82.06,82.88,83.81,81.98,,,,,,,66.51,67.49,76.10,60.16,,51.53,51.64,52.13,51.31,,52.38,49.55,52.37,49.32,,,,,,,,,,,,,,,,,0,0
"2015-07-01 04:00:00",0,0,0,80.97,81.51,82.05,80.93,,,,,,,66.20,67.01,76.08,59.45,,51.23,51.48,51.86,51.00,,50.30,56.74,62.06,50.30,,,,,,,,,,,,,,,,,0,0
"2015-07-01 04:15:00",0,0,0,79.86,80.35,80.99,79.81,,,,,,,67.99,67.39,75.20,60.62,,51.47,51.04,51.53,50.69,,54.54,49.19,54.52,48.57,,,,,,,,,,,,,,,,,0,0
"2015-07-01 04:30:00",0,0,0,78.82,79.40,79.91,78.77,,,,,,,67.14,66.34,75.05,59.46,,51.15,51.49,51.88,51.07,,49.04,55.34,61.47,49.03,,,,,,,,,,,,,,,,,0,0
