time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-01 04:45:00",0,0,0,77.42,78.06,78.86,77.40,,,,,,,67.55,66.23,73.89,59.55,,50.01,50.51,51.31,49.96,,60.34,52.17,60.33,48.09,,,,,,,,,,,,,,,,,0,0
"2015-07-01 05:00:00",0,0,0,76.86,77.24,77.50,76.80,,,,,,,67.87,66.02,74.03,59.06,,49.30,49.66,50.14,49.20,,48.39,52.09,62.21,47.98,,,,,,,,,,,,,,,,,0,0
"2015-07-01 05:15:00",0,0,0,75.85,76.34,76.86,75.82,,,,,,,68.88,66.18,73.81,59.16,,48.95,49.10,49.38,48.82,,54.09,58.39,62.98,48.43,,,,,,,,,,,,,,,,,0,0
"2015-07-01 05:30:00",0,0,0,75.55,75.64,75.90,75.49,,,,,,,69.10,66.86,74.16,59.65,,48.73,48.79,48.97,48.60,,58.84,51.86,58.84,47.86,,,,,,,,,,,,,,,,,0,0
"2015-07-01 05:45:00",0,0,0,75.28,75.32,75.60,75.13,,,,,,,69.12,66.06,73.93,58.77,,48.44,48.59,48.79,48.40,,48.12,55.52,63.08,48.11,,,,,,,,,,,,,,,,,0,0
"2015-07-01 06:00:00",0,0,0,74.74,75.08,75.33,74.74,,,,,,,68.86,66.64,74.04,59.45,,48.24,48.43,48.63,48.17,,63.92,58.89,63.92,48.09,,,,,,,,,,,,,,,,,0,0
"2015-07-01 06:15:00",0,0,0,74.44,74.41,74.80,74.20,,,,,,,68.59,66.30,73.82,59.10,,48.19,48.22,48.36,48.09,,68.52,67.77,70.68,63.88,,,,,,,,,,,,,,,,,0,0
"2015-07-01 06:30:00",0,0,0,73.62,74.19,74.55,73.59,,,,,,,67.79,66.10,73.84,58.67,,47.80,48.02,48.38,47.73,,72.59,69.96,72.63,68.50,,,,,,,,,,,,,,,,,0,0
"2015-07-01 06:45:00",0,0,0,72.58,73.10,73.69,72.53,,,,,,,66.81,65.92,73.48,58.26,,47.63,47.73,47.96,47.41,,71.86,72.19,73.61,71.60,,,,,,,,,,,,,,,,,0,0
"2015-07-01 07:00:00",0,0,0,71.62,72.12,72.59,71.64,,,,,,,65.73,66.32,73.60,58.50,,47.39,47.50,47.71,47.21,,74.35,73.00,75.28,71.79,,,,,,,,,,,,,,,,,0,0
"2015-07-01 07:15:00",0,0,0,71.04,71.30,71.69,70.99,,,,,,,64.45,66.55,73.60,58.56,,47.51,47.46,47.69,47.25,,72.95,73.14,74.38,72.81,,,,,,,,,,,,,,,,,0,0
"2015-07-01 07:30:00",0,0,0,70.56,70.76,71.07,70.49,,,,,,,62.13,66.58,73.36,58.32,,47.39,47.38,47.61,47.13,,75.06,73.89,75.05,72.88,,,,,,,,,,,,,,,,,0,0
"2015-07-01 07:45:00",0,0,0,70.22,70.39,70.62,70.15,,,,,,,58.98,66.54,72.95,58.46,,47.09,47.03,47.43,46.81,,73.70,74.51,75.69,73.63,,,,,,,,,,,,,,,,,0,0
"2015-07-01 08:00:00",0,0,0,69.86,70.11,70.28,69.80,,,,,,,60.55,67.23,73.19,59.07,,46.92,47.01,47.29,46.73,,73.94,74.70,75.68,73.65,,,,,,,,,,,,,,,,,0,0
