time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-01 08:15:00",0,0,0,69.12,69.37,69.91,68.98,,,,,,,71.32,66.79,73.17,58.14,,46.82,46.84,47.02,46.66,,75.32,74.04,75.35,73.67,,,,,,,,,,,,,,,,,0,0
"2015-07-01 08:30:00",0,0,0,69.79,69.57,69.88,69.01,,,,,,,72.39,65.82,72.46,58.51,,46.56,46.55,46.88,46.34,,73.99,74.70,75.62,73.90,,,,,,,,,,,,,,,,,0,0
"2015-07-01 08:45:00",0,0,0,69.21,69.78,70.05,69.15,,,,,,,71.78,66.12,72.82,58.66,,46.45,46.45,46.67,46.24,,74.72,73.96,74.72,73.79,,,,,,,,,,,,,,,,,0,0
"2015-07-01 09:00:00",0,0,0,68.19,68.46,69.23,68.05,,,,,,,69.99,65.99,72.82,58.42,,46.35,46.45,46.66,46.26,,75.16,74.87,75.46,74.12,,,,,,,,,,,,,,,,,0,0
"2015-07-01 09:15:00",0,0,0,68.05,68.44,68.81,67.97,,,,,,,66.07,66.36,72.73,58.21,,46.38,46.23,46.51,45.96,,75.05,74.43,75.18,74.09,,,,,,,,,,,,,,,,,0,0
"2015-07-01 09:30:00",0,0,0,67.56,67.80,68.03,67.53,,,,,,,63.41,66.73,72.59,58.12,,46.23,46.27,46.52,46.09,,74.19,74.58,75.66,74.04,,,,,,,,,,,,,,,,,0,0
"2015-07-01 09:45:00",0,0,0,67.68,67.79,67.99,67.52,,,,,,,59.78,67.75,72.49,59.74,,46.13,46.05,46.30,45.83,,75.23,74.23,75.23,73.95,,,,,,,,,,,,,,,,,0,0
"2015-07-01 10:00:00",0,0,0,67.72,67.78,67.94,67.57,,,,,,,70.53,67.03,72.42,58.29,,46.03,46.02,46.24,45.79,,74.11,74.65,75.46,74.07,,,,,,,,,,,,,,,,,0,0
"2015-07-01 10:15:00",0,0,0,67.90,67.91,68.15,67.65,,,,,,,71.66,65.33,71.66,57.82,,45.90,45.92,46.17,45.64,,74.14,74.10,74.25,74.00,,,,,,,,,,,,,,,,,0,0
"2015-07-01 10:30:00",0,0,0,66.94,67.41,67.89,66.92,,,,,,,68.96,65.58,72.34,57.95,,45.44,45.63,45.99,45.30,,75.16,74.72,75.25,74.07,,,,,,,,,,,,,,,,,0,0
"2015-07-01 10:45:00",0,0,0,66.18,66.47,66.96,66.14,,,,,,,63.91,66.63,71.74,57.90,,45.28,45.23,45.50,45.01,,74.19,74.46,75.23,74.14,,,,,,,,,,,,,,,,,0,0
"2015-07-01 11:00:00",0,0,0,66.06,66.13,66.24,65.99,,,,,,,66.15,69.05,71.88,64.01,,45.17,45.17,45.51,44.94,,75.23,74.83,75.56,74.11,,,,,,,,,,,,,,,,,0,0
"2015-07-01 11:15:00",0,0,0,65.56,65.90,66.08,65.53,,,,,,,70.99,65.35,71.10,57.93,,44.84,44.96,45.24,44.61,,73.02,73.95,75.27,72.95,,,,,,,,,,,,,,,,,0,0
"2015-07-01 11:30:00",0,0,0,65.78,65.54,65.82,65.31,,,,,,,67.01,65.97,71.81,58.25,,44.63,44.83,45.04,44.61,,72.05,72.49,73.05,72.00,,,,,,,,,,,,,,,,,0,0
