time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-01 11:45:00",0,0,0,66.21,65.88,66.26,65.60,,,,,,,58.02,68.03,71.86,57.95,,44.81,44.69,44.94,44.51,,71.65,71.84,72.13,71.50,,,,,,,,,,,,,,,,,0,0
"2015-07-01 12:00:00",0,0,0,66.11,66.30,66.45,66.07,,,,,,,71.61,67.16,71.79,57.97,,44.33,44.67,44.92,44.32,,72.32,71.58,72.41,71.18,,,,,,,,,,,,,,,,,0,0
"2015-07-01 12:15:00",0,0,0,65.82,65.76,66.15,65.57,,,,,,,70.22,65.72,71.90,58.02,,44.65,44.49,44.79,44.17,,72.18,72.50,73.12,71.83,,,,,,,,,,,,,,,,,0,0
"2015-07-01 12:30:00",0,0,0,67.11,66.47,67.13,65.83,,,,,,,64.01,67.23,72.49,58.32,,44.86,44.85,45.06,44.61,,72.39,73.03,73.58,72.15,,,,,,,,,,,,,,,,,0,0
"2015-07-01 12:45:00",0,0,0,69.40,67.98,69.47,67.05,,,,,,,70.19,70.20,72.78,63.98,,44.89,44.90,45.12,44.66,,73.46,73.21,73.92,72.18,,,,,,,,,,,,,,,,,0,0
"2015-07-01 13:00:00",0,0,0,71.03,70.24,71.06,69.40,,,,,,,72.53,66.28,72.56,58.56,,45.11,44.94,45.22,44.71,,73.72,73.15,73.77,72.42,,,,,,,,,,,,,,,,,0,0
"2015-07-01 13:15:00",0,0,0,72.05,71.46,72.02,70.95,,,,,,,70.62,66.81,73.24,58.84,,45.41,45.19,45.46,45.02,,73.51,73.38,73.99,72.66,,,,,,,,,,,,,,,,,0,0
"2015-07-01 13:30:00",0,0,0,73.19,72.71,73.23,71.93,,,,,,,61.99,69.05,73.68,59.12,,45.32,45.36,45.61,45.15,,72.97,73.58,74.04,72.78,,,,,,,,,,,,,,,,,0,0
"2015-07-01 13:45:00",0,0,0,74.30,73.71,74.31,73.16,,,,,,,72.46,70.43,74.01,61.95,,45.61,45.48,45.69,45.25,,73.65,73.70,74.14,72.93,,,,,,,,,,,,,,,,,0,0
"2015-07-01 14:00:00",0,0,0,75.46,74.93,75.50,74.25,,,,,,,73.84,67.38,73.94,59.50,,45.63,45.57,45.79,45.29,,74.12,73.57,74.21,73.02,,,,,,,,,,,,,,,,,0,0
"2015-07-01 14:15:00",0,0,0,78.20,76.29,78.28,75.43,,,,,,,72.77,67.41,74.33,59.46,,45.87,45.76,46.16,45.46,,73.79,73.65,74.25,73.16,,,,,,,,,,,,,,,,,0,0
"2015-07-01 14:30:00",0,0,0,81.89,80.14,81.92,78.24,,,,,,,67.51,68.11,74.94,59.79,,46.29,46.17,46.45,45.88,,73.51,74.06,74.57,73.44,,,,,,,,,,,,,,,,,0,0
"2015-07-01 14:45:00",0,0,0,84.45,83.07,84.53,81.85,,,,,,,63.64,69.05,75.35,60.02,,46.56,46.49,46.76,46.17,,74.69,74.17,74.93,73.46,,,,,,,,,,,,,,,,,0,0
"2015-07-01 15:00:00",0,0,0,85.88,85.50,85.96,84.48,,,,,,,61.69,70.30,75.68,61.69,,46.92,46.73,46.96,46.55,,74.18,74.24,74.84,73.89,,,,,,,,,,,,,,,,,0,0
