time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-01 15:15:00",0,0,0,86.38,86.28,86.69,85.81,,,,,,,65.13,69.66,75.95,60.49,,47.19,46.99,47.25,46.74,,74.48,74.61,75.03,74.11,,,,,,,,,,,,,,,,,0,0
"2015-07-01 15:30:00",0,0,0,86.71,86.38,86.78,86.10,,,,,,,66.41,68.64,76.34,60.65,,47.63,47.38,47.76,47.01,,74.99,74.53,75.03,74.26,,,,,,,,,,,,,,,,,0,0
"2015-07-01 15:45:00",0,0,0,88.88,87.51,88.91,86.65,,,,,,,76.77,67.95,76.81,60.44,,47.77,47.65,47.93,47.39,,69.44,69.03,75.91,60.13,,,,,,,,,,,,,,,,,0,0
"2015-07-01 16:00:00",0,0,0,90.15,89.83,90.20,88.77,,,,,,,76.39,67.80,76.80,61.06,,48.02,47.95,48.17,47.67,,73.67,72.00,73.68,69.44,,,,,,,,,,,,,,,,,0,0
"2015-07-01 16:15:00",0,0,0,91.79,91.02,91.84,90.12,,,,,,,76.69,67.89,76.75,61.09,,48.30,48.21,48.41,47.99,,75.39,75.15,75.49,73.65,,,,,,,,,,,,,,,,,0,0
"2015-07-01 16:30:00",0,0,0,93.77,92.58,93.83,91.69,,,,,,,77.32,67.93,77.51,61.32,,48.65,48.43,48.77,48.18,,75.40,75.35,75.54,75.21,,,,,,,,,,,,,,,,,0,0
"2015-07-01 16:45:00",0,0,0,94.42,94.36,94.81,93.75,,,,,,,76.72,68.27,77.57,61.13,,48.85,48.71,48.98,48.41,,71.45,65.39,75.61,57.05,,,,,,,,,,,,,,,,,0,0
"2015-07-01 17:00:00",0,0,0,92.94,93.84,94.42,92.83,,,,,,,76.86,67.82,76.89,61.46,,48.88,48.86,49.03,48.64,,75.27,72.26,75.30,70.75,,,,,,,,,,,,,,,,,0,0
"2015-07-01 17:15:00",0,0,0,89.02,91.80,92.92,88.98,,,,,,,76.21,67.61,76.88,60.96,,48.49,48.71,48.93,48.41,,75.49,75.61,75.81,75.26,,,,,,,,,,,,,,,,,0,0
"2015-07-01 17:30:00",0,0,0,89.45,89.02,89.50,88.69,,,,,,,76.67,67.65,76.70,60.98,,48.62,48.59,48.83,48.40,,75.54,75.31,75.64,75.13,,,,,,,,,,,,,,,,,0,0
"2015-07-01 17:45:00",0,0,0,91.23,90.38,91.34,89.39,,,,,,,76.80,68.21,76.81,61.92,,49.24,49.04,49.32,48.65,,62.53,74.78,76.69,62.53,,,,,,,,,,,,,,,,,0,0
"2015-07-01 18:00:00",0,0,0,92.58,91.78,92.65,91.19,,,,,,,77.75,68.76,77.72,62.04,,49.42,49.34,49.54,49.08,,73.48,65.98,73.49,57.14,,,,,,,,,,,,,,,,,0,0
"2015-07-01 18:15:00",0,0,0,94.07,93.52,94.16,92.54,,,,,,,77.18,68.63,78.07,62.11,,49.61,49.53,49.74,49.27,,74.35,74.59,75.39,73.49,,,,,,,,,,,,,,,,,0,0
"2015-07-01 18:30:00",0,0,0,95.28,94.74,95.34,94.06,,,,,,,75.78,68.53,78.02,62.09,,49.99,49.72,49.97,49.46,,76.26,76.05,76.51,74.35,,,,,,,,,,,,,,,,,0,0
"2015-07-01 18:45:00",0,0,0,95.32,95.57,95.80,95.26,,,,,,,75.98,68.72,78.32,62.29,,49.61,49.91,50.30,49.58,,76.31,76.25,76.36,76.17,,,,,,,,,,,,,,,,,0,0
