time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-01 22:30:00",0,0,0,108.89,108.29,108.90,107.37,,,,,,,74.76,66.53,77.45,62.96,,55.01,54.97,55.25,54.68,,78.48,70.75,78.46,61.69,,,,,,,,,,,,,,,,,0,0
"2015-07-01 22:45:00",0,0,0,113.02,111.15,113.08,108.84,,,,,,,69.91,65.65,74.72,62.81,,54.93,55.09,55.44,54.77,,62.16,75.51,79.89,62.19,,,,,,,,,,,,,,,,,0,0
"2015-07-01 23:00:00",0,0,0,112.00,112.10,113.80,110.74,,,,,,,63.94,67.03,76.10,63.80,,55.75,55.39,55.92,54.83,,79.21,72.90,79.24,61.58,,,,,,,,,,,,,,,,,0,0
"2015-07-01 23:15:00",0,0,0,109.19,109.46,112.09,107.49,,,,,,,62.85,67.10,75.93,62.83,,55.25,55.33,55.84,55.00,,61.10,72.90,80.41,60.77,,,,,,,,,,,,,,,,,0,0
"2015-07-01 23:30:00",0,0,0,102.14,105.18,109.40,102.13,,,,,,,64.69,66.24,73.80,62.65,,55.12,55.26,55.63,54.89,,79.67,74.58,79.70,61.09,,,,,,,,,,,,,,,,,0,0
"2015-07-01 23:45:00",0,0,0,98.78,100.64,102.18,98.78,,,,,,,71.93,64.77,71.98,62.36,,54.32,54.69,55.24,54.15,,66.12,71.83,79.98,60.34,,,,,,,,,,,,,,,,,0,0
"2015-07-02 00:00:00",0,0,0,97.37,98.14,98.87,97.27,,,,,,,67.42,64.81,72.19,62.72,,54.03,54.15,54.54,53.76,,78.51,75.31,78.54,66.12,,,,,,,,,,,,,,,,,0,0
"2015-07-02 00:15:00",0,0,0,95.38,96.67,97.40,95.34,,,,,,,64.89,65.52,72.34,62.16,,53.40,53.58,54.13,53.10,,72.25,70.44,79.06,60.69,,,,,,,,,,,,,,,,,0,0
"2015-07-02 00:30:00",0,0,0,93.21,93.95,95.39,93.10,,,,,,,62.16,65.69,72.15,62.05,,52.88,53.03,53.44,52.68,,78.20,76.47,78.25,72.33,,,,,,,,,,,,,,,,,0,0
"2015-07-02 00:45:00",0,0,0,93.60,93.56,93.87,93.06,,,,,,,62.26,66.10,72.49,62.13,,53.04,52.72,53.19,52.29,,74.42,67.79,78.30,59.53,,,,,,,,,,,,,,,,,0,0
"2015-07-02 01:00:00",0,0,0,93.86,93.60,93.98,93.36,,,,,,,64.04,66.30,73.73,61.94,,53.09,53.06,53.40,52.75,,76.78,76.63,77.52,74.35,,,,,,,,,,,,,,,,,0,0
"2015-07-02 01:15:00",0,0,0,92.76,93.23,93.95,92.72,,,,,,,65.36,66.54,74.40,61.69,,52.86,52.81,53.33,52.35,,75.28,67.90,76.70,59.61,,,,,,,,,,,,,,,,,0,0
"2015-07-02 01:30:00",0,0,0,93.81,93.26,93.95,92.63,,,,,,,67.48,66.84,74.83,61.84,,53.11,53.02,53.29,52.67,,76.97,76.51,77.03,75.23,,,,,,,,,,,,,,,,,0,0
"2015-07-02 01:45:00",0,0,0,92.41,93.52,94.03,92.36,,,,,,,68.86,67.38,75.35,61.96,,52.72,52.80,53.24,52.36,,73.70,68.28,77.07,59.79,,,,,,,,,,,,,,,,,0,0
