time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-02 02:00:00",0,0,0,91.32,91.78,92.47,91.25,,,,,,,69.97,67.20,75.52,61.13,,52.17,52.46,53.01,51.99,,53.53,57.45,73.65,53.53,,,,,,,,,,,,,,,,,0,0
"2015-07-02 02:15:00",0,0,0,93.06,92.15,93.22,91.26,,,,,,,73.65,67.66,75.52,61.19,,52.01,52.09,52.56,51.72,,52.87,53.08,53.61,52.76,,,,,,,,,,,,,,,,,0,0
"2015-07-02 02:30:00",0,0,0,89.43,91.20,93.06,89.45,,,,,,,73.60,67.46,76.14,60.71,,51.29,51.70,52.18,51.10,,51.99,52.48,52.92,51.90,,,,,,,,,,,,,,,,,0,0
"2015-07-02 02:45:00",0,0,0,86.34,87.97,89.51,86.35,,,,,,,71.18,67.03,75.61,61.03,,50.66,50.94,51.45,50.45,,51.47,51.77,51.97,51.43,,,,,,,,,,,,,,,,,0,0
"2015-07-02 03:00:00",0,0,0,84.34,85.24,86.43,84.33,,,,,,,71.66,66.86,74.04,61.03,,49.81,50.23,50.71,49.82,,58.75,59.87,64.63,51.22,,,,,,,,,,,,,,,,,0,0
"2015-07-02 03:15:00",0,0,0,83.29,83.77,84.40,83.27,,,,,,,74.01,66.84,74.04,60.72,,49.55,49.72,50.00,49.50,,50.63,52.48,58.69,50.57,,,,,,,,,,,,,,,,,0,0
"2015-07-02 03:30:00",0,0,0,82.28,82.74,83.33,82.23,,,,,,,73.94,66.74,74.28,60.72,,49.26,49.47,49.68,49.14,,51.54,57.09,62.36,50.48,,,,,,,,,,,,,,,,,0,0
"2015-07-02 03:45:00",0,0,0,81.41,81.89,82.31,81.35,,,,,,,73.63,66.70,74.13,60.26,,48.91,49.03,49.35,48.79,,61.48,54.45,61.50,49.67,,,,,,,,,,,,,,,,,0,0
"2015-07-02 04:00:00",0,0,0,81.28,81.12,81.48,80.76,,,,,,,73.75,66.18,73.77,59.76,,48.73,48.79,49.01,48.58,,49.28,53.33,62.71,49.28,,,,,,,,,,,,,,,,,0,0
"2015-07-02 04:15:00",0,0,0,80.66,81.12,81.45,80.59,,,,,,,73.55,67.00,74.45,60.62,,48.60,48.76,48.93,48.49,,55.89,58.30,62.86,49.24,,,,,,,,,,,,,,,,,0,0
"2015-07-02 04:30:00",0,0,0,79.61,80.14,80.66,79.60,,,,,,,73.96,67.14,74.26,60.43,,48.44,48.51,48.67,48.37,,60.79,54.46,60.80,49.61,,,,,,,,,,,,,,,,,0,0
"2015-07-02 04:45:00",0,0,0,79.86,79.47,79.91,79.25,,,,,,,73.33,66.37,74.37,59.85,,48.29,48.36,48.60,48.14,,58.06,55.98,62.81,49.69,,,,,,,,,,,,,,,,,0,0
"2015-07-02 05:00:00",0,0,0,78.98,79.51,80.04,78.90,,,,,,,72.68,66.88,74.38,60.40,,48.12,48.24,48.39,48.02,,49.99,55.97,62.12,49.68,,,,,,,,,,,,,,,,,0,0
"2015-07-02 05:15:00",0,0,0,77.86,78.39,79.00,77.74,,,,,,,69.99,66.71,74.45,60.12,,47.88,48.08,48.24,47.83,,52.32,60.67,66.71,50.05,,,,,,,,,,,,,,,,,0,0
