time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-02 05:30:00",0,0,0,76.50,77.08,77.83,76.48,,,,,,,67.95,66.97,74.15,60.25,,47.83,47.87,48.07,47.66,,65.47,56.40,65.41,49.36,,,,,,,,,,,,,,,,,0,0
"2015-07-02 05:45:00",0,0,0,75.74,76.18,76.55,75.67,,,,,,,67.25,67.07,73.99,60.10,,47.79,47.70,47.88,47.45,,59.09,56.32,66.47,49.36,,,,,,,,,,,,,,,,,0,0
"2015-07-02 06:00:00",0,0,0,75.37,75.45,75.78,75.23,,,,,,,66.23,67.20,74.20,60.01,,47.47,47.57,47.82,47.23,,57.19,57.08,65.93,49.24,,,,,,,,,,,,,,,,,0,0
"2015-07-02 06:15:00",0,0,0,74.84,75.20,75.44,74.80,,,,,,,65.26,66.77,73.80,59.62,,47.16,47.40,47.65,47.12,,51.25,58.95,62.77,51.26,,,,,,,,,,,,,,,,,0,0
"2015-07-02 06:30:00",0,0,0,74.46,74.60,74.88,74.41,,,,,,,60.88,67.52,73.82,59.86,,47.15,47.13,47.34,46.97,,62.02,55.95,61.97,48.76,,,,,,,,,,,,,,,,,0,0
"2015-07-02 06:45:00",0,0,0,73.63,74.13,74.53,73.59,,,,,,,66.79,69.00,73.77,60.87,,46.84,46.95,47.30,46.66,,57.00,56.08,63.76,48.60,,,,,,,,,,,,,,,,,0,0
"2015-07-02 07:00:00",0,0,0,72.82,73.11,73.66,72.74,,,,,,,73.24,66.53,73.22,59.73,,46.61,46.71,46.99,46.40,,56.34,60.69,64.05,56.35,,,,,,,,,,,,,,,,,0,0
"2015-07-02 07:15:00",0,0,0,72.63,72.87,73.07,72.55,,,,,,,71.78,66.42,73.52,59.66,,46.46,46.49,46.74,46.27,,60.91,54.84,60.95,48.49,,,,,,,,,,,,,,,,,0,0
"2015-07-02 07:30:00",0,0,0,72.47,72.51,72.65,72.36,,,,,,,70.26,66.25,73.10,59.45,,46.22,46.44,46.71,46.08,,48.33,57.92,63.97,48.30,,,,,,,,,,,,,,,,,0,0
"2015-07-02 07:45:00",0,0,0,71.70,72.14,72.58,71.64,,,,,,,66.55,67.27,73.43,59.98,,46.26,46.26,46.50,46.05,,64.17,62.23,66.80,48.27,,,,,,,,,,,,,,,,,0,0
"2015-07-02 08:00:00",0,0,0,71.21,71.39,71.75,71.15,,,,,,,60.27,69.40,73.45,60.25,,46.24,46.12,46.43,45.86,,57.34,55.67,64.78,48.08,,,,,,,,,,,,,,,,,0,0
"2015-07-02 08:15:00",0,0,0,70.99,70.97,71.23,70.78,,,,,,,66.65,67.59,73.31,59.47,,46.28,46.22,46.48,45.95,,54.23,60.75,63.91,54.21,,,,,,,,,,,,,,,,,0,0
"2015-07-02 08:30:00",0,0,0,71.34,71.27,71.51,70.95,,,,,,,72.77,66.32,72.89,59.45,,46.16,46.16,46.42,45.89,,62.27,56.77,63.10,48.55,,,,,,,,,,,,,,,,,0,0
"2015-07-02 08:45:00",0,0,0,72.10,71.67,72.14,71.20,,,,,,,70.01,66.38,73.45,59.50,,45.88,46.05,46.30,45.75,,48.51,57.96,64.20,48.24,,,,,,,,,,,,,,,,,0,0
"2015-07-02 09:00:00",0,0,0,71.32,71.83,72.15,71.25,,,,,,,65.90,67.60,73.40,59.94,,45.96,45.90,46.09,45.73,,67.10,60.96,67.14,48.57,,,,,,,,,,,,,,,,,0,0
