time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-02 16:15:00",0,0,0,89.66,89.47,89.67,89.20,,,,,,,64.59,69.86,76.89,61.82,,47.97,47.69,47.97,47.39,,66.07,63.01,68.60,51.59,,,,,,,,,,,,,,,,,0,0
"2015-07-02 16:30:00",0,0,0,91.02,90.49,91.13,89.56,,,,,,,63.23,71.16,77.25,63.24,,48.24,48.01,48.28,47.77,,67.43,60.36,67.43,52.40,,,,,,,,,,,,,,,,,0,0
"2015-07-02 16:45:00",0,0,0,91.25,90.86,91.33,90.45,,,,,,,68.25,70.27,76.94,62.19,,48.39,48.27,48.49,48.06,,58.65,62.00,71.18,52.30,,,,,,,,,,,,,,,,,0,0
"2015-07-02 17:00:00",0,0,0,92.26,91.98,92.36,91.19,,,,,,,67.34,68.67,77.10,62.21,,48.49,48.38,48.63,48.10,,58.32,63.99,66.42,58.28,,,,,,,,,,,,,,,,,0,0
"2015-07-02 17:15:00",0,0,0,92.56,92.20,92.64,91.93,,,,,,,71.28,69.45,78.07,61.86,,48.75,48.67,49.04,48.37,,70.97,60.51,70.99,52.24,,,,,,,,,,,,,,,,,0,0
"2015-07-02 17:30:00",0,0,0,92.07,92.02,92.65,91.68,,,,,,,77.37,68.29,77.35,62.27,,48.95,48.80,49.03,48.55,,62.84,62.15,72.78,52.82,,,,,,,,,,,,,,,,,0,0
"2015-07-02 17:45:00",0,0,0,90.98,91.66,92.34,90.89,,,,,,,76.09,68.44,77.66,62.28,,48.99,48.91,49.13,48.68,,55.30,66.40,73.00,55.32,,,,,,,,,,,,,,,,,0,0
"2015-07-02 18:00:00",0,0,0,90.57,90.82,91.26,90.19,,,,,,,76.14,68.92,77.20,62.26,,49.36,49.12,49.42,48.79,,81.59,71.07,99.14,53.44,,,,,,,,,,,,,,,,,0,0
"2015-07-02 18:15:00",0,0,0,91.81,91.19,91.86,90.57,,,,,,,75.98,68.99,78.34,62.29,,49.76,49.53,49.86,49.24,,75.59,76.86,81.60,75.55,,,,,,,,,,,,,,,,,0,0
"2015-07-02 18:30:00",0,0,0,92.07,91.98,92.34,91.59,,,,,,,76.37,68.90,78.07,62.33,,49.78,49.82,50.10,49.59,,75.65,75.56,75.68,75.45,,,,,,,,,,,,,,,,,0,0
"2015-07-02 18:45:00",0,0,0,92.15,92.07,92.24,91.85,,,,,,,76.83,68.67,77.71,62.31,,50.16,49.92,50.21,49.67,,75.77,75.61,75.80,75.47,,,,,,,,,,,,,,,,,0,0
"2015-07-02 19:00:00",0,0,0,93.33,92.71,93.58,92.03,,,,,,,78.04,68.85,78.07,62.75,,50.53,50.31,50.79,49.86,,75.98,75.85,76.02,75.73,,,,,,,,,,,,,,,,,0,0
"2015-07-02 19:15:00",0,0,0,93.77,93.54,93.92,93.17,,,,,,,78.60,69.19,78.90,63.01,,50.85,50.79,51.23,50.32,,76.31,76.17,76.34,75.95,,,,,,,,,,,,,,,,,0,0
"2015-07-02 19:30:00",0,0,0,94.94,94.49,95.03,93.70,,,,,,,78.08,68.75,78.60,62.95,,51.07,51.06,51.46,50.69,,76.60,76.45,76.60,76.27,,,,,,,,,,,,,,,,,0,0
