time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-02 19:45:00",0,0,0,95.51,95.17,95.60,94.79,,,,,,,76.78,68.86,78.42,62.93,,51.39,51.21,51.63,50.83,,76.78,76.65,76.81,76.51,,,,,,,,,,,,,,,,,0,0
"2015-07-02 20:00:00",0,0,0,95.90,95.63,95.94,95.40,,,,,,,75.79,68.26,77.99,62.57,,51.27,51.44,51.86,50.99,,76.88,76.87,76.96,76.77,,,,,,,,,,,,,,,,,0,0
"2015-07-02 20:15:00",0,0,0,96.23,96.07,96.32,95.82,,,,,,,75.62,68.24,78.07,62.63,,51.18,51.22,51.54,50.90,,77.01,76.94,77.09,76.84,,,,,,,,,,,,,,,,,0,0
"2015-07-02 20:30:00",0,0,0,97.51,97.09,97.55,96.16,,,,,,,76.81,68.09,78.17,62.94,,51.38,51.49,52.07,51.00,,77.27,77.16,77.34,,,,,,,,,,,,,,,,,,0,0
"2015-07-02 20:45:00",0,0,0,99.29,98.43,99.34,97.44,,,,,,,75.73,68.73,79.00,62.91,,51.85,51.65,52.08,51.14,,77.41,77.31,77.47,77.17,,,,,,,,,,,,,,,,,0,0
"2015-07-02 21:00:00",0,0,0,100.61,99.61,100.61,99.25,,,,,,,77.68,67.67,78.11,62.38,,51.97,51.83,52.19,51.55,,77.62,77.60,77.73,77.37,,,,,,,,,,,,,,,,,0,0
"2015-07-02 21:15:00",0,0,0,103.03,101.81,103.04,100.61,,,,,,,78.27,67.80,78.33,62.76,,52.43,52.11,52.48,51.70,,77.89,77.74,77.92,77.60,,,,,,,,,,,,,,,,,0,0
"2015-07-02 21:30:00",0,0,0,103.23,102.49,103.26,102.04,,,,,,,76.99,67.67,78.34,62.88,,52.87,52.48,52.99,52.19,,78.14,77.98,78.17,77.80,,,,,,,,,,,,,,,,,0,0
"2015-07-02 21:45:00",0,0,0,104.29,104.68,105.96,103.20,,,,,,,75.83,67.75,78.30,63.31,,53.11,52.94,53.34,52.57,,78.37,78.29,78.43,78.12,,,,,,,,,,,,,,,,,0,0
"2015-07-02 22:00:00",0,0,0,102.85,102.70,104.25,102.37,,,,,,,70.70,67.34,78.37,63.16,,53.67,53.40,53.73,52.88,,64.72,76.58,78.84,64.75,,,,,,,,,,,,,,,,,0,0
"2015-07-02 22:15:00",0,0,0,107.25,104.34,107.23,102.80,,,,,,,68.42,67.59,76.90,63.57,,53.59,53.68,53.97,53.32,,77.21,70.25,77.22,61.41,,,,,,,,,,,,,,,,,0,0
"2015-07-02 22:30:00",0,0,0,113.43,110.20,113.50,107.14,,,,,,,63.90,67.82,77.76,63.43,,88.47,58.80,88.55,53.34,,78.74,78.23,78.82,77.17,,,,,,,,,,,,,,,,,0,0
"2015-07-02 22:45:00",0,0,0,109.78,111.50,113.58,109.73,,,,,,,63.89,68.14,77.82,63.88,,73.62,77.62,88.44,73.60,,78.98,78.94,79.05,78.72,,,,,,,,,,,,,,,,,0,0
"2015-07-02 23:00:00",0,0,0,112.54,109.97,112.68,108.17,,,,,,,63.44,67.56,77.27,63.45,,71.66,72.42,73.62,71.54,,68.50,72.11,79.15,61.59,,,,,,,,,,,,,,,,,0,0
"2015-07-02 23:15:00",0,0,0,111.01,112.16,112.74,110.96,,,,,,,64.44,67.53,76.37,63.45,,72.44,72.13,72.54,71.60,,78.39,76.02,78.43,68.50,,,,,,,,,,,,,,,,,0,0
