time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-02 23:30:00",0,0,0,105.96,108.88,111.05,105.91,,,,,,,65.15,67.58,76.73,63.35,,68.22,68.21,73.62,62.33,,78.83,78.68,78.92,78.37,,,,,,,,,,,,,,,,,0,0
"2015-07-02 23:45:00",0,0,0,105.83,104.77,105.92,104.08,,,,,,,66.92,66.75,75.50,62.29,,67.56,66.96,69.80,61.39,,73.51,70.06,78.88,61.44,,,,,,,,,,,,,,,,,0,0
"2015-07-03 00:00:00",0,0,0,112.46,108.88,112.47,105.80,,,,,,,69.77,67.27,76.82,62.92,,67.78,66.80,69.34,61.52,,78.18,76.78,78.20,73.48,,,,,,,,,,,,,,,,,0,0
"2015-07-03 00:15:00",0,0,0,117.03,114.38,117.07,112.46,,,,,,,74.39,66.44,74.62,62.93,,68.54,66.77,69.58,61.18,,66.05,72.78,78.63,61.67,,,,,,,,,,,,,,,,,0,0
"2015-07-03 00:30:00",0,0,0,115.60,115.95,117.73,114.80,,,,,,,74.08,66.38,74.37,62.57,,68.15,66.83,69.65,61.15,,78.39,75.16,78.43,66.03,,,,,,,,,,,,,,,,,0,0
"2015-07-03 00:45:00",0,0,0,114.31,115.06,115.98,114.15,,,,,,,71.38,66.37,75.66,62.45,,69.05,67.16,69.58,61.76,,77.51,78.74,78.97,77.57,,,,,,,,,,,,,,,,,0,0
"2015-07-03 01:00:00",0,0,0,117.06,115.34,117.16,114.00,,,,,,,70.78,66.40,74.81,62.42,,66.28,67.15,69.97,61.64,,76.81,69.65,77.47,61.44,,,,,,,,,,,,,,,,,0,0
"2015-07-03 01:15:00",0,0,0,117.92,117.70,118.23,117.07,,,,,,,67.85,66.68,76.01,62.64,,62.32,66.71,70.02,61.71,,78.56,78.06,78.62,76.81,,,,,,,,,,,,,,,,,0,0
"2015-07-03 01:30:00",0,0,0,114.50,116.25,118.01,114.44,,,,,,,64.59,66.62,75.74,62.33,,68.25,67.27,71.28,61.91,,74.19,70.58,78.63,61.38,,,,,,,,,,,,,,,,,0,0
"2015-07-03 01:45:00",0,0,0,112.70,113.72,114.52,112.63,,,,,,,63.24,66.78,74.88,62.79,,68.40,67.30,70.06,61.70,,77.97,76.87,78.03,74.18,,,,,,,,,,,,,,,,,0,0
"2015-07-03 02:00:00",0,0,0,110.30,111.23,112.77,110.27,,,,,,,62.60,66.87,75.52,62.47,,68.55,67.17,69.82,61.56,,78.02,78.07,78.18,77.90,,,,,,,,,,,,,,,,,0,0
"2015-07-03 02:15:00",0,0,0,106.87,108.92,110.35,106.87,,,,,,,62.42,66.90,75.63,62.40,,69.07,67.09,69.63,61.37,,77.74,77.89,78.08,77.71,,,,,,,,,,,,,,,,,0,0
"2015-07-03 02:30:00",0,0,0,99.67,102.70,106.99,99.67,,,,,,,62.02,66.74,75.10,61.92,,62.29,66.34,69.19,60.98,,77.27,77.57,77.82,77.22,,,,,,,,,,,,,,,,,0,0
"2015-07-03 02:45:00",0,0,0,95.59,97.47,99.68,95.57,,,,,,,62.10,66.29,74.33,61.41,,66.21,65.68,68.40,60.46,,76.84,77.02,77.34,76.80,,,,,,,,,,,,,,,,,0,0
