time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-03 03:00:00",0,0,0,92.96,94.06,95.61,92.89,,,,,,,64.70,66.34,73.94,61.46,,66.45,65.81,67.81,60.39,,77.77,76.87,77.77,76.62,,,,,,,,,,,,,,,,,0,0
"2015-07-03 03:15:00",0,0,0,91.12,92.07,93.00,91.05,,,,,,,66.75,66.47,73.70,61.45,,66.30,65.50,67.53,60.00,,79.70,78.89,79.71,77.73,,,,,,,,,,,,,,,,,0,0
"2015-07-03 03:30:00",0,0,0,90.97,91.11,91.24,90.90,,,,,,,69.05,67.03,74.35,61.93,,67.00,65.72,67.32,60.29,,80.44,80.02,80.45,79.65,,,,,,,,,,,,,,,,,0,0
"2015-07-03 03:45:00",0,0,0,89.09,90.30,91.03,89.04,,,,,,,68.83,67.38,76.29,61.54,,65.99,65.82,67.57,60.25,,80.38,80.38,80.50,80.29,,,,,,,,,,,,,,,,,0,0
"2015-07-03 04:00:00",0,0,0,85.96,87.39,89.10,85.96,,,,,,,69.08,67.15,75.39,61.07,,60.47,64.91,67.11,59.74,,80.61,80.58,80.75,80.35,,,,,,,,,,,,,,,,,0,0
"2015-07-03 04:15:00",0,0,0,84.49,85.28,86.02,84.49,,,,,,,68.73,66.93,75.29,60.76,,64.28,64.59,67.07,59.23,,80.65,80.56,80.70,80.50,,,,,,,,,,,,,,,,,0,0
"2015-07-03 04:30:00",0,0,0,83.46,83.94,84.57,83.41,,,,,,,68.35,66.84,75.03,60.54,,64.79,65.02,67.46,59.35,,80.59,80.65,80.75,80.53,,,,,,,,,,,,,,,,,0,0
"2015-07-03 04:45:00",0,0,0,82.41,82.97,83.48,82.38,,,,,,,68.03,66.85,75.01,60.29,,65.29,64.79,67.18,59.06,,80.71,80.63,80.76,80.52,,,,,,,,,,,,,,,,,0,0
"2015-07-03 05:00:00",0,0,0,81.21,81.75,82.47,81.16,,,,,,,68.06,66.75,74.67,60.16,,65.46,64.95,67.37,59.34,,80.53,80.56,80.75,80.43,,,,,,,,,,,,,,,,,0,0
"2015-07-03 05:15:00",0,0,0,80.11,80.85,81.25,80.12,,,,,,,68.91,66.91,74.62,60.31,,66.01,64.72,67.06,59.14,,80.56,80.56,80.68,80.42,,,,,,,,,,,,,,,,,0,0
"2015-07-03 05:30:00",0,0,0,79.26,79.53,80.19,79.19,,,,,,,67.87,67.06,74.93,60.25,,66.07,64.61,67.02,59.01,,80.39,80.37,80.54,80.23,,,,,,,,,,,,,,,,,0,0
"2015-07-03 05:45:00",0,0,0,78.41,78.85,79.32,78.38,,,,,,,67.46,67.27,74.79,60.53,,66.30,64.71,66.86,59.11,,80.21,80.43,80.65,80.13,,,,,,,,,,,,,,,,,0,0
"2015-07-03 06:00:00",0,0,0,77.57,78.05,78.47,77.54,,,,,,,66.55,67.20,74.76,60.10,,66.31,64.66,66.83,58.92,,80.60,80.21,80.67,80.01,,,,,,,,,,,,,,,,,0,0
"2015-07-03 06:15:00",0,0,0,77.36,77.37,77.64,77.18,,,,,,,65.44,67.38,74.71,60.43,,66.79,64.58,66.83,58.88,,79.96,80.22,80.67,79.92,,,,,,,,,,,,,,,,,0,0
