time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-03 06:30:00",0,0,0,76.96,77.12,77.42,76.95,,,,,,,61.43,67.42,74.74,59.96,,65.69,64.78,67.14,58.91,,80.23,80.18,80.54,79.86,,,,,,,,,,,,,,,,,0,0
"2015-07-03 06:45:00",0,0,0,77.50,77.10,77.56,76.91,,,,,,,60.82,67.67,74.81,60.78,,62.21,64.56,67.22,58.93,,79.58,79.85,80.27,79.58,,,,,,,,,,,,,,,,,0,0
"2015-07-03 07:00:00",0,0,0,78.30,77.99,78.36,77.43,,,,,,,61.61,67.73,74.86,60.39,,59.39,64.38,67.25,59.03,,79.77,80.02,80.41,79.54,,,,,,,,,,,,,,,,,0,0
"2015-07-03 07:15:00",0,0,0,79.61,78.84,79.64,78.21,,,,,,,64.37,67.81,75.08,60.06,,60.61,64.13,67.02,58.99,,79.97,79.59,79.98,79.37,,,,,,,,,,,,,,,,,0,0
"2015-07-03 07:30:00",0,0,0,79.88,79.78,79.97,79.52,,,,,,,67.49,67.94,75.25,60.51,,63.55,64.19,66.77,58.85,,79.64,80.08,80.45,79.61,,,,,,,,,,,,,,,,,0,0
"2015-07-03 07:45:00",0,0,0,79.96,80.00,80.14,79.87,,,,,,,75.05,67.73,75.29,60.60,,63.87,64.34,66.76,58.77,,80.33,79.70,80.33,79.35,,,,,,,,,,,,,,,,,0,0
"2015-07-03 08:00:00",0,0,0,79.85,79.93,80.06,79.75,,,,,,,74.64,67.38,75.05,60.53,,64.37,64.54,66.82,58.84,,79.08,79.40,80.41,78.92,,,,,,,,,,,,,,,,,0,0
"2015-07-03 08:15:00",0,0,0,79.79,79.73,79.89,79.62,,,,,,,74.35,67.43,75.00,60.46,,64.81,64.51,66.85,58.85,,78.72,79.02,79.50,78.61,,,,,,,,,,,,,,,,,0,0
"2015-07-03 08:30:00",0,0,0,79.92,79.89,79.99,79.77,,,,,,,73.28,67.28,75.19,60.35,,65.24,64.65,66.99,58.97,,79.39,79.01,79.42,78.66,,,,,,,,,,,,,,,,,0,0
"2015-07-03 08:45:00",0,0,0,80.36,80.26,80.52,79.89,,,,,,,72.22,67.54,75.17,60.49,,65.55,64.79,67.22,59.05,,79.02,78.87,79.43,78.57,,,,,,,,,,,,,,,,,0,0
"2015-07-03 09:00:00",0,0,0,80.01,80.17,80.41,79.95,,,,,,,69.77,67.40,75.17,60.13,,65.53,64.61,67.11,58.93,,79.07,78.91,79.10,78.70,,,,,,,,,,,,,,,,,0,0
"2015-07-03 09:15:00",0,0,0,80.08,80.19,80.35,79.97,,,,,,,67.20,67.65,75.24,60.18,,65.61,64.47,66.84,58.74,,78.57,79.03,79.55,78.53,,,,,,,,,,,,,,,,,0,0
"2015-07-03 09:30:00",0,0,0,79.62,79.87,80.17,79.58,,,,,,,65.87,67.95,75.14,60.44,,66.04,64.58,66.65,58.98,,78.58,78.59,78.68,78.52,,,,,,,,,,,,,,,,,0,0
"2015-07-03 09:45:00",0,0,0,77.93,78.73,79.64,77.91,,,,,,,60.98,68.80,74.95,60.14,,66.48,64.53,66.69,58.67,,78.92,79.01,79.35,78.51,,,,,,,,,,,,,,,,,0,0
