time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-03 10:00:00",0,0,0,77.60,77.62,77.99,77.41,,,,,,,63.03,69.05,74.88,61.07,,66.55,64.39,66.82,58.47,,78.61,78.66,79.19,78.30,,,,,,,,,,,,,,,,,0,0
"2015-07-03 10:15:00",0,0,0,77.10,77.43,77.68,77.01,,,,,,,73.52,67.63,74.78,59.76,,66.67,64.55,66.99,58.74,,78.84,78.80,78.94,78.55,,,,,,,,,,,,,,,,,0,0
"2015-07-03 10:30:00",0,0,0,76.29,76.76,77.17,76.29,,,,,,,74.18,66.93,74.21,59.88,,66.59,64.40,67.07,58.57,,79.01,78.76,79.02,78.56,,,,,,,,,,,,,,,,,0,0
"2015-07-03 10:45:00",0,0,0,75.90,75.99,76.37,75.79,,,,,,,73.19,67.36,74.71,60.22,,66.47,64.22,67.10,58.44,,78.24,78.37,79.12,78.12,,,,,,,,,,,,,,,,,0,0
"2015-07-03 11:00:00",0,0,0,74.60,75.46,75.96,74.59,,,,,,,68.52,67.68,74.67,60.05,,66.40,64.17,66.77,58.38,,77.59,78.21,78.52,77.58,,,,,,,,,,,,,,,,,0,0
"2015-07-03 11:15:00",0,0,0,73.83,74.06,74.66,73.79,,,,,,,65.47,67.70,74.15,59.50,,66.51,64.16,66.76,58.10,,74.90,75.83,77.62,74.87,,,,,,,,,,,,,,,,,0,0
"2015-07-03 11:30:00",0,0,0,72.53,73.31,73.90,72.52,,,,,,,59.78,68.81,74.04,59.70,,66.62,64.14,66.77,58.02,,74.08,74.47,74.95,74.07,,,,,,,,,,,,,,,,,0,0
"2015-07-03 11:45:00",0,0,0,73.47,72.83,73.53,72.33,,,,,,,65.66,68.93,74.37,59.79,,66.79,64.29,66.91,58.26,,73.48,73.67,74.13,73.39,,,,,,,,,,,,,,,,,0,0
"2015-07-03 12:00:00",0,0,0,73.13,73.43,73.59,73.14,,,,,,,74.06,67.38,74.04,59.94,,66.62,64.23,67.09,58.14,,73.09,73.27,73.49,73.04,,,,,,,,,,,,,,,,,0,0
"2015-07-03 12:15:00",0,0,0,72.64,72.90,73.21,72.59,,,,,,,73.09,66.80,74.15,59.61,,66.31,64.13,67.02,58.36,,73.81,73.05,73.84,72.71,,,,,,,,,,,,,,,,,0,0
"2015-07-03 12:30:00",0,0,0,73.03,72.76,73.07,72.51,,,,,,,69.20,67.16,74.16,59.68,,66.22,64.10,66.69,58.27,,73.32,73.97,74.57,73.29,,,,,,,,,,,,,,,,,0,0
"2015-07-03 12:45:00",0,0,0,73.60,73.27,73.66,72.96,,,,,,,65.18,68.00,74.13,59.74,,66.59,64.41,66.71,58.19,,66.64,61.58,73.95,50.86,,,,,,,,,,,,,,,,,0,0
"2015-07-03 13:00:00",0,0,0,74.70,74.11,74.74,73.54,,,,,,,61.96,70.03,74.45,62.00,,66.53,64.20,66.86,58.29,,72.66,70.91,72.71,66.64,,,,,,,,,,,,,,,,,0,0
"2015-07-03 13:15:00",0,0,0,76.43,75.49,76.45,74.66,,,,,,,73.93,68.32,74.81,59.88,,66.93,64.31,66.93,58.42,,74.02,74.02,74.48,72.58,,,,,,,,,,,,,,,,,0,0
"2015-07-03 13:30:00",0,0,0,77.17,76.94,77.21,76.39,,,,,,,74.25,67.30,74.35,60.21,,66.68,64.25,67.12,58.56,,75.32,74.92,75.71,73.99,,,,,,,,,,,,,,,,,0,0
