time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-04 04:45:00",0,0,0,83.05,83.18,83.33,83.02,,,,,,,69.59,67.21,75.49,60.84,,65.05,63.95,67.38,58.42,,81.26,81.30,81.61,80.68,,,,,,,,,,,,,,,,,0,0
"2015-07-04 05:00:00",0,0,0,82.58,82.78,83.10,82.48,,,,,,,70.45,66.95,75.19,60.57,,65.52,64.35,67.03,58.37,,81.49,81.25,81.57,80.97,,,,,,,,,,,,,,,,,0,0
"2015-07-04 05:15:00",0,0,0,82.29,82.42,82.61,82.19,,,,,,,70.17,67.23,75.59,60.64,,62.57,64.08,66.21,58.36,,81.30,81.50,81.64,81.28,,,,,,,,,,,,,,,,,0,0
"2015-07-04 05:30:00",0,0,0,81.97,82.12,82.37,81.88,,,,,,,70.29,67.33,75.35,60.67,,63.79,63.27,66.80,58.19,,81.31,81.42,81.62,81.09,,,,,,,,,,,,,,,,,0,0
"2015-07-04 05:45:00",0,0,0,81.18,81.58,81.98,81.12,,,,,,,69.95,67.00,75.24,60.35,,65.42,64.29,67.16,58.28,,81.31,81.09,81.36,80.76,,,,,,,,,,,,,,,,,0,0
"2015-07-04 06:00:00",0,0,0,80.62,80.92,81.23,80.55,,,,,,,68.62,66.89,75.15,60.05,,65.24,64.12,66.93,58.09,,81.15,81.28,81.54,80.98,,,,,,,,,,,,,,,,,0,0
"2015-07-04 06:15:00",0,0,0,80.07,80.31,80.69,80.03,,,,,,,67.80,67.21,75.15,60.30,,59.85,63.82,66.83,57.90,,81.28,81.19,81.58,80.72,,,,,,,,,,,,,,,,,0,0
"2015-07-04 06:30:00",0,0,0,78.93,79.55,80.13,78.89,,,,,,,66.92,67.13,75.14,60.04,,63.99,63.20,66.88,57.96,,80.43,80.70,81.31,80.37,,,,,,,,,,,,,,,,,0,0
"2015-07-04 06:45:00",0,0,0,78.71,78.73,78.98,78.51,,,,,,,66.84,66.98,74.79,60.13,,64.35,63.79,66.78,58.06,,81.16,81.01,81.46,80.30,,,,,,,,,,,,,,,,,0,0
"2015-07-04 07:00:00",0,0,0,78.49,78.68,78.85,78.49,,,,,,,66.49,67.40,74.96,60.49,,66.17,63.71,66.25,57.90,,81.37,81.08,81.44,80.72,,,,,,,,,,,,,,,,,0,0
"2015-07-04 07:15:00",0,0,0,77.73,78.27,78.64,77.71,,,,,,,65.08,67.17,74.86,59.97,,59.86,63.82,66.73,57.81,,80.29,80.94,81.51,80.24,,,,,,,,,,,,,,,,,0,0
"2015-07-04 07:30:00",0,0,0,75.98,76.76,77.81,75.94,,,,,,,62.42,67.26,74.62,59.83,,62.77,62.72,66.52,57.71,,81.03,80.30,81.05,79.98,,,,,,,,,,,,,,,,,0,0
"2015-07-04 07:45:00",0,0,0,75.36,75.49,76.02,75.17,,,,,,,60.28,67.65,74.50,60.29,,64.03,62.77,65.13,57.69,,79.97,80.38,81.14,79.92,,,,,,,,,,,,,,,,,0,0
"2015-07-04 08:00:00",0,0,0,75.94,75.47,76.00,75.20,,,,,,,62.37,67.54,74.40,59.90,,65.86,63.36,65.98,57.63,,80.85,80.36,81.03,79.80,,,,,,,,,,,,,,,,,0,0
