time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-04 12:00:00",0,0,0,75.82,76.05,76.36,75.77,,,,,,,69.99,67.95,74.56,59.58,,66.22,63.96,66.35,57.63,,73.85,73.99,74.31,73.82,,,,,,,,,,,,,,,,,0,0
"2015-07-04 12:15:00",0,0,0,75.71,75.69,75.88,75.56,,,,,,,73.98,66.65,74.06,59.55,,66.25,63.98,66.90,57.71,,74.93,73.99,74.96,73.68,,,,,,,,,,,,,,,,,0,0
"2015-07-04 12:30:00",0,0,0,76.06,75.85,76.14,75.64,,,,,,,72.72,67.36,74.62,60.21,,59.41,63.49,66.43,57.74,,68.83,74.99,75.83,68.90,,,,,,,,,,,,,,,,,0,0
"2015-07-04 12:45:00",0,0,0,76.39,76.22,76.41,76.04,,,,,,,68.25,67.32,74.59,59.79,,62.17,63.38,66.94,57.73,,68.35,58.54,68.70,49.71,,,,,,,,,,,,,,,,,0,0
"2015-07-04 13:00:00",0,0,0,76.89,76.66,76.95,76.33,,,,,,,66.04,67.60,74.66,59.83,,63.30,63.64,66.85,57.82,,74.14,72.43,74.16,68.37,,,,,,,,,,,,,,,,,0,0
"2015-07-04 13:15:00",0,0,0,77.60,77.21,77.69,76.85,,,,,,,61.46,68.90,74.86,60.47,,64.77,63.67,66.47,57.96,,74.77,74.69,75.13,74.11,,,,,,,,,,,,,,,,,0,0
"2015-07-04 13:30:00",0,0,0,79.36,78.47,79.39,77.59,,,,,,,63.44,69.53,75.20,61.53,,66.62,64.18,66.68,58.06,,64.78,66.78,75.69,54.69,,,,,,,,,,,,,,,,,0,0
"2015-07-04 13:45:00",0,0,0,80.43,79.99,80.54,79.32,,,,,,,70.89,,75.65,60.29,,66.88,64.46,67.01,58.20,,73.80,68.83,73.84,64.78,,,,,,,,,,,,,,,,,0,0
"2015-07-04 14:00:00",0,0,0,81.65,81.07,81.71,80.40,,,,,,,75.66,67.91,75.77,60.99,,60.88,64.09,67.11,58.33,,74.82,74.77,75.01,73.77,,,,,,,,,,,,,,,,,0,0
"2015-07-04 14:15:00",0,0,0,84.58,82.99,84.59,81.63,,,,,,,74.71,67.66,75.90,60.96,,61.39,63.33,66.79,58.34,,54.64,69.54,76.44,54.59,,,,,,,,,,,,,,,,,0,0
"2015-07-04 14:30:00",0,0,0,86.16,85.26,86.20,84.53,,,,,,,73.43,67.79,75.83,61.07,,64.37,64.15,66.94,58.59,,72.58,67.59,72.63,54.67,,,,,,,,,,,,,,,,,0,0
"2015-07-04 14:45:00",0,0,0,89.05,87.78,89.06,86.13,,,,,,,72.15,68.21,76.02,61.43,,65.54,64.43,67.13,58.74,,75.88,75.28,76.22,72.56,,,,,,,,,,,,,,,,,0,0
"2015-07-04 15:00:00",0,0,0,91.93,90.59,92.02,88.98,,,,,,,70.06,68.47,76.46,61.70,,66.51,64.60,67.24,58.81,,59.44,73.33,75.98,59.44,,,,,,,,,,,,,,,,,0,0
"2015-07-04 15:15:00",0,0,0,91.73,92.44,92.95,91.71,,,,,,,68.91,68.70,76.58,61.91,,66.23,64.93,67.31,58.92,,74.99,66.83,75.05,55.57,,,,,,,,,,,,,,,,,0,0
