time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-04 22:30:00",0,0,0,113.41,109.05,113.40,105.36,,,,,,,67.85,66.24,74.36,63.07,,69.85,66.28,70.42,60.82,,74.74,67.78,80.03,60.00,,,,,,,,,,,,,,,,,0,0
"2015-07-04 22:45:00",0,0,0,116.78,115.55,116.80,113.33,,,,,,,63.74,67.09,73.88,63.70,,64.48,66.17,70.60,61.24,,80.18,78.63,80.19,74.70,,,,,,,,,,,,,,,,,0,0
"2015-07-04 23:00:00",0,0,0,118.87,118.31,119.07,116.72,,,,,,,63.81,66.95,73.18,63.45,,62.38,65.80,71.18,61.43,,77.17,68.77,80.22,60.70,,,,,,,,,,,,,,,,,0,0
"2015-07-04 23:15:00",0,0,0,120.95,119.17,120.99,118.38,,,,,,,64.39,66.79,73.79,63.22,,62.50,65.44,70.87,61.49,,62.70,76.11,80.16,62.72,,,,,,,,,,,,,,,,,0,0
"2015-07-04 23:30:00",0,0,0,119.40,120.77,121.55,119.39,,,,,,,67.13,66.43,73.60,63.19,,69.15,66.31,71.40,61.43,,79.20,69.92,79.23,60.07,,,,,,,,,,,,,,,,,0,0
"2015-07-04 23:45:00",0,0,0,120.40,119.67,120.64,118.64,,,,,,,71.85,65.35,71.88,62.88,,70.45,66.50,70.84,61.40,,60.92,71.73,80.25,59.79,,,,,,,,,,,,,,,,,0,0
"2015-07-05 00:00:00",0,0,0,115.42,118.07,120.50,115.35,,,,,,,64.63,65.25,72.84,62.71,,70.17,66.47,71.73,61.46,,79.52,74.32,79.60,60.95,,,,,,,,,,,,,,,,,0,0
"2015-07-05 00:15:00",0,0,0,108.68,111.97,115.43,108.68,,,,,,,62.38,66.11,72.95,62.33,,63.96,65.96,70.55,60.78,,72.23,70.12,79.88,60.53,,,,,,,,,,,,,,,,,0,0
"2015-07-05 00:30:00",0,0,0,108.97,109.72,111.20,108.47,,,,,,,63.19,66.53,73.00,62.29,,61.11,65.00,69.92,60.86,,72.96,77.16,79.30,72.23,,,,,,,,,,,,,,,,,0,0
"2015-07-05 00:45:00",0,0,0,104.28,106.36,109.03,104.22,,,,,,,63.01,66.19,73.07,62.35,,67.68,65.11,69.84,60.40,,77.16,68.72,77.16,59.92,,,,,,,,,,,,,,,,,0,0
"2015-07-05 01:00:00",0,0,0,101.79,102.86,104.31,101.46,,,,,,,62.64,66.61,74.20,62.60,,67.90,65.69,69.13,59.84,,65.65,70.00,78.65,58.89,,,,,,,,,,,,,,,,,0,0
"2015-07-05 01:15:00",0,0,0,102.37,102.47,102.97,101.74,,,,,,,62.86,66.65,74.16,62.13,,64.32,65.49,68.81,59.63,,78.14,74.98,78.18,65.68,,,,,,,,,,,,,,,,,0,0
"2015-07-05 01:30:00",0,0,0,104.35,103.63,104.66,102.39,,,,,,,62.60,66.33,73.67,62.08,,60.05,64.52,69.26,59.52,,74.70,69.03,78.43,59.61,,,,,,,,,,,,,,,,,0,0
"2015-07-05 01:45:00",0,0,0,100.11,101.87,104.32,100.09,,,,,,,62.11,66.41,74.52,61.90,,67.39,64.86,68.13,59.51,,63.18,75.51,77.92,63.19,,,,,,,,,,,,,,,,,0,0
