time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-05 05:45:00",0,0,0,76.36,79.34,81.29,76.36,,,,,,,64.04,66.74,74.72,59.73,,62.80,62.65,66.54,57.57,,81.79,81.10,81.83,80.66,,,,,,,,,,,,,,,,,0,0
"2015-07-05 06:00:00",0,0,0,75.03,75.17,76.39,74.71,,,,,,,62.99,66.52,73.81,59.85,,63.49,62.49,64.87,57.41,,80.63,81.23,81.85,80.64,,,,,,,,,,,,,,,,,0,0
"2015-07-05 06:15:00",0,0,0,75.14,74.96,75.18,74.84,,,,,,,60.14,67.18,73.94,60.07,,66.09,63.08,66.20,57.43,,80.91,81.12,81.61,80.60,,,,,,,,,,,,,,,,,0,0
"2015-07-05 06:30:00",0,0,0,76.62,76.00,76.66,75.11,,,,,,,62.21,67.33,74.18,59.86,,58.61,62.96,66.54,57.60,,81.70,81.27,81.78,80.69,,,,,,,,,,,,,,,,,0,0
"2015-07-05 06:45:00",0,0,0,74.66,76.24,76.78,74.65,,,,,,,63.60,67.05,74.03,60.20,,62.48,62.26,65.68,57.79,,80.66,81.28,81.78,80.60,,,,,,,,,,,,,,,,,0,0
"2015-07-05 07:00:00",0,0,0,71.55,72.41,74.66,71.43,,,,,,,66.74,66.69,73.14,60.05,,64.60,62.40,64.67,57.48,,81.24,80.63,81.28,80.28,,,,,,,,,,,,,,,,,0,0
"2015-07-05 07:15:00",0,0,0,70.87,71.52,71.91,70.75,,,,,,,72.56,65.87,72.51,59.58,,65.94,63.33,65.98,57.56,,80.10,80.55,81.35,80.05,,,,,,,,,,,,,,,,,0,0
"2015-07-05 07:30:00",0,0,0,70.72,70.47,70.84,70.21,,,,,,,71.23,66.00,72.80,59.73,,58.79,62.62,66.09,57.59,,80.72,80.47,81.12,79.99,,,,,,,,,,,,,,,,,0,0
"2015-07-05 07:45:00",0,0,0,70.28,70.46,70.74,70.20,,,,,,,68.66,66.22,72.95,59.75,,61.72,62.14,65.79,57.52,,79.92,80.24,80.72,79.87,,,,,,,,,,,,,,,,,0,0
"2015-07-05 08:00:00",0,0,0,69.64,69.95,70.31,69.59,,,,,,,67.27,66.26,72.78,59.53,,63.71,62.71,66.07,57.48,,79.25,79.90,80.21,79.13,,,,,,,,,,,,,,,,,0,0
"2015-07-05 08:15:00",0,0,0,69.06,69.36,69.69,69.03,,,,,,,64.95,66.82,73.00,59.62,,64.92,62.91,65.81,57.54,,79.50,79.45,79.55,79.19,,,,,,,,,,,,,,,,,0,0
"2015-07-05 08:30:00",0,0,0,68.64,68.90,69.15,68.60,,,,,,,59.57,66.77,71.96,59.46,,61.37,62.97,65.91,57.48,,79.81,79.87,80.21,79.48,,,,,,,,,,,,,,,,,0,0
"2015-07-05 08:45:00",0,0,0,68.14,68.37,68.70,68.10,,,,,,,72.71,67.68,72.89,59.53,,60.46,62.04,65.85,57.46,,79.40,79.22,79.86,79.02,,,,,,,,,,,,,,,,,0,0
"2015-07-05 09:00:00",0,0,0,67.84,67.98,68.21,67.79,,,,,,,70.11,65.83,72.77,59.69,,62.81,62.43,65.52,57.41,,79.09,79.41,79.72,79.06,,,,,,,,,,,,,,,,,0,0
