time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-05 09:15:00",0,0,0,67.68,67.73,67.88,67.62,,,,,,,67.37,66.19,72.49,59.42,,64.22,62.83,66.10,57.52,,78.98,79.05,79.20,78.94,,,,,,,,,,,,,,,,,0,0
"2015-07-05 09:30:00",0,0,0,67.63,67.65,67.73,67.58,,,,,,,64.71,66.77,72.58,59.43,,65.51,63.01,65.71,57.46,,78.85,79.39,79.78,78.81,,,,,,,,,,,,,,,,,0,0
"2015-07-05 09:45:00",0,0,0,67.17,67.38,67.67,67.14,,,,,,,63.04,67.91,72.09,63.05,,59.54,62.73,65.86,57.40,,78.67,78.79,78.92,78.63,,,,,,,,,,,,,,,,,0,0
"2015-07-05 10:00:00",0,0,0,66.98,67.11,67.23,66.93,,,,,,,71.44,66.06,71.54,59.42,,60.80,62.04,65.83,57.40,,79.01,79.09,79.51,78.61,,,,,,,,,,,,,,,,,0,0
"2015-07-05 10:15:00",0,0,0,65.78,66.51,67.02,65.74,,,,,,,67.48,66.21,72.53,59.53,,62.63,62.56,65.86,57.44,,78.56,78.73,79.08,78.49,,,,,,,,,,,,,,,,,0,0
"2015-07-05 10:30:00",0,0,0,64.74,65.19,65.83,64.71,,,,,,,63.67,67.10,72.12,59.49,,63.93,62.70,65.92,57.31,,79.06,78.69,79.37,78.33,,,,,,,,,,,,,,,,,0,0
"2015-07-05 10:45:00",0,0,0,64.60,64.65,64.82,64.53,,,,,,,71.86,68.00,71.88,63.67,,65.15,62.82,65.46,57.34,,78.29,78.44,79.10,78.22,,,,,,,,,,,,,,,,,0,0
"2015-07-05 11:00:00",0,0,0,64.71,64.59,64.75,64.46,,,,,,,68.25,65.30,71.83,59.15,,63.46,62.96,65.83,57.48,,78.22,78.21,78.42,78.07,,,,,,,,,,,,,,,,,0,0
"2015-07-05 11:15:00",0,0,0,65.14,64.90,65.20,64.64,,,,,,,65.71,66.77,71.98,59.37,,57.78,62.48,66.04,57.32,,74.80,76.14,78.26,74.78,,,,,,,,,,,,,,,,,0,0
"2015-07-05 11:30:00",0,0,0,64.95,65.04,65.19,64.88,,,,,,,72.00,68.67,71.98,65.71,,61.04,62.30,66.00,57.33,,73.85,74.26,74.83,73.82,,,,,,,,,,,,,,,,,0,0
"2015-07-05 11:45:00",0,0,0,65.27,65.18,65.37,64.91,,,,,,,68.88,65.96,72.07,60.01,,62.83,62.56,65.67,57.43,,73.23,73.48,73.92,73.20,,,,,,,,,,,,,,,,,0,0
"2015-07-05 12:00:00",0,0,0,65.21,65.22,65.33,65.14,,,,,,,66.63,66.58,71.90,59.53,,64.01,62.80,65.98,57.44,,72.76,73.01,73.27,72.76,,,,,,,,,,,,,,,,,0,0
"2015-07-05 12:15:00",0,0,0,65.42,65.33,65.46,65.17,,,,,,,63.46,68.62,71.91,63.46,,65.49,63.01,65.53,57.43,,74.18,73.73,74.78,72.70,,,,,,,,,,,,,,,,,0,0
"2015-07-05 12:30:00",0,0,0,65.59,65.50,65.65,65.37,,,,,,,69.58,65.65,69.66,59.40,,64.89,63.14,65.96,57.49,,74.61,73.86,74.70,73.25,,,,,,,,,,,,,,,,,0,0
