time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-05 16:15:00",0,0,0,72.31,71.57,72.33,70.93,,,,,,,67.30,69.77,73.07,66.98,,62.77,62.90,66.04,58.21,,75.38,75.61,76.06,74.54,,,,,,,,,,,,,,,,,0,0
"2015-07-05 16:30:00",0,0,0,75.04,73.63,75.06,72.27,,,,,,,71.23,66.57,71.21,60.70,,64.12,63.21,65.83,58.43,,75.98,75.23,76.01,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-05 16:45:00",0,0,0,77.02,75.88,77.06,75.02,,,,,,,69.48,67.22,73.46,61.17,,64.96,63.46,66.37,58.67,,75.57,75.29,76.06,74.53,,,,,,,,,,,,,,,,,0,0
"2015-07-05 17:00:00",0,0,0,78.99,77.83,79.02,76.88,,,,,,,67.34,67.73,73.80,61.29,,65.74,63.68,66.05,58.67,,74.84,75.55,76.05,74.72,,,,,,,,,,,,,,,,,0,0
"2015-07-05 17:15:00",0,0,0,78.39,79.65,80.39,78.30,,,,,,,61.74,68.61,73.80,61.66,,59.98,63.37,66.47,58.74,,75.42,75.79,76.22,74.86,,,,,,,,,,,,,,,,,0,0
"2015-07-05 17:30:00",0,0,0,77.62,78.22,78.84,77.47,,,,,,,69.29,69.15,74.13,61.49,,62.29,63.02,66.22,58.96,,76.24,75.61,76.31,74.90,,,,,,,,,,,,,,,,,0,0
"2015-07-05 17:45:00",0,0,0,75.98,76.82,77.62,75.92,,,,,,,71.38,66.86,71.40,61.26,,63.67,63.33,66.13,58.77,,76.19,75.66,76.28,74.97,,,,,,,,,,,,,,,,,0,0
"2015-07-05 18:00:00",0,0,0,75.74,76.10,76.38,75.70,,,,,,,69.65,67.20,73.58,61.27,,64.83,63.60,66.54,58.82,,75.93,75.92,76.45,75.24,,,,,,,,,,,,,,,,,0,0
"2015-07-05 18:15:00",0,0,0,76.38,75.52,76.42,75.01,,,,,,,68.55,67.45,73.65,61.38,,65.77,63.67,66.13,58.84,,75.35,76.15,76.56,75.35,,,,,,,,,,,,,,,,,0,0
"2015-07-05 18:30:00",0,0,0,77.28,76.43,77.33,75.82,,,,,,,64.24,67.81,73.45,61.40,,61.38,63.74,66.43,58.97,,76.42,76.00,76.63,75.12,,,,,,,,,,,,,,,,,0,0
"2015-07-05 18:45:00",0,0,0,76.50,76.84,77.48,76.24,,,,,,,62.81,68.64,73.22,62.77,,61.87,63.08,66.57,58.81,,76.46,75.80,76.51,75.23,,,,,,,,,,,,,,,,,0,0
"2015-07-05 19:00:00",0,0,0,78.53,77.32,78.74,76.33,,,,,,,74.59,67.91,74.72,61.02,,63.52,62.67,64.53,58.84,,75.68,76.11,76.72,75.32,,,,,,,,,,,,,,,,,0,0
"2015-07-05 19:15:00",0,0,0,80.88,79.98,81.01,78.54,,,,,,,72.13,67.69,74.76,62.27,,65.21,63.80,66.25,59.43,,76.02,76.43,76.83,75.63,,,,,,,,,,,,,,,,,0,0
"2015-07-05 19:30:00",0,0,0,82.14,82.09,83.06,80.90,,,,,,,71.21,67.74,74.03,62.15,,64.73,63.78,66.62,59.30,,76.79,76.00,76.77,75.43,,,,,,,,,,,,,,,,,0,0
