time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-05 19:45:00",0,0,0,84.08,82.88,84.10,81.93,,,,,,,70.57,67.91,74.09,62.30,,61.92,63.57,66.07,59.18,,75.82,76.39,76.99,75.74,,,,,,,,,,,,,,,,,0,0
"2015-07-05 20:00:00",0,0,0,84.80,84.16,84.85,83.73,,,,,,,70.35,67.88,74.11,62.60,,62.71,63.39,66.63,59.53,,76.79,76.76,77.29,75.81,,,,,,,,,,,,,,,,,0,0
"2015-07-05 20:15:00",0,0,0,88.13,86.45,88.52,84.80,,,,,,,69.78,68.00,73.79,62.71,,64.27,64.03,66.99,59.92,,76.69,76.25,76.84,75.84,,,,,,,,,,,,,,,,,0,0
"2015-07-05 20:30:00",0,0,0,87.32,87.35,88.56,85.92,,,,,,,69.32,67.92,73.48,62.60,,64.77,63.69,65.47,59.81,,76.80,77.22,77.63,76.68,,,,,,,,,,,,,,,,,0,0
"2015-07-05 20:45:00",0,0,0,89.26,88.87,89.68,87.27,,,,,,,68.85,68.28,73.87,63.38,,64.85,64.06,65.90,59.98,,77.17,76.60,77.20,76.36,,,,,,,,,,,,,,,,,0,0
"2015-07-05 21:00:00",0,0,0,85.77,87.94,89.88,85.56,,,,,,,66.83,67.89,73.60,62.64,,60.61,63.95,66.96,60.10,,77.24,77.76,78.26,77.16,,,,,,,,,,,,,,,,,0,0
"2015-07-05 21:15:00",0,0,0,86.36,86.21,86.96,85.65,,,,,,,66.51,67.83,73.38,62.87,,63.99,63.63,65.95,60.12,,76.89,76.94,77.28,76.79,,,,,,,,,,,,,,,,,0,0
"2015-07-05 21:30:00",0,0,0,85.27,85.83,86.54,85.25,,,,,,,67.56,67.38,72.77,62.42,,64.77,63.90,65.91,59.96,,78.07,77.95,78.55,76.89,,,,,,,,,,,,,,,,,0,0
"2015-07-05 21:45:00",0,0,0,85.24,85.28,85.95,84.70,,,,,,,67.62,67.53,72.66,62.60,,65.59,64.01,65.81,59.91,,76.75,77.17,78.12,76.70,,,,,,,,,,,,,,,,,0,0
"2015-07-05 22:00:00",0,0,0,84.97,85.08,85.46,84.77,,,,,,,66.28,67.40,72.75,62.23,,60.82,63.83,66.33,60.04,,78.27,78.21,78.97,76.70,,,,,,,,,,,,,,,,,0,0
"2015-07-05 22:15:00",0,0,0,87.55,85.66,87.57,84.94,,,,,,,66.83,67.28,72.31,62.48,,63.65,63.27,65.67,59.90,,76.70,77.24,78.27,76.66,,,,,,,,,,,,,,,,,0,0
"2015-07-05 22:30:00",0,0,0,91.90,89.80,91.98,87.54,,,,,,,67.61,67.81,73.26,63.10,,65.00,63.84,65.65,60.12,,78.18,77.89,78.63,76.69,,,,,,,,,,,,,,,,,0,0
"2015-07-05 22:45:00",0,0,0,97.99,93.25,98.00,91.13,,,,,,,67.68,67.78,73.11,63.32,,65.67,64.03,65.75,60.08,,76.90,77.34,78.25,76.86,,,,,,,,,,,,,,,,,0,0
"2015-07-05 23:00:00",0,0,0,96.79,98.41,100.23,96.75,,,,,,,66.15,67.79,73.58,63.03,,61.65,63.92,66.04,60.31,,79.10,77.70,79.11,76.86,,,,,,,,,,,,,,,,,0,0
"2015-07-05 23:15:00",0,0,0,91.61,94.06,96.89,90.81,,,,,,,66.09,67.07,72.70,62.17,,63.67,63.36,65.89,60.04,,77.58,78.40,79.16,77.57,,,,,,,,,,,,,,,,,0,0
