time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-05 23:30:00",0,0,0,85.39,88.06,91.62,85.36,,,,,,,67.70,66.86,72.01,62.18,,65.00,63.82,65.75,60.13,,78.61,77.54,78.60,77.10,,,,,,,,,,,,,,,,,0,0
"2015-07-05 23:45:00",0,0,0,78.74,81.81,85.46,78.71,,,,,,,67.92,66.58,71.79,61.49,,65.49,64.03,65.89,59.85,,77.39,78.74,79.65,77.38,,,,,,,,,,,,,,,,,0,0
"2015-07-06 00:00:00",0,0,0,69.78,75.09,78.68,69.77,,,,,,,67.31,66.14,71.15,60.55,,60.52,63.38,65.73,59.43,,79.09,77.69,79.17,76.74,,,,,,,,,,,,,,,,,0,0
"2015-07-06 00:15:00",0,0,0,66.92,67.59,69.90,66.84,,,,,,,66.26,65.60,70.09,59.60,,62.72,62.64,65.78,58.81,,78.40,78.18,79.20,76.93,,,,,,,,,,,,,,,,,0,0
"2015-07-06 00:30:00",0,0,0,69.71,67.79,69.71,66.85,,,,,,,65.82,65.93,69.94,60.08,,63.71,62.76,64.79,58.61,,76.72,78.53,79.65,76.73,,,,,,,,,,,,,,,,,0,0
"2015-07-06 00:45:00",0,0,0,73.39,71.60,73.43,69.68,,,,,,,63.49,66.43,70.55,60.38,,66.20,63.38,66.43,58.67,,77.26,77.83,78.41,76.60,,,,,,,,,,,,,,,,,0,0
"2015-07-06 01:00:00",0,0,0,80.54,77.53,81.81,73.42,,,,,,,60.54,66.63,70.58,60.55,,59.22,62.71,66.18,58.74,,77.79,76.91,77.87,76.28,,,,,,,,,,,,,,,,,0,0
"2015-07-06 01:15:00",0,0,0,81.17,79.18,81.20,78.22,,,,,,,61.50,66.80,70.64,60.45,,62.87,62.58,65.42,58.67,,77.26,76.91,77.97,76.05,,,,,,,,,,,,,,,,,0,0
"2015-07-06 01:30:00",0,0,0,84.11,82.98,84.10,81.19,,,,,,,63.74,66.77,70.94,60.33,,65.03,63.00,65.10,58.68,,76.43,77.37,78.07,76.38,,,,,,,,,,,,,,,,,0,0
"2015-07-06 01:45:00",0,0,0,77.14,80.91,84.27,77.07,,,,,,,64.71,66.22,70.35,60.55,,64.67,63.67,66.29,58.85,,76.85,77.12,77.79,76.40,,,,,,,,,,,,,,,,,0,0
"2015-07-06 02:00:00",0,0,0,74.49,75.66,77.14,74.45,,,,,,,70.74,66.12,70.80,60.21,,58.60,62.26,64.71,58.42,,77.78,76.86,77.92,76.29,,,,,,,,,,,,,,,,,0,0
"2015-07-06 02:15:00",0,0,0,72.63,73.53,74.53,72.64,,,,,,,69.41,65.82,70.84,60.12,,62.93,62.38,64.77,58.07,,77.19,76.87,77.84,76.15,,,,,,,,,,,,,,,,,0,0
"2015-07-06 02:30:00",0,0,0,71.46,71.99,72.70,71.38,,,,,,,68.11,65.82,70.86,59.89,,64.32,63.08,65.93,58.22,,76.95,76.92,77.80,76.05,,,,,,,,,,,,,,,,,0,0
"2015-07-06 02:45:00",0,0,0,71.06,71.13,71.49,70.89,,,,,,,66.87,66.29,71.16,60.02,,64.77,63.18,65.81,58.09,,76.22,77.29,77.74,76.22,,,,,,,,,,,,,,,,,0,0
