time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-06 03:00:00",0,0,0,69.97,70.53,71.01,69.90,,,,,,,60.39,66.97,71.23,59.80,,58.22,62.52,66.22,57.93,,78.24,77.08,78.26,75.79,,,,,,,,,,,,,,,,,0,0
"2015-07-06 03:15:00",0,0,0,69.16,69.54,69.97,69.09,,,,,,,70.91,67.54,71.38,60.39,,62.41,62.36,65.82,57.80,,78.36,78.20,78.46,78.03,,,,,,,,,,,,,,,,,0,0
"2015-07-06 03:30:00",0,0,0,68.55,68.84,69.19,68.53,,,,,,,68.73,65.70,70.87,59.90,,64.29,62.80,65.68,57.75,,78.55,78.51,78.60,78.35,,,,,,,,,,,,,,,,,0,0
"2015-07-06 03:45:00",0,0,0,67.82,68.13,68.64,67.72,,,,,,,67.15,65.95,71.23,59.45,,65.01,62.95,65.91,57.73,,78.40,78.44,78.61,78.26,,,,,,,,,,,,,,,,,0,0
"2015-07-06 04:00:00",0,0,0,67.53,67.61,67.79,67.45,,,,,,,60.26,67.14,71.54,59.49,,60.17,62.84,65.89,57.55,,78.41,78.40,78.49,78.31,,,,,,,,,,,,,,,,,0,0
"2015-07-06 04:15:00",0,0,0,66.55,67.03,67.53,66.51,,,,,,,71.30,67.25,71.35,60.30,,61.11,61.98,65.78,57.52,,78.22,78.30,78.43,78.15,,,,,,,,,,,,,,,,,0,0
"2015-07-06 04:30:00",0,0,0,66.30,66.38,66.59,66.28,,,,,,,67.49,65.68,71.79,59.39,,62.93,62.45,65.57,57.48,,78.14,78.19,78.28,78.12,,,,,,,,,,,,,,,,,0,0
"2015-07-06 04:45:00",0,0,0,65.96,66.10,66.36,65.89,,,,,,,61.09,67.74,72.07,59.67,,64.34,62.70,65.55,57.46,,77.88,78.06,78.18,77.81,,,,,,,,,,,,,,,,,0,0
"2015-07-06 05:00:00",0,0,0,66.32,66.07,66.34,65.89,,,,,,,71.69,67.47,71.71,61.09,,65.65,62.89,65.65,57.40,,77.64,77.81,77.96,77.63,,,,,,,,,,,,,,,,,0,0
"2015-07-06 05:15:00",0,0,0,66.75,66.50,66.76,66.25,,,,,,,67.46,66.00,72.15,59.53,,58.67,62.36,65.71,57.47,,77.49,77.57,77.73,77.38,,,,,,,,,,,,,,,,,0,0
"2015-07-06 05:30:00",0,0,0,66.97,66.91,67.02,66.69,,,,,,,62.11,67.60,72.17,59.62,,61.10,62.12,65.82,57.59,,77.46,77.43,77.56,77.25,,,,,,,,,,,,,,,,,0,0
"2015-07-06 05:45:00",0,0,0,67.32,67.14,67.39,66.95,,,,,,,71.79,67.69,71.84,62.15,,63.15,62.39,65.49,57.48,,77.24,77.36,77.57,77.17,,,,,,,,,,,,,,,,,0,0
"2015-07-06 06:00:00",0,0,0,67.55,67.47,67.58,67.31,,,,,,,67.46,65.96,72.20,59.53,,64.44,62.76,65.73,57.43,,77.12,77.18,77.29,77.07,,,,,,,,,,,,,,,,,0,0
"2015-07-06 06:15:00",0,0,0,67.67,67.59,67.68,67.49,,,,,,,61.01,69.16,72.34,60.98,,65.76,63.08,65.73,57.57,,77.30,77.16,77.34,77.06,,,,,,,,,,,,,,,,,0,0
