time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-06 10:00:00",0,0,0,62.32,62.48,62.81,62.25,,,,,,,70.43,67.56,70.53,64.77,,60.51,62.00,65.47,57.15,,76.01,76.06,76.16,75.96,,,,,,,,,,,,,,,,,0,0
"2015-07-06 10:15:00",0,0,0,62.71,62.51,62.76,62.29,,,,,,,65.54,66.56,71.06,59.08,,61.70,62.38,65.69,57.18,,75.93,75.98,76.10,75.88,,,,,,,,,,,,,,,,,0,0
"2015-07-06 10:30:00",0,0,0,62.66,62.61,62.77,62.46,,,,,,,70.43,67.84,70.50,65.53,,63.09,62.32,65.22,57.11,,75.83,75.87,75.95,75.79,,,,,,,,,,,,,,,,,0,0
"2015-07-06 10:45:00",0,0,0,62.49,62.54,62.73,62.37,,,,,,,61.63,67.82,71.05,59.11,,63.83,62.67,65.60,57.15,,75.74,75.77,75.84,75.70,,,,,,,,,,,,,,,,,0,0
"2015-07-06 11:00:00",0,0,0,63.38,62.99,63.44,62.44,,,,,,,69.99,66.68,69.99,61.63,,64.48,62.42,65.18,57.03,,75.60,75.68,75.76,75.59,,,,,,,,,,,,,,,,,0,0
"2015-07-06 11:15:00",0,0,0,63.29,63.37,63.50,63.23,,,,,,,64.43,70.21,70.94,64.45,,65.43,62.81,65.53,57.05,,73.03,74.77,75.66,72.98,,,,,,,,,,,,,,,,,0,0
"2015-07-06 11:30:00",0,0,0,62.74,63.05,63.34,62.72,,,,,,,68.85,65.00,68.86,59.10,,65.36,62.83,65.78,57.24,,70.99,71.77,73.03,70.95,,,,,,,,,,,,,,,,,0,0
"2015-07-06 11:45:00",0,0,0,62.47,62.66,62.88,62.39,,,,,,,70.72,70.30,70.80,68.80,,59.71,62.79,65.92,57.36,,70.15,70.58,71.02,70.10,,,,,,,,,,,,,,,,,0,0
"2015-07-06 12:00:00",0,0,0,62.24,62.31,62.54,62.11,,,,,,,66.36,65.54,70.93,58.81,,58.66,62.02,65.32,57.22,,70.10,70.38,70.95,69.93,,,,,,,,,,,,,,,,,0,0
"2015-07-06 12:15:00",0,0,0,62.56,62.35,62.60,62.16,,,,,,,70.53,68.93,70.58,66.31,,60.63,62.24,65.43,57.23,,72.64,71.16,72.67,69.89,,,,,,,,,,,,,,,,,0,0
"2015-07-06 12:30:00",0,0,0,62.95,62.76,62.97,62.43,,,,,,,64.41,67.32,70.81,59.54,,61.82,62.55,65.86,57.23,,72.68,72.49,73.11,71.62,,,,,,,,,,,,,,,,,0,0
"2015-07-06 12:45:00",0,0,0,63.17,63.00,63.21,62.83,,,,,,,70.48,67.49,70.50,64.43,,62.99,62.38,65.36,57.09,,73.61,73.46,74.06,72.67,,,,,,,,,,,,,,,,,0,0
"2015-07-06 13:00:00",0,0,0,64.28,63.58,64.28,63.05,,,,,,,66.71,70.78,71.32,66.70,,63.67,62.88,66.21,57.32,,64.62,64.27,73.60,55.97,,,,,,,,,,,,,,,,,0,0
"2015-07-06 13:15:00",0,0,0,65.93,65.08,65.96,64.18,,,,,,,68.85,64.98,68.93,58.97,,64.18,62.73,65.38,57.29,,70.60,67.85,70.79,64.59,,,,,,,,,,,,,,,,,0,0
"2015-07-06 13:30:00",0,0,0,66.83,66.43,66.88,65.86,,,,,,,71.63,70.98,71.71,68.88,,64.79,62.83,65.75,57.35,,72.30,71.24,72.35,70.51,,,,,,,,,,,,,,,,,0,0
