time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-06 13:45:00",0,0,0,68.08,67.34,68.11,66.73,,,,,,,67.63,65.86,71.79,59.59,,64.66,62.84,66.04,57.41,,72.63,72.26,72.69,71.77,,,,,,,,,,,,,,,,,0,0
"2015-07-06 14:00:00",0,0,0,69.29,68.76,69.39,67.96,,,,,,,72.26,71.15,72.32,67.64,,65.69,63.12,65.79,57.57,,72.51,72.87,73.41,72.18,,,,,,,,,,,,,,,,,0,0
"2015-07-06 14:15:00",0,0,0,69.73,69.26,69.84,68.88,,,,,,,67.70,66.01,72.47,59.70,,65.62,63.04,66.12,57.74,,73.39,73.38,73.84,72.47,,,,,,,,,,,,,,,,,0,0
"2015-07-06 14:30:00",0,0,0,73.23,71.07,73.28,69.63,,,,,,,73.09,71.50,73.21,67.63,,61.86,63.02,66.08,57.52,,73.87,73.34,73.92,72.56,,,,,,,,,,,,,,,,,0,0
"2015-07-06 14:45:00",0,0,0,78.40,76.27,78.48,73.23,,,,,,,71.33,66.83,73.23,60.95,,58.80,62.77,65.79,58.10,,73.43,73.55,74.11,72.91,,,,,,,,,,,,,,,,,0,0
"2015-07-06 15:00:00",0,0,0,81.48,79.81,81.48,78.32,,,,,,,64.29,69.95,74.42,61.23,,61.31,63.04,66.31,58.27,,73.63,74.04,74.53,73.48,,,,,,,,,,,,,,,,,0,0
"2015-07-06 15:15:00",0,0,0,81.24,81.56,81.81,81.17,,,,,,,74.21,70.06,74.25,64.32,,62.72,63.16,65.98,58.61,,74.75,73.88,74.77,73.31,,,,,,,,,,,,,,,,,0,0
"2015-07-06 15:30:00",0,0,0,80.49,80.66,81.24,80.36,,,,,,,69.43,67.25,74.51,61.10,,64.03,63.63,66.36,58.85,,67.12,74.02,74.79,67.16,,,,,,,,,,,,,,,,,0,0
"2015-07-06 15:45:00",0,0,0,80.87,80.57,80.91,80.39,,,,,,,64.43,69.81,74.81,61.82,,64.19,63.81,66.71,58.89,,70.55,67.01,71.30,59.40,,,,,,,,,,,,,,,,,0,0
"2015-07-06 16:00:00",0,0,0,80.66,80.91,81.16,80.60,,,,,,,75.03,70.93,75.05,64.44,,65.71,63.63,65.86,58.83,,74.00,72.38,74.19,70.51,,,,,,,,,,,,,,,,,0,0
"2015-07-06 16:15:00",0,0,0,80.13,80.25,80.67,80.00,,,,,,,72.75,67.33,74.96,61.50,,66.32,63.98,66.54,58.96,,75.25,74.28,75.39,73.54,,,,,,,,,,,,,,,,,0,0
"2015-07-06 16:30:00",0,0,0,81.60,80.78,81.65,80.05,,,,,,,69.08,69.26,75.75,62.30,,62.50,64.03,66.49,59.29,,74.79,74.69,75.30,74.26,,,,,,,,,,,,,,,,,0,0
"2015-07-06 16:45:00",0,0,0,81.97,81.84,82.10,81.52,,,,,,,66.05,69.27,75.59,62.33,,60.23,63.56,66.88,59.31,,60.94,73.17,75.69,60.92,,,,,,,,,,,,,,,,,0,0
"2015-07-06 17:00:00",0,0,0,82.12,82.14,82.41,81.90,,,,,,,63.50,70.42,75.61,63.50,,63.08,63.66,66.68,59.38,,74.24,67.77,74.30,58.70,,,,,,,,,,,,,,,,,0,0
