time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-06 17:15:00",0,0,0,82.00,81.98,82.16,81.79,,,,,,,73.84,69.52,76.17,62.05,,64.97,63.82,66.22,59.67,,75.32,74.51,75.39,74.11,,,,,,,,,,,,,,,,,0,0
"2015-07-06 17:30:00",0,0,0,82.70,82.03,82.71,81.69,,,,,,,74.89,68.18,74.89,62.29,,66.36,64.37,66.67,59.84,,75.01,75.27,75.69,74.79,,,,,,,,,,,,,,,,,0,0
"2015-07-06 17:45:00",0,0,0,84.37,83.80,84.45,82.65,,,,,,,74.67,69.08,75.75,63.24,,66.22,64.62,67.13,60.21,,76.09,75.35,76.10,74.89,,,,,,,,,,,,,,,,,0,0
"2015-07-06 18:00:00",0,0,0,85.41,85.12,85.54,84.33,,,,,,,72.03,68.77,76.45,62.77,,61.21,64.30,67.25,60.35,,65.08,68.73,76.22,58.76,,,,,,,,,,,,,,,,,0,0
"2015-07-06 18:15:00",0,0,0,85.18,85.14,85.44,84.93,,,,,,,71.20,68.49,75.86,62.47,,63.49,63.73,66.13,60.16,,74.72,70.26,74.77,65.15,,,,,,,,,,,,,,,,,0,0
"2015-07-06 18:30:00",0,0,0,85.88,85.49,85.91,85.09,,,,,,,71.06,68.13,74.83,62.33,,65.03,64.33,67.09,60.15,,75.76,75.51,75.91,74.70,,,,,,,,,,,,,,,,,0,0
"2015-07-06 18:45:00",0,0,0,87.00,86.54,87.05,85.85,,,,,,,71.30,68.91,74.98,63.54,,65.44,64.24,65.91,60.39,,76.41,76.09,76.58,75.54,,,,,,,,,,,,,,,,,0,0
"2015-07-06 19:00:00",0,0,0,87.37,87.73,88.11,86.99,,,,,,,71.18,69.08,75.34,63.64,,62.77,64.33,66.18,60.46,,71.28,67.64,76.46,59.72,,,,,,,,,,,,,,,,,0,0
"2015-07-06 19:15:00",0,0,0,87.79,87.59,88.04,87.00,,,,,,,69.80,68.93,75.92,62.89,,63.04,63.96,66.96,60.54,,76.15,73.40,76.24,70.91,,,,,,,,,,,,,,,,,0,0
"2015-07-06 19:30:00",0,0,0,88.62,88.13,88.75,87.45,,,,,,,69.93,68.41,74.70,62.96,,64.97,64.47,67.21,60.71,,76.29,76.27,76.39,76.10,,,,,,,,,,,,,,,,,0,0
"2015-07-06 19:45:00",0,0,0,91.02,90.18,91.23,88.51,,,,,,,70.80,68.63,74.48,63.18,,65.53,64.38,66.21,60.84,,72.11,68.61,76.39,60.50,,,,,,,,,,,,,,,,,0,0
"2015-07-06 20:00:00",0,0,0,92.40,92.02,92.68,90.97,,,,,,,69.87,68.86,76.10,63.45,,64.13,64.56,66.38,60.93,,77.15,75.42,77.19,72.06,,,,,,,,,,,,,,,,,0,0
"2015-07-06 20:15:00",0,0,0,92.56,92.52,93.06,91.97,,,,,,,68.53,68.30,74.80,63.08,,61.11,64.11,66.78,60.96,,60.82,73.75,77.50,60.84,,,,,,,,,,,,,,,,,0,0
"2015-07-06 20:30:00",0,0,0,93.69,92.86,93.72,92.39,,,,,,,69.14,68.26,74.66,63.47,,64.95,64.35,66.80,60.90,,76.12,70.64,76.15,60.16,,,,,,,,,,,,,,,,,0,0
