time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-06 20:45:00",0,0,0,96.56,95.40,96.59,93.68,,,,,,,69.29,68.40,74.87,63.63,,66.05,64.75,66.85,61.26,,76.13,76.64,76.92,76.10,,,,,,,,,,,,,,,,,0,0
"2015-07-06 21:00:00",0,0,0,95.43,96.17,96.96,95.42,,,,,,,69.56,67.86,73.95,63.40,,66.57,65.02,67.73,61.22,,75.74,68.97,76.07,61.11,,,,,,,,,,,,,,,,,0,0
"2015-07-06 21:15:00",0,0,0,94.67,94.95,95.46,94.56,,,,,,,67.53,67.69,74.29,62.85,,62.32,64.48,66.78,61.02,,65.23,75.61,76.91,65.24,,,,,,,,,,,,,,,,,0,0
"2015-07-06 21:30:00",0,0,0,91.24,93.06,94.72,91.20,,,,,,,67.15,67.24,73.31,62.29,,62.78,63.59,66.43,60.32,,75.88,69.36,75.95,60.69,,,,,,,,,,,,,,,,,0,0
"2015-07-06 21:45:00",0,0,0,90.11,90.76,91.27,90.03,,,,,,,67.84,67.22,73.75,62.16,,65.16,63.95,66.25,60.01,,62.99,71.15,78.30,58.26,,,,,,,,,,,,,,,,,0,0
"2015-07-06 22:00:00",0,0,0,91.30,90.59,91.41,89.88,,,,,,,68.30,67.70,75.12,62.47,,65.52,64.14,66.23,60.04,,76.31,72.80,76.31,63.00,,,,,,,,,,,,,,,,,0,0
"2015-07-06 22:15:00",0,0,0,92.42,91.90,92.48,91.26,,,,,,,67.40,67.73,76.16,62.26,,63.01,64.50,67.33,60.08,,58.62,72.81,76.50,58.62,,,,,,,,,,,,,,,,,0,0
"2015-07-06 22:30:00",0,0,0,95.65,93.74,95.65,92.30,,,,,,,66.25,67.76,76.36,62.24,,61.16,63.51,66.56,59.78,,76.05,70.01,76.07,57.83,,,,,,,,,,,,,,,,,0,0
"2015-07-06 22:45:00",0,0,0,99.75,97.58,99.78,95.61,,,,,,,66.80,67.79,76.37,62.28,,65.83,64.20,66.64,60.06,,64.66,75.39,76.52,64.67,,,,,,,,,,,,,,,,,0,0
"2015-07-06 23:00:00",0,0,0,110.83,104.39,110.85,99.74,,,,,,,66.80,68.01,76.89,62.63,,66.38,65.18,67.90,60.48,,73.24,68.17,74.40,59.31,,,,,,,,,,,,,,,,,0,0
"2015-07-06 23:15:00",0,0,0,113.06,112.27,113.13,110.78,,,,,,,64.12,67.96,77.28,62.29,,65.36,65.22,67.77,60.62,,72.34,76.42,77.86,72.37,,,,,,,,,,,,,,,,,0,0
"2015-07-06 23:30:00",0,0,0,112.11,112.54,113.14,112.06,,,,,,,62.74,67.56,75.34,62.57,,60.80,64.49,67.78,60.46,,75.90,68.00,75.95,59.69,,,,,,,,,,,,,,,,,0,0
"2015-07-06 23:45:00",0,0,0,100.90,105.42,112.09,100.88,,,,,,,62.82,66.92,74.76,61.93,,65.84,64.39,67.53,60.13,,76.78,76.68,76.88,75.88,,,,,,,,,,,,,,,,,0,0
