time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-07 00:00:00",0,0,0,95.72,98.08,100.92,95.72,,,,,,,65.03,66.77,74.61,61.74,,66.21,65.05,68.52,59.88,,73.12,67.33,76.86,58.78,,,,,,,,,,,,,,,,,0,0
"2015-07-07 00:15:00",0,0,0,92.57,94.06,95.84,92.55,,,,,,,63.89,67.35,76.00,61.65,,65.32,64.77,67.18,59.74,,76.46,75.99,76.58,73.16,,,,,,,,,,,,,,,,,0,0
"2015-07-07 00:30:00",0,0,0,90.26,91.33,92.63,90.18,,,,,,,62.81,67.17,75.42,61.23,,59.73,64.19,67.88,59.53,,70.70,67.39,76.49,58.19,,,,,,,,,,,,,,,,,0,0
"2015-07-07 00:45:00",0,0,0,87.91,89.13,90.27,87.83,,,,,,,62.21,67.29,75.63,61.10,,64.48,63.53,66.38,59.12,,75.08,73.96,75.11,70.70,,,,,,,,,,,,,,,,,0,0
"2015-07-07 01:00:00",0,0,0,84.12,85.52,87.88,84.03,,,,,,,62.64,66.95,75.08,60.48,,66.41,63.84,66.47,58.76,,59.76,73.89,76.69,59.77,,,,,,,,,,,,,,,,,0,0
"2015-07-07 01:15:00",0,0,0,82.26,83.05,84.08,82.21,,,,,,,60.16,67.34,75.27,60.15,,63.38,64.27,67.24,58.48,,74.43,66.88,74.53,55.64,,,,,,,,,,,,,,,,,0,0
"2015-07-07 01:30:00",0,0,0,81.71,81.77,82.28,81.55,,,,,,,60.30,67.01,74.98,60.21,,60.61,62.47,66.13,58.28,,75.40,75.70,76.36,74.42,,,,,,,,,,,,,,,,,0,0
"2015-07-07 01:45:00",0,0,0,80.75,81.27,81.76,80.70,,,,,,,61.08,67.71,75.52,60.15,,64.85,63.04,65.40,58.20,,55.52,70.62,75.46,55.53,,,,,,,,,,,,,,,,,0,0
"2015-07-07 02:00:00",0,0,0,80.04,80.30,80.78,79.97,,,,,,,63.23,68.06,75.42,60.10,,66.53,63.88,66.64,57.90,,48.41,49.75,55.49,48.41,,,,,,,,,,,,,,,,,0,0
"2015-07-07 02:15:00",0,0,0,78.74,79.44,80.08,78.66,,,,,,,63.68,67.36,75.15,60.05,,64.40,63.93,67.16,57.64,,47.33,47.83,48.46,47.30,,,,,,,,,,,,,,,,,0,0
"2015-07-07 02:30:00",0,0,0,78.05,78.31,78.74,78.04,,,,,,,67.58,67.40,75.34,59.28,,57.57,62.35,65.45,57.32,,63.54,50.66,63.57,46.91,,,,,,,,,,,,,,,,,0,0
"2015-07-07 02:45:00",0,0,0,77.00,77.68,78.14,77.00,,,,,,,74.98,67.34,75.03,59.52,,64.17,62.81,66.59,57.40,,46.74,51.53,63.72,46.71,,,,,,,,,,,,,,,,,0,0
"2015-07-07 03:00:00",0,0,0,75.74,76.40,77.09,75.71,,,,,,,73.52,66.46,75.12,59.03,,65.35,63.64,66.83,57.20,,52.35,55.72,61.43,46.48,,,,,,,,,,,,,,,,,0,0
"2015-07-07 03:15:00",0,0,0,71.34,74.09,75.79,71.32,,,,,,,71.91,66.63,74.45,59.06,,65.74,63.44,66.92,57.19,,61.10,52.01,61.44,46.79,,,,,,,,,,,,,,,,,0,0
