time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-07 03:30:00",0,0,0,68.37,69.43,71.36,68.28,,,,,,,67.96,66.77,73.93,59.00,,57.77,62.92,66.51,57.11,,49.08,52.02,61.80,46.34,,,,,,,,,,,,,,,,,0,0
"2015-07-07 03:45:00",0,0,0,67.36,67.34,68.35,66.88,,,,,,,64.61,67.31,73.65,58.85,,61.91,62.19,66.21,56.87,,49.34,57.22,61.87,49.11,,,,,,,,,,,,,,,,,0,0
"2015-07-07 04:00:00",0,0,0,68.22,67.86,68.42,67.27,,,,,,,60.59,68.67,73.46,60.60,,63.75,63.01,66.48,57.19,,59.29,52.05,59.32,46.26,,,,,,,,,,,,,,,,,0,0
"2015-07-07 04:15:00",0,0,0,68.69,68.35,68.80,68.03,,,,,,,73.16,67.15,73.28,58.81,,65.96,63.14,66.07,57.07,,46.48,54.87,62.19,46.49,,,,,,,,,,,,,,,,,0,0
"2015-07-07 04:30:00",0,0,0,68.55,68.63,68.80,68.46,,,,,,,71.76,65.64,73.19,58.61,,64.92,63.21,66.71,57.13,,62.18,56.79,62.17,46.44,,,,,,,,,,,,,,,,,0,0
"2015-07-07 04:45:00",0,0,0,68.61,68.51,68.77,68.38,,,,,,,66.24,67.07,73.31,59.18,,57.63,62.63,66.20,56.96,,57.72,51.93,62.19,46.28,,,,,,,,,,,,,,,,,0,0
"2015-07-07 05:00:00",0,0,0,68.48,68.70,68.87,68.41,,,,,,,59.90,67.83,73.05,58.87,,61.18,62.08,66.06,57.07,,47.13,56.65,61.69,47.14,,,,,,,,,,,,,,,,,0,0
"2015-07-07 05:15:00",0,0,0,68.01,68.02,68.58,67.84,,,,,,,72.83,68.09,72.94,59.96,,63.15,62.58,65.86,56.93,,61.36,56.75,61.96,46.27,,,,,,,,,,,,,,,,,0,0
"2015-07-07 05:30:00",0,0,0,67.41,67.73,68.10,67.41,,,,,,,70.60,65.67,73.04,58.79,,64.80,62.87,65.89,56.89,,55.33,54.41,62.75,46.50,,,,,,,,,,,,,,,,,0,0
"2015-07-07 05:45:00",0,0,0,67.46,67.47,67.57,67.36,,,,,,,65.55,66.79,72.94,58.59,,65.05,62.98,65.99,57.20,,63.54,62.45,64.12,55.38,,,,,,,,,,,,,,,,,0,0
"2015-07-07 06:00:00",0,0,0,67.07,67.32,67.47,67.03,,,,,,,65.00,69.61,72.68,64.98,,62.81,63.10,66.40,56.83,,62.75,54.01,63.72,46.35,,,,,,,,,,,,,,,,,0,0
"2015-07-07 06:15:00",0,0,0,66.63,66.76,67.10,66.57,,,,,,,71.88,65.95,71.96,58.99,,57.44,61.92,65.55,56.88,,49.81,60.93,63.11,49.81,,,,,,,,,,,,,,,,,0,0
"2015-07-07 06:30:00",0,0,0,67.31,66.87,67.33,66.61,,,,,,,66.04,66.61,72.87,58.80,,60.96,62.50,66.07,57.09,,63.65,56.19,65.45,46.40,,,,,,,,,,,,,,,,,0,0
