time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-07 06:45:00",0,0,0,66.91,67.11,67.34,66.85,,,,,,,71.21,70.63,72.78,66.00,,63.38,62.43,65.55,57.00,,47.15,57.50,63.83,46.48,,,,,,,,,,,,,,,,,0,0
"2015-07-07 07:00:00",0,0,0,66.85,66.87,66.96,66.77,,,,,,,71.06,65.39,71.20,58.71,,63.89,62.76,65.86,56.84,,63.70,60.56,65.71,47.21,,,,,,,,,,,,,,,,,0,0
"2015-07-07 07:15:00",0,0,0,66.83,66.81,66.89,66.73,,,,,,,65.30,67.23,72.56,59.01,,64.71,62.82,65.83,57.01,,55.10,55.05,64.04,46.59,,,,,,,,,,,,,,,,,0,0
"2015-07-07 07:30:00",0,0,0,66.76,66.86,66.96,66.73,,,,,,,72.22,69.62,72.31,65.22,,65.45,62.70,65.61,56.92,,59.67,62.44,66.72,55.08,,,,,,,,,,,,,,,,,0,0
"2015-07-07 07:45:00",0,0,0,66.80,66.80,66.87,66.73,,,,,,,70.84,65.91,72.36,59.27,,62.74,62.76,66.06,57.04,,57.29,53.11,59.62,46.83,,,,,,,,,,,,,,,,,0,0
"2015-07-07 08:00:00",0,0,0,66.73,66.77,66.86,66.66,,,,,,,64.15,67.39,72.29,58.68,,57.18,62.30,66.01,57.05,,46.96,59.64,68.01,46.89,,,,,,,,,,,,,,,,,0,0
"2015-07-07 08:15:00",0,0,0,67.00,66.84,67.07,66.69,,,,,,,72.10,68.63,72.22,64.14,,60.34,62.03,65.62,56.94,,60.26,55.51,60.26,46.65,,,,,,,,,,,,,,,,,0,0
"2015-07-07 08:30:00",0,0,0,66.36,66.67,67.09,66.33,,,,,,,67.78,65.94,72.32,58.90,,62.07,62.47,65.91,56.99,,54.36,56.55,67.84,46.56,,,,,,,,,,,,,,,,,0,0
"2015-07-07 08:45:00",0,0,0,66.36,66.31,66.43,66.16,,,,,,,65.57,71.03,72.44,65.60,,63.38,62.43,65.57,56.95,,61.72,58.02,61.74,54.43,,,,,,,,,,,,,,,,,0,0
"2015-07-07 09:00:00",0,0,0,66.42,66.43,66.56,66.29,,,,,,,71.42,66.01,71.51,59.30,,64.30,62.58,65.57,56.99,,55.89,54.83,65.21,46.86,,,,,,,,,,,,,,,,,0,0
"2015-07-07 09:15:00",0,0,0,66.22,66.24,66.46,66.10,,,,,,,64.51,67.73,72.41,59.27,,64.91,62.73,65.66,57.05,,54.62,59.15,62.28,54.69,,,,,,,,,,,,,,,,,0,0
"2015-07-07 09:30:00",0,0,0,65.90,66.11,66.28,65.86,,,,,,,72.00,68.95,72.05,64.43,,65.49,62.65,65.62,56.93,,59.51,54.41,59.50,46.91,,,,,,,,,,,,,,,,,0,0
"2015-07-07 09:45:00",0,0,0,65.81,65.86,66.06,65.74,,,,,,,67.78,65.61,72.15,58.60,,61.68,62.50,65.67,56.95,,47.55,57.62,62.81,46.96,,,,,,,,,,,,,,,,,0,0
"2015-07-07 10:00:00",0,0,0,65.70,65.85,65.96,65.67,,,,,,,63.50,70.38,71.88,63.60,,56.94,62.13,65.65,56.84,,63.51,60.22,65.53,47.61,,,,,,,,,,,,,,,,,0,0
