time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-07 10:15:00",0,0,0,65.25,65.45,65.75,65.20,,,,,,,70.80,65.51,70.87,58.63,,59.70,62.02,65.82,56.76,,55.27,56.11,63.93,46.98,,,,,,,,,,,,,,,,,0,0
"2015-07-07 10:30:00",0,0,0,64.92,65.00,65.30,64.82,,,,,,,63.79,67.32,71.63,58.57,,61.16,62.21,65.76,56.75,,63.28,60.69,67.45,55.26,,,,,,,,,,,,,,,,,0,0
"2015-07-07 10:45:00",0,0,0,65.36,65.12,65.40,64.86,,,,,,,71.42,68.13,71.49,63.75,,62.38,62.50,65.70,56.92,,57.83,53.75,63.21,46.95,,,,,,,,,,,,,,,,,0,0
"2015-07-07 11:00:00",0,0,0,64.77,65.11,65.42,64.74,,,,,,,65.69,66.27,71.61,58.51,,63.72,62.45,65.61,56.70,,48.12,58.87,62.83,48.12,,,,,,,,,,,,,,,,,0,0
"2015-07-07 11:15:00",0,0,0,64.74,64.81,64.98,64.64,,,,,,,71.32,69.40,71.40,65.65,,64.35,62.80,65.74,57.03,,68.42,60.39,68.45,47.00,,,,,,,,,,,,,,,,,0,0
"2015-07-07 11:30:00",0,0,0,64.60,64.74,64.85,64.59,,,,,,,66.43,65.80,71.54,58.71,,64.79,62.96,66.09,57.11,,55.02,61.13,69.13,47.18,,,,,,,,,,,,,,,,,0,0
"2015-07-07 11:45:00",0,0,0,65.08,64.92,65.17,64.55,,,,,,,71.63,70.30,71.78,66.41,,65.10,62.79,65.85,56.95,,67.75,64.85,67.77,55.02,,,,,,,,,,,,,,,,,0,0
"2015-07-07 12:00:00",0,0,0,65.73,65.51,65.81,65.04,,,,,,,67.80,65.73,71.83,58.91,,65.26,62.89,65.98,56.92,,55.57,58.63,68.13,47.51,,,,,,,,,,,,,,,,,0,0
"2015-07-07 12:15:00",0,0,0,65.34,65.64,65.81,65.31,,,,,,,71.37,70.73,71.47,67.79,,65.75,62.84,65.78,56.93,,66.51,64.62,67.38,55.52,,,,,,,,,,,,,,,,,0,0
"2015-07-07 12:30:00",0,0,0,65.26,65.24,65.41,65.13,,,,,,,67.48,65.62,71.63,58.92,,63.60,62.81,65.96,56.94,,64.39,58.22,66.55,47.52,,,,,,,,,,,,,,,,,0,0
"2015-07-07 12:45:00",0,0,0,65.38,65.27,65.43,65.17,,,,,,,71.51,70.61,71.68,67.53,,59.38,62.37,65.74,56.88,,68.44,64.32,68.45,62.99,,,,,,,,,,,,,,,,,0,0
"2015-07-07 13:00:00",0,0,0,66.12,65.78,66.15,65.34,,,,,,,67.33,66.21,71.93,59.38,,57.16,62.56,65.63,56.74,,56.98,56.02,68.98,47.52,,,,,,,,,,,,,,,,,0,0
"2015-07-07 13:15:00",0,0,0,66.67,66.36,66.71,66.06,,,,,,,71.93,70.78,71.98,67.34,,59.55,62.39,65.97,57.04,,63.70,63.20,67.73,56.95,,,,,,,,,,,,,,,,,0,0
