time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-07 13:30:00",0,0,0,67.01,66.91,67.07,66.64,,,,,,,67.19,66.05,72.15,59.14,,60.36,62.87,65.83,57.24,,62.97,55.07,63.65,47.58,,,,,,,,,,,,,,,,,0,0
"2015-07-07 13:45:00",0,0,0,67.26,67.10,67.29,66.97,,,,,,,72.05,70.85,72.15,67.18,,61.99,62.55,65.78,56.99,,50.61,64.54,67.17,50.63,,,,,,,,,,,,,,,,,0,0
"2015-07-07 14:00:00",0,0,0,68.17,67.59,68.16,67.22,,,,,,,67.92,66.10,72.31,59.36,,62.19,63.06,66.05,57.29,,64.85,58.98,66.02,47.50,,,,,,,,,,,,,,,,,0,0
"2015-07-07 14:15:00",0,0,0,69.40,68.86,69.46,68.10,,,,,,,72.61,71.53,72.70,67.94,,63.70,62.82,65.88,57.26,,48.73,62.14,65.19,48.73,,,,,,,,,,,,,,,,,0,0
"2015-07-07 14:30:00",0,0,0,70.97,70.06,71.02,69.41,,,,,,,70.12,66.09,72.75,59.45,,63.44,63.18,66.14,57.54,,61.09,56.92,61.11,47.84,,,,,,,,,,,,,,,,,0,0
"2015-07-07 14:45:00",0,0,0,73.02,72.21,73.10,70.98,,,,,,,66.45,72.23,73.35,66.43,,64.73,63.10,65.94,57.67,,55.49,59.09,67.79,47.96,,,,,,,,,,,,,,,,,0,0
"2015-07-07 15:00:00",0,0,0,73.34,73.02,73.43,72.77,,,,,,,72.44,66.39,72.46,59.73,,64.68,63.11,65.98,57.34,,67.12,61.93,67.75,55.46,,,,,,,,,,,,,,,,,0,0
"2015-07-07 15:15:00",0,0,0,74.67,73.95,74.68,73.34,,,,,,,64.03,69.59,73.70,60.45,,65.24,63.32,66.16,57.52,,62.90,58.68,67.16,48.06,,,,,,,,,,,,,,,,,0,0
"2015-07-07 15:30:00",0,0,0,76.01,75.21,76.06,74.62,,,,,,,74.08,70.24,74.20,64.05,,65.51,63.23,66.10,57.90,,64.85,65.60,67.26,62.92,,,,,,,,,,,,,,,,,0,0
"2015-07-07 15:45:00",0,0,0,75.93,76.14,76.37,75.86,,,,,,,71.78,67.30,74.42,60.61,,65.65,63.39,66.29,58.04,,58.31,56.78,66.22,48.31,,,,,,,,,,,,,,,,,0,0
"2015-07-07 16:00:00",0,0,0,75.47,75.88,76.06,75.46,,,,,,,63.80,69.36,74.26,59.96,,65.15,63.48,66.31,57.80,,68.09,64.16,68.86,58.28,,,,,,,,,,,,,,,,,0,0
"2015-07-07 16:15:00",0,0,0,74.49,75.06,75.48,74.51,,,,,,,73.89,69.81,73.96,63.77,,60.39,63.35,66.51,58.03,,65.97,57.72,68.06,48.68,,,,,,,,,,,,,,,,,0,0
"2015-07-07 16:30:00",0,0,0,72.13,73.76,74.56,72.10,,,,,,,67.99,66.95,74.25,60.12,,58.37,62.76,66.14,57.82,,49.64,63.57,67.81,49.62,,,,,,,,,,,,,,,,,0,0
