time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-07 16:45:00",0,0,0,66.74,68.72,72.15,66.69,,,,,,,62.09,68.72,73.14,59.79,,61.03,63.15,66.65,57.90,,67.61,61.76,68.31,48.51,,,,,,,,,,,,,,,,,0,0
"2015-07-07 17:00:00",0,0,0,64.61,65.91,66.74,64.57,,,,,,,71.79,67.94,71.86,62.05,,62.25,62.72,66.20,57.54,,55.39,62.07,69.29,48.82,,,,,,,,,,,,,,,,,0,0
"2015-07-07 17:15:00",0,0,0,63.47,63.92,64.59,63.37,,,,,,,66.74,65.94,71.95,58.89,,63.10,62.87,65.97,57.43,,67.91,60.43,67.98,55.38,,,,,,,,,,,,,,,,,0,0
"2015-07-07 17:30:00",0,0,0,64.12,63.77,64.21,63.40,,,,,,,71.90,69.99,72.00,66.69,,64.41,63.06,65.98,57.52,,59.12,60.61,69.34,48.51,,,,,,,,,,,,,,,,,0,0
"2015-07-07 17:45:00",0,0,0,64.08,64.17,64.31,64.04,,,,,,,67.62,65.57,72.10,59.29,,64.68,63.21,66.20,57.80,,66.85,66.12,68.42,59.19,,,,,,,,,,,,,,,,,0,0
"2015-07-07 18:00:00",0,0,0,64.38,64.21,64.44,63.93,,,,,,,68.25,70.76,72.10,67.54,,65.69,63.31,66.02,57.73,,66.93,62.37,68.47,52.65,,,,,,,,,,,,,,,,,0,0
"2015-07-07 18:15:00",0,0,0,66.06,65.22,66.09,64.33,,,,,,,70.22,65.76,70.26,59.75,,65.73,63.39,66.25,57.93,,69.37,67.41,69.51,65.77,,,,,,,,,,,,,,,,,0,0
"2015-07-07 18:30:00",0,0,0,68.19,67.14,68.26,65.98,,,,,,,61.84,69.68,73.63,60.95,,63.98,63.51,66.30,58.07,,71.38,70.42,71.38,69.35,,,,,,,,,,,,,,,,,0,0
"2015-07-07 18:45:00",0,0,0,70.38,69.38,70.45,68.13,,,,,,,74.21,69.12,74.25,61.85,,59.31,63.21,66.34,58.68,,71.42,71.18,71.48,70.44,,,,,,,,,,,,,,,,,0,0
"2015-07-07 19:00:00",0,0,0,73.46,72.34,73.76,70.39,,,,,,,69.90,67.90,75.03,61.63,,62.30,63.27,66.20,58.79,,71.95,71.69,72.15,71.01,,,,,,,,,,,,,,,,,0,0
"2015-07-07 19:15:00",0,0,0,73.95,73.49,74.00,73.20,,,,,,,67.19,68.69,74.81,61.61,,63.42,63.69,66.62,59.05,,72.30,71.75,72.35,71.02,,,,,,,,,,,,,,,,,0,0
"2015-07-07 19:30:00",0,0,0,73.48,73.67,74.04,73.26,,,,,,,64.63,70.98,75.08,64.60,,64.88,63.68,66.38,58.93,,71.86,72.45,72.86,71.77,,,,,,,,,,,,,,,,,0,0
"2015-07-07 19:45:00",0,0,0,75.25,74.15,75.32,73.37,,,,,,,73.55,67.34,73.68,61.12,,65.63,63.88,66.43,59.05,,72.52,72.69,73.10,71.72,,,,,,,,,,,,,,,,,0,0
"2015-07-07 20:00:00",0,0,0,78.25,76.65,78.30,75.24,,,,,,,70.42,67.22,74.47,61.08,,65.82,63.67,66.56,58.87,,72.83,72.73,73.27,72.10,,,,,,,,,,,,,,,,,0,0
