time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-07 23:30:00",0,0,0,77.76,77.62,78.00,77.00,,,,,,,68.32,66.28,70.09,60.64,,67.31,68.39,72.27,64.24,,73.36,72.92,73.53,72.27,,,,,,,,,,,,,,,,,0,0
"2015-07-07 23:45:00",0,0,0,78.31,78.06,78.41,77.56,,,,,,,67.32,66.48,70.72,60.60,,69.65,68.45,69.82,67.21,,73.16,73.30,73.75,72.68,,,,,,,,,,,,,,,,,0,0
"2015-07-08 00:00:00",0,0,0,77.35,77.56,78.33,77.02,,,,,,,62.25,67.14,71.44,60.64,,66.16,68.73,70.91,64.38,,72.74,73.42,73.79,72.71,,,,,,,,,,,,,,,,,0,0
"2015-07-08 00:15:00",0,0,0,88.69,82.99,88.77,77.32,,,,,,,64.76,68.45,72.80,62.29,,68.86,67.59,69.08,66.06,,73.46,73.42,73.82,72.64,,,,,,,,,,,,,,,,,0,0
"2015-07-08 00:30:00",0,0,0,92.93,92.09,93.44,88.72,,,,,,,64.48,66.92,71.28,61.48,,64.84,69.49,70.74,64.88,,74.02,73.46,74.07,72.83,,,,,,,,,,,,,,,,,0,0
"2015-07-08 00:45:00",0,0,0,82.77,87.43,93.00,82.72,,,,,,,65.55,66.72,70.94,61.17,,69.07,67.51,69.25,64.59,,73.84,73.67,74.12,73.21,,,,,,,,,,,,,,,,,0,0
"2015-07-08 01:00:00",0,0,0,78.48,80.27,82.73,78.43,,,,,,,69.95,66.60,71.38,60.84,,64.77,69.75,71.11,64.88,,73.51,73.67,74.16,73.07,,,,,,,,,,,,,,,,,0,0
"2015-07-08 01:15:00",0,0,0,76.69,77.43,78.53,76.64,,,,,,,70.42,66.23,70.47,60.57,,68.81,67.14,68.83,64.41,,73.17,73.76,74.12,73.12,,,,,,,,,,,,,,,,,0,0
"2015-07-08 01:30:00",0,0,0,75.56,76.11,76.71,75.53,,,,,,,69.10,66.39,72.10,60.52,,65.46,68.80,70.69,64.07,,73.54,73.68,74.09,73.09,,,,,,,,,,,,,,,,,0,0
"2015-07-08 01:45:00",0,0,0,74.54,75.06,75.62,74.49,,,,,,,67.85,66.64,72.54,60.49,,68.66,67.22,68.76,65.45,,74.14,73.37,74.16,72.85,,,,,,,,,,,,,,,,,0,0
"2015-07-08 02:00:00",0,0,0,73.65,74.07,74.57,73.63,,,,,,,64.96,67.05,72.94,60.32,,65.79,67.94,70.16,63.75,,73.77,73.43,74.19,72.58,,,,,,,,,,,,,,,,,0,0
"2015-07-08 02:15:00",0,0,0,72.73,73.25,73.72,72.70,,,,,,,61.64,67.71,72.32,61.58,,68.49,67.24,68.63,65.70,,73.21,73.47,74.11,72.52,,,,,,,,,,,,,,,,,0,0
"2015-07-08 02:30:00",0,0,0,72.05,72.29,72.80,71.97,,,,,,,72.61,67.27,72.61,60.39,,65.96,67.62,69.87,63.57,,49.59,59.89,73.92,49.58,,,,,,,,,,,,,,,,,0,0
"2015-07-08 02:45:00",0,0,0,71.96,71.99,72.09,71.90,,,,,,,67.06,67.46,73.75,60.24,,63.95,65.50,69.54,59.76,,51.82,48.74,51.74,48.17,,,,,,,,,,,,,,,,,0,0
