time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-08 03:00:00",0,0,0,71.33,71.70,72.05,71.27,,,,,,,61.37,67.46,73.21,59.52,,64.66,64.18,65.98,60.05,,49.84,59.80,67.03,49.83,,,,,,,,,,,,,,,,,0,0
"2015-07-08 03:15:00",0,0,0,69.86,70.57,71.36,69.81,,,,,,,72.70,68.17,72.75,61.54,,64.40,65.93,69.03,61.35,,58.92,51.41,58.92,47.32,,,,,,,,,,,,,,,,,0,0
"2015-07-08 03:30:00",0,0,0,68.29,69.39,69.91,68.30,,,,,,,68.03,65.81,72.99,59.63,,64.45,65.25,68.28,61.35,,55.61,53.13,61.69,46.74,,,,,,,,,,,,,,,,,0,0
"2015-07-08 03:45:00",0,0,0,67.05,67.48,68.35,67.01,,,,,,,66.23,66.53,72.07,59.44,,65.21,64.53,66.17,60.51,,52.49,58.97,63.45,52.53,,,,,,,,,,,,,,,,,0,0
"2015-07-08 04:00:00",0,0,0,65.27,65.99,67.10,65.21,,,,,,,68.35,68.81,71.64,66.18,,64.07,65.66,68.04,60.92,,58.08,51.66,58.16,46.36,,,,,,,,,,,,,,,,,0,0
"2015-07-08 04:15:00",0,0,0,64.28,64.77,65.33,64.23,,,,,,,67.92,65.00,68.25,58.97,,63.46,64.24,65.91,60.29,,65.80,62.52,65.84,58.11,,,,,,,,,,,,,,,,,0,0
"2015-07-08 04:30:00",0,0,0,64.34,64.33,64.48,64.18,,,,,,,64.12,67.03,71.59,59.07,,63.12,65.48,67.64,60.52,,59.59,55.00,65.85,47.84,,,,,,,,,,,,,,,,,0,0
"2015-07-08 04:45:00",0,0,0,64.04,64.21,64.40,63.94,,,,,,,70.82,67.44,70.89,64.14,,61.63,64.16,65.99,60.07,,49.38,60.97,64.48,49.40,,,,,,,,,,,,,,,,,0,0
"2015-07-08 05:00:00",0,0,0,63.14,63.60,64.04,63.11,,,,,,,65.92,66.19,71.45,58.63,,62.31,65.56,67.25,61.72,,59.44,53.50,59.40,46.54,,,,,,,,,,,,,,,,,0,0
"2015-07-08 05:15:00",0,0,0,62.87,63.03,63.21,62.82,,,,,,,70.52,67.93,70.55,65.85,,66.36,63.83,66.36,60.20,,55.27,62.29,64.78,55.27,,,,,,,,,,,,,,,,,0,0
"2015-07-08 05:30:00",0,0,0,62.53,62.70,62.90,62.46,,,,,,,66.39,65.39,70.87,58.87,,65.13,63.84,66.46,59.84,,63.15,54.40,63.17,46.79,,,,,,,,,,,,,,,,,0,0
"2015-07-08 05:45:00",0,0,0,62.40,62.69,63.23,62.27,,,,,,,69.94,68.38,70.01,66.33,,66.37,64.00,66.34,59.74,,62.40,63.66,64.74,62.41,,,,,,,,,,,,,,,,,0,0
"2015-07-08 06:00:00",0,0,0,61.58,61.94,62.42,61.52,,,,,,,70.09,70.20,70.58,69.92,,65.55,64.94,67.87,60.10,,60.87,53.92,62.36,46.47,,,,,,,,,,,,,,,,,0,0
