time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-08 06:15:00",0,0,0,61.53,61.54,61.70,61.38,,,,,,,70.35,70.25,70.47,69.97,,64.12,64.99,67.53,59.84,,67.32,65.07,67.32,60.86,,,,,,,,,,,,,,,,,0,0
"2015-07-08 06:30:00",0,0,0,61.35,61.43,61.61,61.24,,,,,,,70.48,70.47,70.70,70.24,,61.74,65.46,67.45,60.06,,69.63,69.35,70.39,67.27,,,,,,,,,,,,,,,,,0,0
"2015-07-08 06:45:00",0,0,0,61.21,61.25,61.43,61.10,,,,,,,70.57,70.55,70.75,70.35,,67.19,65.50,67.32,61.77,,68.94,69.51,70.07,68.94,,,,,,,,,,,,,,,,,0,0
"2015-07-08 07:00:00",0,0,0,61.37,61.30,61.47,61.15,,,,,,,70.72,70.57,70.79,70.31,,66.55,64.40,67.31,59.91,,69.71,69.28,69.76,68.93,,,,,,,,,,,,,,,,,0,0
"2015-07-08 07:15:00",0,0,0,61.21,61.30,61.47,61.07,,,,,,,70.52,70.57,70.80,70.35,,65.99,64.48,67.29,59.65,,70.28,70.00,70.31,69.59,,,,,,,,,,,,,,,,,0,0
"2015-07-08 07:30:00",0,0,0,60.85,61.03,61.25,60.77,,,,,,,70.67,70.65,70.87,70.45,,64.83,64.78,67.35,59.88,,71.07,70.67,71.33,70.17,,,,,,,,,,,,,,,,,0,0
"2015-07-08 07:45:00",0,0,0,60.67,60.82,61.02,60.64,,,,,,,70.62,70.65,70.87,70.48,,62.09,65.31,67.34,59.85,,70.87,70.88,71.11,70.72,,,,,,,,,,,,,,,,,0,0
"2015-07-08 08:00:00",0,0,0,60.72,60.71,60.88,60.55,,,,,,,70.53,70.60,70.75,70.43,,67.26,65.55,67.33,62.21,,71.02,70.92,71.07,70.73,,,,,,,,,,,,,,,,,0,0
"2015-07-08 08:15:00",0,0,0,60.72,60.73,60.90,60.54,,,,,,,70.53,70.60,70.75,70.45,,66.41,64.34,67.41,59.74,,71.19,71.09,71.23,70.94,,,,,,,,,,,,,,,,,0,0
"2015-07-08 08:30:00",0,0,0,60.75,60.76,60.96,60.60,,,,,,,70.50,70.61,70.77,70.47,,65.34,64.63,67.41,59.77,,71.23,71.21,71.33,71.07,,,,,,,,,,,,,,,,,0,0
"2015-07-08 08:45:00",0,0,0,60.92,60.79,60.93,60.62,,,,,,,70.57,70.60,70.81,70.45,,62.78,65.22,67.38,59.81,,71.33,71.29,71.40,71.18,,,,,,,,,,,,,,,,,0,0
"2015-07-08 09:00:00",0,0,0,60.84,60.88,61.03,60.72,,,,,,,70.60,70.60,70.75,70.43,,67.24,65.76,67.34,62.76,,71.32,71.35,71.48,71.24,,,,,,,,,,,,,,,,,0,0
"2015-07-08 09:15:00",0,0,0,60.57,60.77,60.96,60.53,,,,,,,70.48,70.56,70.72,70.38,,66.54,64.38,67.42,59.81,,71.42,71.40,71.50,71.26,,,,,,,,,,,,,,,,,0,0
"2015-07-08 09:30:00",0,0,0,60.10,60.39,60.72,60.04,,,,,,,70.47,70.53,70.70,70.35,,65.26,64.65,67.41,59.83,,71.57,71.48,71.62,71.37,,,,,,,,,,,,,,,,,0,0
