time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-08 09:45:00",0,0,0,59.85,59.94,60.16,59.75,,,,,,,70.52,70.51,70.67,70.35,,62.24,65.44,67.42,59.92,,71.64,71.61,71.74,71.47,,,,,,,,,,,,,,,,,0,0
"2015-07-08 10:00:00",0,0,0,59.92,59.86,60.04,59.70,,,,,,,70.48,70.48,70.65,70.31,,67.15,65.61,67.26,62.27,,71.62,71.67,71.76,71.57,,,,,,,,,,,,,,,,,0,0
"2015-07-08 10:15:00",0,0,0,60.51,60.18,60.57,59.84,,,,,,,70.45,70.48,70.65,70.26,,66.45,64.40,67.37,59.94,,71.65,71.61,71.72,71.50,,,,,,,,,,,,,,,,,0,0
"2015-07-08 10:30:00",0,0,0,60.85,60.72,60.98,60.41,,,,,,,70.58,70.57,70.75,70.36,,64.74,64.77,67.32,59.86,,71.64,71.63,71.74,71.52,,,,,,,,,,,,,,,,,0,0
"2015-07-08 10:45:00",0,0,0,61.27,61.09,61.39,60.83,,,,,,,70.55,70.60,70.77,70.43,,60.52,65.89,67.41,59.92,,71.74,71.69,71.82,71.57,,,,,,,,,,,,,,,,,0,0
"2015-07-08 11:00:00",0,0,0,61.57,61.45,61.68,61.16,,,,,,,70.69,70.62,70.79,70.45,,67.14,65.09,67.21,60.49,,71.76,71.73,71.84,71.62,,,,,,,,,,,,,,,,,0,0
"2015-07-08 11:15:00",0,0,0,61.68,61.60,61.74,61.48,,,,,,,70.69,70.64,70.79,70.48,,66.24,64.62,67.47,59.82,,71.81,71.82,71.95,71.70,,,,,,,,,,,,,,,,,0,0
"2015-07-08 11:30:00",0,0,0,61.70,61.62,61.79,61.46,,,,,,,70.77,70.74,70.96,70.55,,63.26,65.65,67.71,60.13,,69.76,71.24,71.93,69.70,,,,,,,,,,,,,,,,,0,0
"2015-07-08 11:45:00",0,0,0,61.58,61.63,61.78,61.47,,,,,,,70.77,70.79,71.00,70.62,,67.64,66.28,67.71,63.26,,67.89,68.55,69.78,67.80,,,,,,,,,,,,,,,,,0,0
"2015-07-08 12:00:00",0,0,0,61.63,61.57,61.70,61.43,,,,,,,70.69,70.78,71.03,70.60,,66.53,64.63,67.86,59.98,,69.37,68.27,69.95,67.41,,,,,,,,,,,,,,,,,0,0
"2015-07-08 12:15:00",0,0,0,61.82,61.74,61.93,61.52,,,,,,,70.65,70.77,70.96,70.60,,63.79,65.33,67.63,60.01,,70.85,69.47,70.94,68.13,,,,,,,,,,,,,,,,,0,0
"2015-07-08 12:30:00",0,0,0,61.73,61.72,61.87,61.54,,,,,,,70.74,70.73,70.93,70.57,,67.30,66.29,67.45,63.76,,70.91,70.30,71.09,69.25,,,,,,,,,,,,,,,,,0,0
"2015-07-08 12:45:00",0,0,0,62.31,62.03,62.39,61.61,,,,,,,70.87,70.77,71.00,70.55,,66.85,64.54,67.51,60.17,,70.14,71.17,71.54,70.10,,,,,,,,,,,,,,,,,0,0
