time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-08 13:00:00",0,0,0,62.48,62.40,62.63,62.21,,,,,,,71.06,70.94,71.15,70.70,,64.96,65.19,67.74,60.22,,70.33,70.03,70.39,69.49,,,,,,,,,,,,,,,,,0,0
"2015-07-08 13:15:00",0,0,0,63.23,62.84,63.26,62.46,,,,,,,71.15,71.05,71.27,70.86,,63.59,66.72,67.85,63.59,,69.40,69.90,70.51,69.03,,,,,,,,,,,,,,,,,0,0
"2015-07-08 13:30:00",0,0,0,63.90,63.59,64.03,63.16,,,,,,,71.42,71.27,71.52,71.01,,67.23,64.85,67.37,60.33,,70.39,70.13,70.58,69.34,,,,,,,,,,,,,,,,,0,0
"2015-07-08 13:45:00",0,0,0,64.50,64.30,64.59,63.93,,,,,,,71.56,71.53,71.76,71.33,,65.23,65.20,68.03,60.68,,71.25,70.38,71.37,69.32,,,,,,,,,,,,,,,,,0,0
"2015-07-08 14:00:00",0,0,0,65.22,64.80,65.29,64.42,,,,,,,71.73,71.60,71.86,71.30,,61.21,66.31,67.95,60.57,,70.15,70.93,71.48,69.68,,,,,,,,,,,,,,,,,0,0
"2015-07-08 14:15:00",0,0,0,66.46,65.83,66.47,65.13,,,,,,,71.96,71.87,72.10,71.63,,67.22,65.07,67.31,61.21,,71.62,71.26,71.70,70.12,,,,,,,,,,,,,,,,,0,0
"2015-07-08 14:30:00",0,0,0,69.49,67.53,69.51,66.40,,,,,,,72.95,72.42,73.04,71.84,,65.77,64.87,67.93,60.61,,71.45,70.89,71.70,69.97,,,,,,,,,,,,,,,,,0,0
"2015-07-08 14:45:00",0,0,0,72.87,71.32,72.94,69.44,,,,,,,67.64,65.10,73.12,58.74,,63.11,66.01,67.68,61.09,,70.60,71.44,71.82,70.53,,,,,,,,,,,,,,,,,0,0
"2015-07-08 15:00:00",0,0,0,73.38,73.13,73.58,72.77,,,,,,,66.46,65.99,71.52,59.21,,67.29,65.75,67.40,63.09,,71.72,71.39,71.91,70.39,,,,,,,,,,,,,,,,,0,0
"2015-07-08 15:15:00",0,0,0,72.63,72.79,73.46,72.42,,,,,,,63.72,68.78,72.51,63.71,,66.24,64.88,67.62,60.99,,71.93,71.57,72.00,70.97,,,,,,,,,,,,,,,,,0,0
"2015-07-08 15:30:00",0,0,0,73.94,73.34,74.03,72.56,,,,,,,70.70,65.93,70.79,59.51,,64.42,65.56,67.57,61.26,,71.65,71.74,72.17,71.16,,,,,,,,,,,,,,,,,0,0
"2015-07-08 15:45:00",0,0,0,72.80,73.45,74.08,72.70,,,,,,,67.46,67.21,73.38,60.14,,64.34,66.47,67.84,64.29,,71.75,72.03,72.39,71.60,,,,,,,,,,,,,,,,,0,0
"2015-07-08 16:00:00",0,0,0,72.66,72.72,72.90,72.56,,,,,,,65.06,70.47,74.25,65.07,,66.56,64.67,66.69,61.43,,72.74,72.14,72.76,71.59,,,,,,,,,,,,,,,,,0,0
