time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-08 16:15:00",0,0,0,73.45,72.77,73.46,72.41,,,,,,,72.59,66.98,72.61,60.91,,65.62,65.26,67.54,61.76,,72.61,72.39,72.81,72.01,,,,,,,,,,,,,,,,,0,0
"2015-07-08 16:30:00",0,0,0,74.81,74.12,74.93,73.33,,,,,,,69.38,67.96,74.74,61.82,,64.84,65.54,67.58,62.05,,72.59,72.69,73.07,72.33,,,,,,,,,,,,,,,,,0,0
"2015-07-08 16:45:00",0,0,0,77.22,75.93,77.24,74.67,,,,,,,67.63,67.98,74.35,61.84,,63.93,65.65,67.16,62.17,,72.90,73.06,73.49,72.56,,,,,,,,,,,,,,,,,0,0
"2015-07-08 17:00:00",0,0,0,78.19,77.70,78.19,77.10,,,,,,,63.09,69.99,74.88,63.11,,66.83,65.92,67.17,63.93,,73.63,73.08,73.72,72.63,,,,,,,,,,,,,,,,,0,0
"2015-07-08 17:15:00",0,0,0,79.25,78.67,79.32,78.10,,,,,,,67.78,68.03,73.23,61.65,,66.94,65.41,67.01,62.25,,73.29,73.14,73.68,72.73,,,,,,,,,,,,,,,,,0,0
"2015-07-08 17:30:00",0,0,0,80.28,79.78,80.34,79.21,,,,,,,72.71,67.07,72.71,61.41,,66.68,65.50,67.35,62.02,,73.29,73.28,73.65,72.88,,,,,,,,,,,,,,,,,0,0
"2015-07-08 17:45:00",0,0,0,81.08,80.69,81.15,80.24,,,,,,,71.03,67.31,73.94,61.35,,66.28,65.63,67.41,62.29,,73.24,73.58,73.89,73.17,,,,,,,,,,,,,,,,,0,0
"2015-07-08 18:00:00",0,0,0,81.13,81.39,81.66,81.08,,,,,,,69.90,68.08,74.95,62.09,,66.25,65.94,67.53,62.71,,73.99,73.58,74.07,73.02,,,,,,,,,,,,,,,,,0,0
"2015-07-08 18:15:00",0,0,0,80.82,80.45,81.19,79.95,,,,,,,68.15,67.93,74.18,61.94,,65.76,65.96,67.74,62.37,,73.95,73.68,74.07,73.29,,,,,,,,,,,,,,,,,0,0
"2015-07-08 18:30:00",0,0,0,80.48,80.99,81.28,80.48,,,,,,,64.71,68.29,74.30,61.79,,65.28,65.82,67.54,62.19,,73.48,73.77,74.17,73.22,,,,,,,,,,,,,,,,,0,0
"2015-07-08 18:45:00",0,0,0,79.40,80.02,80.59,79.43,,,,,,,61.43,67.82,73.35,61.35,,64.96,65.74,67.60,62.04,,73.65,73.95,74.26,73.41,,,,,,,,,,,,,,,,,0,0
"2015-07-08 19:00:00",0,0,0,78.28,78.93,79.53,78.26,,,,,,,62.73,67.94,73.41,61.44,,64.34,65.68,67.43,61.82,,74.24,74.00,74.45,73.41,,,,,,,,,,,,,,,,,0,0
"2015-07-08 19:15:00",0,0,0,76.90,77.47,78.37,76.77,,,,,,,70.69,67.58,73.10,61.02,,62.81,65.51,67.30,61.65,,74.40,73.98,74.43,73.36,,,,,,,,,,,,,,,,,0,0
"2015-07-08 19:30:00",0,0,0,77.82,77.10,77.87,76.74,,,,,,,70.40,66.28,70.67,60.46,,62.17,65.50,67.15,62.13,,74.23,73.92,74.53,73.14,,,,,,,,,,,,,,,,,0,0
